Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2023/01/01;0000 UTC;0.0;980.7;980.7;979.8;0.0;23.8;;24.6;23.8;24.0;23.5;100.0;95.0;;342.0;1.6;0.2
2023/01/01;0100 UTC;0.0;981.4;981.5;980.7;0.0;23.6;;24.1;23.6;;;;;;174.0;1.4;0.5
2023/01/01;0200 UTC;0.0;982.1;982.1;981.4;0.0;23.6;;23.6;23.5;;;;;;23.0;1.0;0.4
2023/01/01;0300 UTC;0.0;982.5;982.6;982.1;0.0;23.9;;24.0;23.6;;;;;;77.0;1.2;0.4
2023/01/01;0400 UTC;0.0;982.1;982.5;982.1;0.0;23.8;;24.0;23.6;;;;;;45.0;1.3;0.6
2023/01/01;0500 UTC;0.0;981.5;982.1;981.5;0.0;23.9;;23.9;23.8;;;;;;45.0;1.5;0.7
2023/01/01;0600 UTC;0.0;981.0;981.5;981.0;0.0;23.8;;23.9;23.8;;;;;;13.0;2.2;1.0
2023/01/01;0700 UTC;0.0;980.8;981.0;980.7;0.0;23.5;;23.8;23.5;;;;;;48.0;2.2;0.6
2023/01/01;0800 UTC;0.0;980.6;980.8;980.6;0.0;23.2;;23.5;23.2;;;;;;313.0;1.4;0.6
2023/01/01;0900 UTC;0.0;980.6;980.7;980.6;0.0;22.7;;23.2;22.7;;;;;;307.0;1.1;0.8
2023/01/01;1000 UTC;0.0;981.6;981.6;980.6;17.2;22.5;;22.7;22.4;;;;;;352.0;1.3;0.1
2023/01/01;1100 UTC;0.0;982.5;982.5;981.6;208.8;23.7;;23.8;22.5;;;;;;242.0;1.6;0.2
2023/01/01;1200 UTC;0.2;983.0;983.0;982.5;780.7;25.8;24.3;25.8;23.6;;;;;92.0;358.0;2.1;0.7
2023/01/01;1300 UTC;0.2;983.4;983.5;983.0;2048.0;28.0;24.3;28.6;25.8;25.4;24.0;93.0;78.0;80.0;47.0;2.9;1.0
2023/01/01;1400 UTC;0.0;983.4;983.5;983.3;1721.1;28.9;24.0;29.1;28.0;25.4;23.5;83.0;73.0;75.0;5.0;3.9;1.8
2023/01/01;1500 UTC;0.0;982.8;983.4;982.8;2084.5;28.2;24.8;30.6;28.0;25.2;23.5;82.0;69.0;82.0;297.0;4.8;1.3
2023/01/01;1600 UTC;0.0;982.1;982.8;982.1;2707.2;28.4;24.7;30.8;28.2;26.1;23.4;82.0;69.0;81.0;315.0;6.0;2.8
2023/01/01;1700 UTC;0.0;980.8;982.1;980.8;2022.8;30.0;22.6;30.2;28.2;25.1;22.3;82.0;64.0;65.0;206.0;6.0;0.8
2023/01/01;1800 UTC;0.0;979.1;980.8;979.1;2847.8;32.0;24.6;32.0;29.4;24.9;22.8;74.0;60.0;65.0;323.0;2.7;0.8
2023/01/01;1900 UTC;0.0;978.2;979.1;978.1;1260.3;27.7;24.0;32.1;27.6;25.0;22.7;81.0;60.0;81.0;202.0;4.6;1.9
2023/01/01;2000 UTC;4.8;977.7;978.4;977.7;586.2;26.5;24.7;27.7;25.1;25.2;23.4;98.0;81.0;90.0;305.0;6.3;1.9
2023/01/01;2100 UTC;0.0;977.4;977.7;977.4;1281.0;31.5;24.8;32.3;26.5;26.5;23.7;92.0;62.0;68.0;324.0;3.7;0.9
2023/01/01;2200 UTC;0.0;978.2;978.2;977.4;423.3;27.3;24.0;31.5;27.3;24.6;23.7;82.0;65.0;82.0;43.0;4.0;1.0
2023/01/01;2300 UTC;0.0;979.5;979.5;978.2;8.1;25.5;24.8;27.3;25.5;24.8;23.7;96.0;81.0;96.0;178.0;2.1;0.3
2023/01/02;0000 UTC;0.0;980.3;980.3;979.5;0.0;25.1;;25.5;24.9;;;;;;13.0;1.3;0.5
2023/01/02;0100 UTC;0.0;981.4;981.4;980.3;0.0;24.6;;25.1;24.6;;;;;;184.0;1.3;0.6
2023/01/02;0200 UTC;0.0;981.7;981.7;981.4;0.0;24.4;;24.8;24.4;;;;;;7.0;1.3;0.3
2023/01/02;0300 UTC;0.0;981.3;981.8;981.3;0.0;24.3;;24.4;24.2;;;;;;337.0;1.3;0.5
2023/01/02;0400 UTC;0.0;980.3;981.3;980.3;0.0;23.9;;24.4;23.9;;;;;;283.0;1.2;0.3
2023/01/02;0500 UTC;0.0;980.2;980.4;980.0;0.0;24.3;;24.3;23.9;;;;;;31.0;1.7;1.0
2023/01/02;0600 UTC;0.0;980.3;980.4;980.2;0.0;24.3;;24.3;24.1;;;;;;89.0;1.5;0.6
2023/01/02;0700 UTC;0.0;980.0;980.3;980.0;0.0;24.0;;24.3;24.0;;;;;;328.0;2.6;1.2
2023/01/02;0800 UTC;0.0;980.3;980.4;980.1;0.0;24.1;;24.2;24.0;;;;;;310.0;3.7;2.2
2023/01/02;0900 UTC;0.0;981.0;981.0;980.2;0.0;24.0;;24.2;24.0;;;;;;298.0;4.5;1.5
2023/01/02;1000 UTC;0.0;981.5;981.5;981.0;10.0;23.6;23.6;24.1;23.6;;;;;100.0;295.0;5.8;3.1
2023/01/02;1100 UTC;0.0;982.5;982.6;981.2;220.7;23.8;23.3;23.8;23.3;23.5;23.0;100.0;97.0;97.0;297.0;6.5;2.5
2023/01/02;1200 UTC;0.0;982.8;982.8;982.4;447.3;24.2;23.2;24.2;23.6;23.4;23.0;97.0;94.0;94.0;294.0;6.7;3.1
2023/01/02;1300 UTC;0.0;983.5;983.6;982.8;790.9;24.7;23.1;24.8;24.2;23.5;23.0;95.0;91.0;91.0;296.0;7.1;3.3
2023/01/02;1400 UTC;0.0;983.4;983.8;983.4;1500.3;26.1;23.4;26.4;24.6;24.2;22.8;92.0;85.0;85.0;299.0;7.1;3.1
2023/01/02;1500 UTC;0.0;983.4;983.4;983.2;933.6;25.6;23.1;26.5;25.6;24.1;22.9;87.0;84.0;86.0;303.0;6.1;2.4
2023/01/02;1600 UTC;2.8;982.3;983.4;982.3;163.4;24.2;24.0;25.6;24.2;24.0;23.0;99.0;86.0;99.0;337.0;5.5;0.7
2023/01/02;1700 UTC;4.0;981.5;982.3;981.5;455.6;24.4;;24.7;24.0;;;;;;259.0;2.9;0.9
2023/01/02;1800 UTC;0.0;980.6;981.5;980.6;904.5;25.5;24.5;25.5;24.4;24.9;24.0;100.0;94.0;94.0;16.0;3.7;1.3
2023/01/02;1900 UTC;0.0;979.4;980.6;979.4;1138.5;26.3;23.9;26.6;25.4;24.9;23.4;94.0;84.0;87.0;7.0;2.9;1.3
2023/01/02;2000 UTC;0.0;978.7;979.4;978.7;596.9;25.7;24.2;26.3;25.7;24.3;23.6;91.0;86.0;91.0;22.0;3.0;1.5
2023/01/02;2100 UTC;0.0;979.1;979.1;978.6;439.2;24.7;24.3;25.8;24.7;24.5;24.0;98.0;90.0;98.0;50.0;4.5;1.8
2023/01/02;2200 UTC;7.2;980.4;980.5;979.1;119.6;21.9;;24.7;21.9;;;;;;345.0;7.1;3.3
2023/01/02;2300 UTC;1.0;980.6;980.6;980.4;2.5;21.7;;21.9;21.7;;;;;;9.0;7.0;0.8
2023/01/03;0000 UTC;0.0;981.2;981.2;980.6;0.0;21.5;;21.7;21.5;;;;;;57.0;2.4;0.8
2023/01/03;0100 UTC;0.0;982.2;982.2;981.2;0.0;21.7;;21.8;21.5;;;;;;12.0;2.5;1.1
2023/01/03;0200 UTC;0.0;982.4;982.5;982.2;0.0;21.6;;21.7;21.6;;;;;;322.0;3.1;1.0
2023/01/03;0300 UTC;0.0;982.4;982.5;982.4;0.0;21.6;;21.6;21.4;;;;;;338.0;3.0;0.9
2023/01/03;0400 UTC;0.0;981.5;982.4;981.5;0.0;21.4;;21.6;21.4;;;;;;5.0;1.7;0.4
2023/01/03;0500 UTC;0.0;980.4;981.5;980.4;0.0;21.5;;21.6;21.4;;;;;;291.0;2.5;0.9
2023/01/03;0600 UTC;0.0;980.0;980.4;980.0;0.0;21.7;;21.7;21.5;;;;;;273.0;2.8;0.5
2023/01/03;0700 UTC;0.0;980.4;980.4;980.0;0.0;21.8;;21.8;21.6;;;;;;352.0;1.9;0.8
2023/01/03;0800 UTC;0.0;980.6;980.6;980.4;0.0;21.8;;21.8;21.8;;;;;;41.0;2.4;1.0
2023/01/03;0900 UTC;0.0;980.7;980.7;980.5;0.0;21.9;;21.9;21.8;;;;;;70.0;1.9;0.5
2023/01/03;1000 UTC;0.0;981.6;981.6;980.7;7.7;21.9;;22.0;21.9;;;;;;339.0;1.5;0.7
2023/01/03;1100 UTC;0.0;982.6;982.6;981.6;144.6;22.2;;22.3;21.9;;;;;;310.0;1.7;0.9
2023/01/03;1200 UTC;0.0;983.5;983.5;982.6;362.1;23.1;;23.1;22.2;;;;;;342.0;2.0;1.0
2023/01/03;1300 UTC;0.0;983.9;983.9;983.5;1101.9;24.7;22.8;25.0;23.1;23.6;22.8;100.0;89.0;89.0;313.0;2.8;1.3
2023/01/03;1400 UTC;0.0;984.1;984.1;983.9;1095.9;25.1;23.4;25.9;24.7;24.5;22.9;92.0;88.0;90.0;30.0;2.9;1.3
2023/01/03;1500 UTC;0.0;983.9;984.1;983.9;686.4;24.9;23.7;25.3;24.8;23.7;23.1;93.0;89.0;93.0;38.0;3.8;1.9
2023/01/03;1600 UTC;0.0;983.2;983.9;983.2;650.9;25.0;23.8;25.1;24.5;24.2;23.3;95.0;92.0;93.0;353.0;3.8;1.5
