Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2023/01/01;0000 UTC;0.0;1006.5;1006.5;1006.0;;22.1;20.7;22.9;22.1;21.3;20.6;92.0;89.0;92.0;214.0;2.1;1.5
2023/01/01;0100 UTC;0.0;1006.5;1006.6;1006.5;;22.1;20.8;22.4;22.0;21.1;20.7;93.0;92.0;93.0;241.0;2.2;1.2
2023/01/01;0200 UTC;0.0;1006.5;1006.7;1006.4;;21.8;20.7;22.1;21.8;20.8;20.7;94.0;93.0;94.0;220.0;3.4;1.7
2023/01/01;0300 UTC;0.0;1005.7;1006.5;1005.7;;21.4;20.4;21.8;21.4;20.7;20.4;94.0;94.0;94.0;225.0;3.2;1.4
2023/01/01;0400 UTC;0.0;1005.2;1005.7;1005.2;;21.2;20.2;21.4;21.1;20.4;20.1;94.0;94.0;94.0;235.0;3.4;1.5
2023/01/01;0500 UTC;;;;;;;;;;;;;;;;;
2023/01/01;0600 UTC;;;;;;;;;;;;;;;;;
2023/01/01;0700 UTC;0.2;1004.7;1004.8;1004.6;;21.5;20.5;21.8;21.3;20.8;20.3;94.0;94.0;94.0;221.0;3.4;1.9
2023/01/01;0800 UTC;0.0;1005.2;1005.2;1004.6;;21.1;20.2;21.6;21.1;20.5;20.1;94.0;94.0;94.0;230.0;3.7;2.5
2023/01/01;0900 UTC;;;;;;;;;;;;;;;;;
2023/01/01;1000 UTC;;;;;;;;;;;;;;;;;
2023/01/01;1100 UTC;;;;;;;;;;;;;;;;;
2023/01/01;1200 UTC;0.0;1006.4;1006.6;1006.4;1802.7;27.0;21.5;27.2;25.5;22.2;21.0;80.0;70.0;72.0;99.0;3.4;1.4
2023/01/01;1300 UTC;0.0;1006.2;1006.4;1006.1;2855.6;28.2;20.5;28.4;27.0;21.8;19.2;72.0;58.0;63.0;82.0;6.6;2.8
2023/01/01;1400 UTC;0.0;1005.8;1006.2;1005.8;2979.8;29.3;20.1;29.3;27.4;21.5;19.1;67.0;56.0;58.0;100.0;6.9;3.0
2023/01/01;1500 UTC;0.0;1005.2;1005.9;1005.2;3120.4;29.1;18.8;29.3;27.7;20.5;18.4;63.0;53.0;54.0;92.0;7.7;4.3
2023/01/01;1600 UTC;0.2;1004.8;1005.2;1004.8;2519.3;27.6;21.1;29.1;27.3;21.5;18.9;70.0;54.0;68.0;101.0;8.7;5.3
2023/01/01;1700 UTC;0.0;1004.1;1004.9;1004.1;2484.6;27.5;20.0;28.6;27.2;21.7;20.0;69.0;62.0;64.0;99.0;9.3;4.1
2023/01/01;1800 UTC;0.0;1003.4;1004.1;1003.4;2633.6;27.4;20.0;28.3;27.4;20.9;19.5;66.0;59.0;64.0;85.0;8.4;4.4
2023/01/01;1900 UTC;0.0;1003.6;1003.6;1003.4;1254.1;26.3;20.9;27.6;26.0;21.9;20.1;76.0;64.0;72.0;108.0;9.3;4.2
2023/01/01;2000 UTC;0.0;1004.0;1004.0;1003.6;598.9;25.0;21.4;26.3;25.0;21.4;20.6;81.0;72.0;81.0;103.0;9.3;3.6
2023/01/01;2100 UTC;0.0;1004.6;1004.6;1004.0;176.0;24.4;21.1;25.1;24.4;21.6;21.1;82.0;80.0;82.0;97.0;7.6;3.4
2023/01/01;2200 UTC;0.0;1005.4;1005.4;1004.6;;24.1;21.2;24.4;24.0;21.3;21.1;85.0;82.0;84.0;120.0;6.1;2.5
2023/01/01;2300 UTC;2.4;1006.1;1006.1;1005.4;;23.0;21.5;24.2;22.9;21.5;21.0;91.0;83.0;91.0;104.0;6.1;2.6
2023/01/02;0000 UTC;9.6;1006.7;1006.7;1006.1;;22.7;21.6;23.0;22.7;21.7;21.2;93.0;91.0;93.0;85.0;12.6;5.3
2023/01/02;0100 UTC;4.2;1006.8;1006.9;1006.7;;22.4;21.2;22.7;22.3;21.5;21.1;93.0;93.0;93.0;125.0;9.0;1.8
2023/01/02;0200 UTC;0.2;1005.7;1006.8;1005.7;;22.1;21.0;22.4;22.1;21.2;21.0;93.0;93.0;93.0;160.0;4.2;1.2
2023/01/02;0300 UTC;0.0;1005.4;1005.8;1005.4;;22.0;20.8;22.2;22.0;21.1;20.8;93.0;93.0;93.0;250.0;7.9;3.4
2023/01/02;0400 UTC;0.8;1004.6;1005.4;1004.6;0.1;21.8;20.8;22.0;21.7;20.8;20.6;94.0;93.0;94.0;210.0;7.9;1.3
2023/01/02;0500 UTC;0.6;1004.2;1004.6;1004.2;0.5;22.1;20.9;22.2;21.7;21.1;20.7;94.0;93.0;93.0;202.0;4.2;1.5
2023/01/02;0600 UTC;0.4;1004.1;1004.2;1004.0;;21.8;20.8;22.1;21.8;20.9;20.7;94.0;93.0;94.0;240.0;3.0;1.2
