Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2023/01/01;0000 UTC;0.0;986.2;986.2;985.6;;27.0;20.6;28.7;27.0;20.6;20.1;68.0;60.0;68.0;54.0;10.2;6.3
2023/01/01;0100 UTC;0.0;986.4;986.4;986.2;;26.0;20.0;27.0;26.0;20.6;20.0;70.0;68.0;70.0;56.0;10.3;5.1
2023/01/01;0200 UTC;0.0;986.0;986.5;986.0;;25.4;20.3;26.0;25.4;20.3;20.0;73.0;70.0;73.0;55.0;9.2;4.4
2023/01/01;0300 UTC;0.0;985.8;986.1;985.7;;25.0;20.7;25.4;25.0;20.7;20.3;77.0;73.0;77.0;60.0;8.6;3.0
2023/01/01;0400 UTC;0.0;985.2;985.8;985.2;;24.8;20.7;25.1;24.8;20.8;20.7;78.0;77.0;78.0;66.0;7.1;0.0
2023/01/01;0500 UTC;0.0;984.5;985.2;984.5;;24.5;20.7;24.8;24.5;20.9;20.7;80.0;78.0;79.0;64.0;5.2;3.0
2023/01/01;0600 UTC;0.0;984.5;984.6;984.4;;24.8;20.2;24.8;24.5;20.7;20.2;79.0;76.0;76.0;62.0;6.8;3.6
2023/01/01;0700 UTC;0.0;984.8;984.8;984.5;;24.5;19.8;24.8;24.4;20.2;19.8;76.0;75.0;75.0;75.0;6.9;3.0
2023/01/01;0800 UTC;0.0;985.5;985.5;984.8;;24.0;19.6;24.5;24.0;19.8;19.6;77.0;75.0;76.0;82.0;5.8;3.1
2023/01/01;0900 UTC;0.0;986.1;986.1;985.5;43.4;23.9;19.8;24.0;23.7;19.8;19.5;78.0;76.0;78.0;98.0;5.8;2.5
2023/01/01;1000 UTC;0.0;986.9;986.9;986.1;555.0;25.7;19.8;25.7;23.9;20.0;19.7;78.0;70.0;70.0;65.0;7.5;4.0
2023/01/01;1100 UTC;0.0;987.2;987.3;986.9;1547.0;27.8;19.5;27.8;25.7;20.1;19.3;70.0;61.0;61.0;99.0;7.7;4.5
2023/01/01;1200 UTC;0.0;987.2;987.3;987.1;1847.1;28.1;18.7;28.9;27.6;19.5;18.4;60.0;54.0;57.0;92.0;9.2;4.5
2023/01/01;1300 UTC;0.0;986.7;987.2;986.7;2148.2;30.0;17.7;30.6;28.1;19.0;17.4;57.0;46.0;48.0;81.0;10.9;5.2
2023/01/01;1400 UTC;0.0;986.3;986.7;986.3;3081.1;31.3;17.5;31.7;29.4;18.2;16.4;50.0;41.0;44.0;110.0;10.3;4.1
2023/01/01;1500 UTC;0.0;985.4;986.3;985.4;2411.9;31.9;16.4;32.4;30.4;17.5;16.4;45.0;39.0;39.0;88.0;8.7;3.9
2023/01/01;1600 UTC;0.0;984.2;985.4;984.2;3049.3;33.2;14.9;33.9;31.5;16.7;14.5;40.0;32.0;33.0;90.0;8.8;1.3
2023/01/01;1700 UTC;0.0;983.2;984.2;983.2;2536.9;34.5;15.3;34.6;33.0;15.4;14.3;34.0;30.0;32.0;100.0;9.4;3.2
2023/01/01;1800 UTC;0.0;982.5;983.2;982.5;2359.2;33.7;15.1;35.3;33.5;15.7;14.6;33.0;30.0;33.0;73.0;8.1;3.2
2023/01/01;1900 UTC;0.0;982.1;982.5;982.1;1454.9;34.0;14.8;34.7;33.5;15.6;14.4;33.0;30.0;32.0;78.0;8.5;3.3
2023/01/01;2000 UTC;0.0;982.5;982.5;982.0;443.2;32.8;15.2;34.1;32.8;15.2;14.7;35.0;31.0;35.0;39.0;8.0;2.4
2023/01/01;2100 UTC;0.0;983.2;983.2;982.5;83.5;31.6;16.0;32.9;31.6;16.0;15.0;39.0;34.0;39.0;45.0;6.0;2.9
