Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2023/01/01;0000 UTC;;;;;;;;;;;;;;;;;
2023/01/01;0100 UTC;0.0;961.1;961.1;960.5;;27.0;24.1;27.5;27.0;24.4;23.7;85.0;81.0;84.0;26.0;1.4;0.7
2023/01/01;0200 UTC;0.0;961.2;961.3;961.1;;26.7;23.8;27.1;26.6;24.3;23.7;85.0;84.0;84.0;295.0;1.4;0.4
2023/01/01;0300 UTC;0.0;961.0;961.3;961.0;;26.4;23.9;26.8;26.3;24.0;23.6;86.0;84.0;86.0;309.0;1.1;0.5
2023/01/01;0400 UTC;0.0;960.4;961.0;960.4;;26.0;23.5;26.7;26.0;24.1;23.5;88.0;85.0;86.0;313.0;0.9;0.3
2023/01/01;0500 UTC;0.0;960.1;960.4;960.1;;25.8;23.9;26.1;25.8;23.9;23.4;89.0;85.0;89.0;233.0;1.4;0.3
2023/01/01;0600 UTC;0.0;960.0;960.1;960.0;;25.6;23.6;25.9;25.6;23.9;23.3;90.0;86.0;89.0;140.0;0.8;0.3
2023/01/01;0700 UTC;0.0;960.0;960.1;959.9;;25.8;23.9;26.0;25.5;24.1;23.5;90.0;89.0;89.0;91.0;1.3;0.7
2023/01/01;0800 UTC;0.0;960.4;960.4;960.0;;25.5;23.4;25.8;25.3;24.0;23.0;91.0;87.0;88.0;96.0;1.5;0.8
2023/01/01;0900 UTC;0.0;961.1;961.1;960.4;9.9;24.8;22.9;25.5;24.8;23.4;22.9;90.0;88.0;89.0;335.0;1.3;0.6
2023/01/01;1000 UTC;0.0;962.0;962.0;961.1;139.6;25.1;23.5;25.1;24.6;23.5;22.8;92.0;89.0;91.0;161.0;2.5;1.2
2023/01/01;1100 UTC;0.0;962.1;962.2;962.0;1162.4;26.2;24.1;26.2;25.1;24.1;23.4;91.0;87.0;88.0;87.0;6.7;2.5
2023/01/01;1200 UTC;0.0;962.2;962.2;962.0;2196.1;27.4;24.4;27.4;26.2;24.7;23.5;88.0;82.0;84.0;108.0;7.0;2.8
2023/01/01;1300 UTC;0.0;962.3;962.4;962.2;2954.1;28.6;24.8;28.6;27.4;25.6;24.4;85.0;80.0;80.0;85.0;7.0;3.2
2023/01/01;1400 UTC;0.0;961.6;962.3;961.6;3510.5;29.3;25.7;29.4;28.6;25.9;24.5;84.0;77.0;81.0;91.0;8.0;2.4
2023/01/01;1500 UTC;0.0;960.7;961.6;960.7;3514.6;29.7;24.5;29.8;29.3;26.0;24.5;81.0;74.0;74.0;111.0;6.2;2.8
2023/01/01;1600 UTC;0.0;959.9;960.7;959.9;3063.0;29.9;25.0;30.1;29.6;25.7;24.4;77.0;72.0;75.0;76.0;6.0;2.4
2023/01/01;1700 UTC;0.0;959.2;959.9;959.1;2646.6;30.2;24.5;30.6;29.9;25.6;24.5;76.0;71.0;72.0;86.0;5.8;2.5
2023/01/01;1800 UTC;0.0;958.6;959.2;958.5;2628.3;30.5;24.8;30.8;30.0;25.3;24.1;73.0;68.0;71.0;77.0;5.8;2.0
2023/01/01;1900 UTC;0.0;958.1;958.6;958.1;1502.9;30.5;24.0;31.0;30.2;25.5;24.0;74.0;67.0;68.0;83.0;5.1;1.9
2023/01/01;2000 UTC;0.0;957.8;958.1;957.7;1209.2;30.3;23.8;30.9;30.2;25.0;23.7;72.0;67.0;68.0;94.0;4.0;1.5
2023/01/01;2100 UTC;0.0;957.9;957.9;957.7;397.3;29.8;24.0;30.3;29.7;24.5;23.8;73.0;68.0;71.0;96.0;3.4;1.0
2023/01/01;2200 UTC;0.0;958.6;958.6;957.9;24.0;28.9;24.3;29.9;28.9;24.6;23.9;76.0;71.0;76.0;107.0;2.4;0.5
2023/01/01;2300 UTC;0.0;959.4;959.4;958.6;;28.5;24.1;28.9;28.4;24.3;23.8;78.0;76.0;77.0;194.0;1.2;0.2
2023/01/02;0000 UTC;0.0;960.3;960.3;959.4;;28.1;24.2;28.5;27.9;24.4;23.8;80.0;77.0;80.0;158.0;2.0;1.1
2023/01/02;0100 UTC;0.0;960.5;960.5;960.3;;27.3;23.4;28.1;27.3;24.1;23.4;81.0;78.0;79.0;120.0;2.0;0.5
2023/01/02;0200 UTC;0.0;960.9;960.9;960.5;;27.0;23.6;27.4;26.9;23.9;23.3;82.0;79.0;81.0;29.0;1.0;0.1
2023/01/02;0300 UTC;0.0;960.8;961.0;960.8;;26.1;22.9;27.0;26.1;23.5;22.9;83.0;80.0;83.0;177.0;1.2;0.4
2023/01/02;0400 UTC;0.0;960.5;960.8;960.5;;25.7;22.9;26.2;25.7;23.2;22.7;85.0;83.0;85.0;313.0;1.0;0.7
2023/01/02;0500 UTC;0.0;959.9;960.5;959.8;;25.2;22.3;25.7;25.1;23.0;22.2;86.0;83.0;84.0;301.0;1.5;0.3
2023/01/02;0600 UTC;0.0;959.7;959.9;959.7;;24.8;22.2;25.3;24.8;22.4;22.2;85.0;84.0;85.0;280.0;1.5;0.9
2023/01/02;0700 UTC;0.0;960.0;960.0;959.7;;24.4;21.8;24.8;24.4;22.2;21.8;86.0;85.0;86.0;164.0;1.5;0.4
2023/01/02;0800 UTC;0.0;960.1;960.1;959.9;;24.0;21.6;24.4;24.0;21.8;21.6;87.0;86.0;86.0;341.0;1.7;1.0
2023/01/02;0900 UTC;0.0;960.7;960.7;960.0;9.7;23.6;21.3;24.0;23.6;21.6;21.3;87.0;86.0;87.0;140.0;2.0;0.5
2023/01/02;1000 UTC;0.0;961.5;961.5;960.7;138.5;23.8;21.9;23.8;23.5;21.9;21.3;89.0;87.0;89.0;294.0;1.3;0.4
2023/01/02;1100 UTC;0.0;961.9;961.9;961.5;1201.9;26.3;24.1;26.3;23.8;24.1;21.9;91.0;88.0;88.0;37.0;3.0;1.0
2023/01/02;1200 UTC;0.0;961.8;961.9;961.8;2186.3;28.0;25.9;28.0;26.3;25.9;24.1;88.0;83.0;88.0;104.0;5.9;2.1
2023/01/02;1300 UTC;0.0;961.6;961.9;961.6;2879.1;28.8;26.2;28.8;28.0;26.6;25.7;89.0;85.0;86.0;138.0;5.9;1.8
2023/01/02;1400 UTC;0.0;961.0;961.7;961.0;3672.2;30.1;26.7;30.1;28.8;26.8;25.6;88.0;81.0;82.0;119.0;5.7;2.0
2023/01/02;1500 UTC;0.0;960.1;961.0;960.1;3486.0;30.4;27.0;30.4;29.8;27.4;26.4;85.0;80.0;82.0;69.0;6.5;2.5
2023/01/02;1600 UTC;0.0;959.5;960.1;959.5;3287.1;30.6;26.3;30.6;30.0;27.0;25.9;82.0;77.0;78.0;88.0;6.5;2.3
2023/01/02;1700 UTC;0.0;958.5;959.5;958.5;3280.5;31.0;26.5;31.2;30.5;26.9;25.7;80.0;73.0;77.0;58.0;5.6;2.2
2023/01/02;1800 UTC;0.0;957.3;958.5;957.3;2748.0;31.3;26.3;31.3;30.7;26.7;25.2;78.0;72.0;75.0;57.0;5.3;1.2
2023/01/02;1900 UTC;0.0;956.4;957.3;956.4;2236.8;31.2;25.3;31.4;31.1;26.1;24.9;75.0;69.0;71.0;58.0;5.0;2.2
2023/01/02;2000 UTC;0.0;956.1;956.4;956.1;1357.1;31.0;25.7;31.3;30.9;25.8;24.5;74.0;68.0;73.0;59.0;5.0;1.6
2023/01/02;2100 UTC;0.0;956.4;956.4;956.0;661.9;30.6;24.7;31.2;30.6;25.7;24.5;74.0;68.0;71.0;62.0;5.1;2.0
2023/01/02;2200 UTC;0.0;957.3;957.3;956.4;26.1;29.2;23.8;30.6;29.2;24.7;23.4;73.0;69.0;73.0;79.0;5.5;1.2
2023/01/02;2300 UTC;0.0;958.3;958.3;957.3;;28.7;23.9;29.2;28.7;23.9;23.4;75.0;72.0;75.0;88.0;2.7;0.7
