Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2023/01/01;0000 UTC;0.0;1005.9;1005.9;1005.5;;22.5;20.8;22.8;22.5;21.1;20.8;90.0;90.0;90.0;283.0;1.3;0.0
2023/01/01;0100 UTC;0.0;1006.4;1006.4;1005.9;;22.6;21.0;22.6;22.5;21.0;20.8;91.0;90.0;91.0;191.0;0.5;0.0
2023/01/01;0200 UTC;0.0;1006.9;1007.0;1006.4;;22.5;21.0;22.6;22.4;21.0;20.8;91.0;91.0;91.0;70.0;1.2;0.5
2023/01/01;0300 UTC;0.0;1007.0;1007.1;1006.7;;22.6;21.0;22.6;22.5;21.1;20.9;91.0;91.0;91.0;270.0;1.6;0.2
2023/01/01;0400 UTC;0.0;1006.7;1007.2;1006.7;;22.5;21.1;22.6;22.5;21.1;21.0;91.0;91.0;91.0;301.0;1.0;0.0
2023/01/01;0500 UTC;0.0;1005.6;1006.7;1005.6;;22.3;20.9;22.6;22.3;21.1;20.8;92.0;91.0;92.0;209.0;1.1;0.0
2023/01/01;0600 UTC;0.0;1004.8;1005.6;1004.8;;22.2;20.8;22.3;22.2;20.9;20.8;92.0;92.0;92.0;157.0;0.5;0.0
2023/01/01;0700 UTC;0.0;1004.6;1004.8;1004.6;;22.2;20.8;22.2;22.1;20.8;20.7;92.0;92.0;92.0;118.0;0.5;0.0
2023/01/01;0800 UTC;0.2;1004.6;1004.6;1004.5;;22.1;20.8;22.2;22.1;20.9;20.8;92.0;92.0;92.0;168.0;0.6;0.0
2023/01/01;0900 UTC;0.0;1005.3;1005.3;1004.6;;22.1;20.8;22.2;22.1;20.8;20.8;92.0;92.0;92.0;163.0;1.2;0.0
2023/01/01;1000 UTC;0.0;1005.7;1005.7;1005.3;0.3;22.1;20.8;22.1;22.0;20.8;20.7;92.0;92.0;92.0;146.0;0.7;0.0
2023/01/01;1100 UTC;0.0;1006.7;1006.7;1005.7;111.4;22.4;21.2;22.4;22.1;21.2;20.8;93.0;92.0;93.0;139.0;1.2;0.4
2023/01/01;1200 UTC;0.0;1007.6;1007.6;1006.7;485.0;23.3;21.9;23.3;22.4;21.9;21.2;93.0;92.0;92.0;111.0;1.5;0.2
2023/01/01;1300 UTC;0.0;1008.3;1008.3;1007.6;1288.0;24.6;23.1;24.6;23.2;23.1;21.9;92.0;91.0;91.0;89.0;2.2;0.4
2023/01/01;1400 UTC;0.0;1008.4;1008.4;1008.3;1387.9;25.5;23.8;25.6;24.6;24.0;23.0;91.0;91.0;91.0;91.0;3.1;1.2
2023/01/01;1500 UTC;0.0;1007.9;1008.4;1007.9;1382.8;26.2;24.5;26.4;25.4;24.7;23.8;91.0;90.0;90.0;105.0;4.1;1.9
2023/01/01;1600 UTC;0.0;1007.1;1008.0;1007.1;1794.1;27.2;25.4;27.5;26.1;25.7;24.4;91.0;90.0;90.0;129.0;4.5;0.0
2023/01/01;1700 UTC;0.0;1005.5;1007.1;1005.5;2057.9;28.3;26.4;28.9;27.2;27.0;25.4;90.0;89.0;89.0;114.0;3.2;0.0
2023/01/01;1800 UTC;1.0;1004.0;1005.5;1004.0;1796.9;25.1;23.4;29.2;24.5;27.2;22.9;91.0;89.0;90.0;338.0;8.6;0.0
2023/01/01;1900 UTC;0.0;1002.9;1004.0;1002.9;995.6;25.9;24.1;26.3;25.0;24.5;23.3;90.0;90.0;90.0;285.0;0.0;0.0
2023/01/01;2000 UTC;0.0;1002.4;1002.9;1002.4;916.4;27.3;25.3;27.3;25.6;25.3;23.9;90.0;89.0;89.0;11.0;0.0;0.0
2023/01/01;2100 UTC;0.0;1002.8;1002.9;1002.3;970.6;27.2;25.0;27.8;27.1;25.7;25.0;89.0;88.0;88.0;18.0;3.1;0.0
2023/01/01;2200 UTC;18.8;1004.2;1004.2;1002.8;63.7;23.2;21.4;27.2;23.0;25.0;21.2;90.0;88.0;90.0;22.0;8.1;0.0
2023/01/01;2300 UTC;0.0;1004.7;1004.7;1004.1;;23.1;21.3;23.2;23.0;21.5;21.3;90.0;90.0;90.0;354.0;2.2;0.0
2023/01/02;0000 UTC;0.0;1005.4;1005.4;1004.7;;23.0;21.2;23.1;22.9;21.3;21.2;90.0;90.0;90.0;345.0;0.7;0.0
