Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2023/01/01;0000 UTC;0.0;1006.7;1006.7;1005.6;;26.3;25.2;26.7;26.3;25.5;25.1;94.0;91.0;93.0;268.0;2.0;0.7
2023/01/01;0100 UTC;3.2;1007.1;1007.2;1006.7;;25.1;24.6;26.4;25.1;25.3;24.1;97.0;91.0;97.0;74.0;3.5;0.6
2023/01/01;0200 UTC;0.0;1007.1;1007.1;1006.9;;24.8;24.4;25.2;24.8;24.7;24.3;98.0;97.0;97.0;48.0;2.3;0.4
2023/01/01;0300 UTC;0.0;1007.2;1007.3;1007.1;;24.6;24.1;24.8;24.6;24.4;24.1;98.0;97.0;97.0;87.0;2.1;0.7
2023/01/01;0400 UTC;0.0;1007.0;1007.2;1007.0;;24.2;23.9;24.6;24.2;24.1;23.9;98.0;97.0;98.0;310.0;2.1;0.5
2023/01/01;0500 UTC;0.0;1006.7;1007.0;1006.7;;24.4;24.1;24.4;24.2;24.1;23.9;98.0;98.0;98.0;25.0;1.4;0.5
2023/01/01;0600 UTC;0.0;1006.2;1006.7;1006.1;;24.2;23.7;24.4;24.2;24.1;23.7;98.0;97.0;97.0;55.0;2.7;0.5
2023/01/01;0700 UTC;0.0;1005.8;1006.2;1005.8;;24.0;23.6;24.2;24.0;23.9;23.5;98.0;97.0;97.0;359.0;2.0;0.4
2023/01/01;0800 UTC;0.0;1005.6;1005.8;1005.6;;23.9;23.5;24.0;23.9;23.6;23.5;98.0;97.0;98.0;13.0;1.7;0.2
2023/01/01;0900 UTC;0.0;1005.8;1005.9;1005.6;;23.8;23.5;23.9;23.8;23.6;23.5;98.0;98.0;98.0;3.0;0.8;0.2
2023/01/01;1000 UTC;0.0;1006.6;1006.6;1005.8;0.7;23.9;23.6;23.9;23.8;23.7;23.5;98.0;98.0;98.0;58.0;0.8;0.4
2023/01/01;1100 UTC;0.0;1007.5;1007.5;1006.6;228.3;25.0;24.3;25.0;23.9;24.3;23.6;99.0;96.0;96.0;58.0;1.2;0.5
2023/01/01;1200 UTC;0.0;1008.4;1008.4;1007.5;1412.0;27.9;24.0;28.1;25.0;25.1;23.7;96.0;78.0;79.0;67.0;1.8;0.7
2023/01/01;1300 UTC;0.0;1008.8;1008.8;1008.4;1362.4;27.9;24.5;28.1;27.1;24.8;23.2;85.0;77.0;82.0;342.0;2.6;0.5
2023/01/01;1400 UTC;0.0;1008.9;1009.0;1008.8;2317.4;29.3;24.2;29.9;27.8;26.2;23.7;83.0;72.0;74.0;354.0;3.1;0.9
2023/01/01;1500 UTC;0.0;1008.5;1008.9;1008.5;2868.1;29.7;25.4;30.5;28.7;25.8;23.9;82.0;72.0;78.0;91.0;3.5;1.0
2023/01/01;1600 UTC;0.0;1007.9;1008.6;1007.9;2274.9;30.2;24.9;30.6;29.3;26.1;24.4;80.0;72.0;73.0;332.0;3.4;1.2
2023/01/01;1700 UTC;5.4;1006.4;1007.9;1006.4;2593.1;26.6;25.1;32.1;26.6;26.4;23.9;92.0;65.0;91.0;230.0;3.3;1.0
2023/01/01;1800 UTC;0.0;1004.0;1006.4;1004.0;3002.1;30.6;24.7;31.0;26.6;26.3;23.7;93.0;66.0;71.0;40.0;3.9;1.0
2023/01/01;1900 UTC;0.0;1003.1;1004.0;1003.0;2635.2;30.8;24.7;31.3;30.0;26.1;23.1;76.0;63.0;70.0;72.0;3.9;0.9
2023/01/01;2000 UTC;0.0;1002.6;1003.1;1002.6;376.7;27.5;24.8;30.7;27.4;25.6;23.5;86.0;66.0;86.0;219.0;2.6;0.7
2023/01/01;2100 UTC;0.0;1003.0;1003.1;1002.5;487.9;27.8;25.6;28.1;27.4;26.0;24.8;90.0;85.0;88.0;170.0;2.1;0.6
2023/01/01;2200 UTC;0.0;1003.8;1003.8;1002.9;149.5;27.2;24.9;27.8;27.2;25.7;24.6;90.0;84.0;87.0;198.0;2.0;0.4
2023/01/01;2300 UTC;0.0;1004.7;1004.7;1003.7;2.6;26.1;25.0;27.3;26.0;25.1;24.3;95.0;85.0;94.0;80.0;2.0;0.7
2023/01/02;0000 UTC;0.0;1005.7;1005.7;1004.7;;25.9;25.2;26.1;25.9;25.2;25.0;96.0;94.0;96.0;215.0;1.7;0.3
2023/01/02;0100 UTC;0.0;1006.8;1006.8;1005.7;;25.6;25.0;25.9;25.6;25.2;24.9;97.0;95.0;96.0;330.0;1.1;0.4
2023/01/02;0200 UTC;0.0;1007.7;1007.7;1006.8;;26.0;25.0;26.2;25.5;25.1;24.5;97.0;93.0;94.0;349.0;1.7;0.5
2023/01/02;0300 UTC;0.0;1007.9;1008.0;1007.7;;25.8;24.7;26.0;25.7;25.1;24.7;96.0;93.0;93.0;338.0;1.8;0.4
2023/01/02;0400 UTC;0.0;1007.1;1007.9;1007.1;;25.1;24.5;25.8;25.1;24.7;24.4;96.0;93.0;96.0;347.0;2.0;0.5
2023/01/02;0500 UTC;0.0;1006.7;1007.1;1006.5;;24.6;23.8;25.1;24.6;24.4;23.8;96.0;95.0;95.0;311.0;2.7;0.8
2023/01/02;0600 UTC;0.0;1006.3;1006.8;1006.3;;24.6;23.5;24.6;24.5;23.8;23.4;96.0;93.0;94.0;253.0;3.0;0.8
2023/01/02;0700 UTC;0.0;1005.8;1006.3;1005.8;;24.1;23.5;24.6;24.0;23.5;23.4;97.0;93.0;97.0;270.0;1.9;0.4
2023/01/02;0800 UTC;5.4;1006.5;1006.5;1005.8;;24.1;23.7;24.7;24.0;23.8;23.5;98.0;93.0;98.0;281.0;2.1;0.5
2023/01/02;0900 UTC;3.6;1006.7;1006.7;1006.4;;24.1;23.4;24.1;23.9;23.7;23.4;98.0;96.0;96.0;220.0;2.9;1.0
2023/01/02;1000 UTC;2.6;1007.5;1007.5;1006.7;;23.6;23.1;24.1;23.5;23.4;23.1;97.0;95.0;97.0;213.0;3.6;0.7
2023/01/02;1100 UTC;24.8;1008.8;1008.8;1007.5;12.8;23.1;22.7;23.6;23.1;23.2;22.6;98.0;97.0;98.0;212.0;3.3;0.9
2023/01/02;1200 UTC;26.6;1009.7;1009.7;1008.8;38.4;23.2;23.0;23.4;23.0;23.2;22.7;99.0;98.0;98.0;212.0;2.2;0.4
2023/01/02;1300 UTC;18.6;1010.5;1010.5;1009.7;129.0;23.2;22.9;23.4;23.0;23.1;22.5;99.0;97.0;98.0;214.0;3.6;1.4
2023/01/02;1400 UTC;18.6;1010.2;1010.5;1010.2;253.3;23.2;22.9;23.3;22.7;23.0;22.1;98.0;96.0;98.0;297.0;5.2;1.2
2023/01/02;1500 UTC;1.2;1009.5;1010.2;1009.5;811.4;24.4;23.4;24.5;23.2;23.9;22.8;98.0;94.0;94.0;171.0;2.8;0.4
2023/01/02;1600 UTC;0.4;1009.1;1009.5;1009.1;975.4;24.3;23.4;24.9;24.2;24.2;23.0;96.0;92.0;95.0;129.0;2.3;0.6
2023/01/02;1700 UTC;2.0;1008.0;1009.1;1008.0;628.5;23.7;23.0;24.3;23.5;23.5;22.7;97.0;94.0;96.0;118.0;3.4;0.9
2023/01/02;1800 UTC;0.2;1006.0;1008.0;1006.0;547.3;24.1;23.2;24.1;23.6;23.5;22.4;96.0;93.0;95.0;311.0;1.9;0.6
2023/01/02;1900 UTC;0.6;1005.0;1006.0;1005.0;409.8;24.2;23.5;24.2;24.0;23.6;23.0;96.0;94.0;96.0;276.0;2.4;1.2
2023/01/02;2000 UTC;0.0;1005.3;1005.3;1004.9;569.4;24.5;23.3;24.5;24.1;23.4;22.8;96.0;91.0;93.0;328.0;2.6;0.7
2023/01/02;2100 UTC;0.0;1005.1;1005.3;1005.0;393.5;24.5;23.5;24.5;24.3;23.6;23.2;95.0;92.0;94.0;305.0;2.5;0.7
2023/01/02;2200 UTC;0.0;1005.9;1005.9;1005.1;98.8;24.3;23.3;24.5;24.3;23.5;23.1;95.0;92.0;94.0;297.0;2.6;0.5
2023/01/02;2300 UTC;0.0;1005.8;1005.9;1005.6;6.8;24.2;23.2;24.3;24.2;23.3;23.1;94.0;93.0;94.0;278.0;2.6;0.6
2023/01/03;0000 UTC;0.0;1006.4;1006.4;1005.8;;23.6;23.2;24.2;23.5;23.3;23.1;98.0;94.0;98.0;94.0;1.8;0.4
2023/01/03;0100 UTC;0.0;1007.2;1007.2;1006.4;;23.4;23.1;23.6;23.2;23.2;22.9;99.0;98.0;98.0;57.0;1.3;0.3
2023/01/03;0200 UTC;0.0;1007.6;1007.6;1007.2;;23.4;23.1;23.5;23.4;23.2;23.1;99.0;98.0;99.0;121.0;1.8;0.2
2023/01/03;0300 UTC;0.0;1007.3;1007.7;1007.3;;23.3;23.1;23.4;23.3;23.2;23.0;99.0;99.0;99.0;103.0;1.3;0.5
2023/01/03;0400 UTC;0.0;1006.2;1007.3;1006.2;;23.2;22.9;23.3;23.2;23.1;22.9;99.0;99.0;99.0;75.0;1.1;0.4
2023/01/03;0500 UTC;0.0;1005.5;1006.4;1005.5;;23.0;22.8;23.2;23.0;23.0;22.8;99.0;99.0;99.0;5.0;1.8;0.3
2023/01/03;0600 UTC;0.0;1005.4;1005.5;1005.3;;23.2;23.0;23.2;23.0;23.1;22.8;99.0;99.0;99.0;121.0;1.0;0.3
2023/01/03;0700 UTC;0.0;1005.3;1005.4;1005.1;;23.2;23.0;23.2;23.1;23.0;22.9;99.0;99.0;99.0;124.0;1.3;0.6
2023/01/03;0800 UTC;0.0;1005.4;1005.4;1005.2;;23.2;23.0;23.3;23.1;23.1;23.0;99.0;99.0;99.0;175.0;1.8;0.5
2023/01/03;0900 UTC;0.0;1005.9;1005.9;1005.4;;23.2;23.0;23.3;23.2;23.1;23.0;99.0;99.0;99.0;93.0;1.8;0.3
2023/01/03;1000 UTC;0.0;1007.1;1007.1;1005.9;0.5;23.2;23.0;23.3;23.2;23.1;23.0;99.0;99.0;99.0;114.0;1.8;0.8
2023/01/03;1100 UTC;0.0;1008.3;1008.3;1007.1;103.3;23.6;23.2;23.6;23.2;23.2;23.0;99.0;98.0;98.0;143.0;1.6;0.5
2023/01/03;1200 UTC;0.0;1009.2;1009.2;1008.3;511.0;24.9;23.8;24.9;23.6;24.0;23.1;98.0;93.0;93.0;98.0;1.6;0.7
2023/01/03;1300 UTC;0.0;1009.8;1009.8;1009.2;965.4;26.0;23.8;26.2;24.9;24.3;23.2;94.0;86.0;88.0;135.0;1.6;0.6
2023/01/03;1400 UTC;0.0;1010.0;1010.0;1009.8;1244.3;26.4;23.7;27.2;26.0;24.6;23.2;90.0;82.0;85.0;288.0;2.4;0.7
2023/01/03;1500 UTC;0.2;1009.3;1010.0;1009.3;1532.4;27.8;23.4;29.0;26.3;25.5;23.3;87.0;76.0;77.0;342.0;2.4;0.9
2023/01/03;1600 UTC;0.0;1008.1;1009.3;1008.1;2233.6;29.3;24.1;29.3;27.2;25.1;23.2;87.0;74.0;74.0;195.0;2.3;1.1
2023/01/03;1700 UTC;0.0;1007.0;1008.1;1007.0;3821.9;29.7;24.6;29.8;28.0;25.9;23.4;83.0;71.0;74.0;347.0;4.8;1.5
2023/01/03;1800 UTC;0.0;1006.4;1007.0;1006.3;2630.2;24.9;23.0;30.6;24.9;25.7;22.7;90.0;65.0;89.0;122.0;5.6;1.9
2023/01/03;1900 UTC;1.4;1005.6;1006.4;1005.6;149.5;24.0;23.5;24.9;23.8;23.5;22.8;97.0;89.0;97.0;76.0;5.6;0.5
2023/01/03;2000 UTC;0.8;1004.8;1005.6;1004.8;588.0;24.7;24.0;24.8;24.0;24.1;23.5;98.0;94.0;96.0;79.0;2.7;0.8
2023/01/03;2100 UTC;0.4;1004.2;1004.8;1004.2;388.9;24.3;23.7;24.9;24.2;24.2;23.3;97.0;93.0;97.0;97.0;3.1;0.6
2023/01/03;2200 UTC;0.0;1004.3;1004.3;1004.1;186.0;24.2;23.6;24.5;24.2;23.9;23.5;97.0;94.0;96.0;181.0;1.9;0.4
2023/01/03;2300 UTC;0.0;1004.8;1004.8;1004.3;6.2;23.8;23.5;24.2;23.8;23.6;23.3;98.0;95.0;98.0;42.0;0.8;0.2
2023/01/04;0000 UTC;0.0;1006.1;1006.1;1004.8;;23.6;23.3;23.8;23.6;23.6;23.3;98.0;98.0;98.0;104.0;1.9;0.7
2023/01/04;0100 UTC;0.0;1007.2;1007.2;1006.1;;23.4;23.1;23.6;23.4;23.3;23.1;98.0;98.0;98.0;103.0;1.9;0.7
2023/01/04;0200 UTC;0.0;1007.6;1007.6;1007.2;;23.3;22.9;23.4;23.3;23.2;22.9;99.0;98.0;98.0;164.0;3.2;0.3
