Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2023/01/01;0000 UTC;0.2;1000.9;1000.9;999.9;;24.3;22.5;24.5;24.2;22.7;22.4;90.0;89.0;90.0;;;
2023/01/01;0100 UTC;0.0;1001.5;1001.5;1000.9;;24.4;22.6;24.4;24.2;22.7;22.5;90.0;90.0;90.0;;;
2023/01/01;0200 UTC;0.0;1001.1;1001.8;1001.1;;24.0;22.4;24.4;24.0;22.7;22.4;91.0;90.0;91.0;;;
2023/01/01;0300 UTC;0.0;1001.6;1001.8;1001.0;;23.9;21.7;24.5;23.9;22.8;21.7;91.0;87.0;87.0;;;
2023/01/01;0400 UTC;0.0;1001.1;1001.6;1001.1;;23.6;21.3;23.9;23.6;21.6;21.3;88.0;87.0;87.0;;;
2023/01/01;0500 UTC;0.0;1000.4;1001.1;1000.4;;23.4;21.4;23.7;23.4;21.4;21.3;89.0;87.0;89.0;;;
2023/01/01;0600 UTC;0.0;1000.0;1000.4;1000.0;;23.3;21.6;23.4;23.2;21.6;21.4;90.0;89.0;90.0;;;
2023/01/01;0700 UTC;0.0;999.8;1000.0;999.7;;23.0;21.5;23.3;23.0;21.7;21.5;91.0;90.0;91.0;;;
2023/01/01;0800 UTC;0.0;1000.1;1000.1;999.6;;23.0;21.5;23.1;22.9;21.6;21.5;92.0;91.0;92.0;;;
2023/01/01;0900 UTC;0.0;1000.6;1000.6;1000.1;;23.0;21.6;23.0;22.9;21.6;21.4;92.0;92.0;92.0;;;
2023/01/01;1000 UTC;0.0;1001.4;1001.4;1000.6;81.4;23.2;21.8;23.2;22.9;21.8;21.5;92.0;92.0;92.0;;;
2023/01/01;1100 UTC;0.0;1002.1;1002.1;1001.4;591.6;24.6;22.8;24.7;23.2;23.1;21.8;92.0;89.0;90.0;;;
2023/01/01;1200 UTC;0.0;1003.0;1003.0;1002.1;999.4;26.1;22.8;26.5;24.6;23.6;22.2;90.0;80.0;82.0;;;
2023/01/01;1300 UTC;0.0;1003.3;1003.5;1003.0;1401.9;27.0;22.2;27.4;26.2;23.1;21.8;82.0;73.0;75.0;;;
2023/01/01;1400 UTC;0.0;1003.1;1003.4;1003.1;1668.4;27.9;22.6;28.3;26.8;22.9;21.8;76.0;70.0;73.0;;;
2023/01/01;1500 UTC;0.2;1002.5;1003.1;1002.5;1523.4;27.0;22.5;28.6;27.0;23.0;21.8;77.0;69.0;76.0;;;
2023/01/01;1600 UTC;0.2;1000.9;1002.5;1000.9;3249.9;30.1;22.2;30.2;27.1;24.0;21.7;77.0;61.0;63.0;;;
2023/01/01;1700 UTC;0.4;1000.0;1000.9;1000.0;940.9;26.3;22.8;30.7;26.3;23.4;21.3;82.0;61.0;81.0;;;
2023/01/01;1800 UTC;0.0;998.8;1000.0;998.8;1518.3;29.2;23.5;29.2;25.9;24.3;22.2;83.0;70.0;71.0;;;
2023/01/01;1900 UTC;0.0;998.0;998.8;997.9;2563.8;29.9;22.9;30.1;28.8;23.4;21.4;71.0;63.0;66.0;;;
2023/01/01;2000 UTC;0.0;998.6;998.7;998.0;1145.5;25.3;21.8;31.0;24.9;23.4;20.7;81.0;61.0;81.0;;;
2023/01/01;2100 UTC;0.0;999.0;999.0;998.4;407.1;25.1;22.1;25.7;25.1;22.2;21.6;84.0;79.0;84.0;;;
2023/01/01;2200 UTC;0.0;999.4;999.4;998.8;39.9;24.8;22.1;25.1;24.8;22.4;22.1;86.0;84.0;85.0;;;
2023/01/01;2300 UTC;0.0;1000.7;1000.7;999.4;;24.2;22.0;24.8;24.2;22.1;22.0;88.0;85.0;88.0;;;
2023/01/02;0000 UTC;0.0;1001.6;1001.6;1000.6;;24.0;22.2;24.2;24.0;22.2;21.9;90.0;88.0;90.0;;;
2023/01/02;0100 UTC;0.0;1002.4;1002.4;1001.6;;24.3;22.4;24.3;23.9;22.5;22.1;90.0;89.0;89.0;;;
2023/01/02;0200 UTC;0.0;1002.2;1002.4;1002.2;;24.4;22.2;24.5;24.3;22.4;22.2;89.0;87.0;87.0;;;
2023/01/02;0300 UTC;0.0;1002.9;1002.9;1002.2;;24.2;22.3;24.4;24.1;22.3;22.2;89.0;87.0;89.0;;;
2023/01/02;0400 UTC;2.2;1002.3;1002.9;1002.3;;23.4;21.8;24.3;23.4;22.2;21.6;90.0;88.0;90.0;;;
2023/01/02;0500 UTC;0.8;1001.8;1002.3;1001.8;;23.7;22.2;23.7;23.3;22.2;21.7;91.0;90.0;91.0;;;
2023/01/02;0600 UTC;0.0;1001.1;1001.8;1001.0;;23.5;21.7;23.8;23.5;22.3;21.7;91.0;90.0;90.0;;;
2023/01/02;0700 UTC;0.0;1000.6;1001.1;1000.6;;23.0;21.2;23.5;23.0;21.7;21.1;90.0;89.0;89.0;;;
2023/01/02;0800 UTC;0.0;1000.9;1001.1;1000.5;;22.8;21.2;23.0;22.8;21.2;21.1;90.0;89.0;90.0;;;
2023/01/02;0900 UTC;0.0;1001.1;1001.2;1000.8;;23.0;21.2;23.0;22.8;21.3;21.1;90.0;89.0;89.0;;;
2023/01/02;1000 UTC;0.0;1001.2;1001.2;1000.9;33.0;23.0;21.2;23.0;22.9;21.2;21.0;89.0;89.0;89.0;;;
2023/01/02;1100 UTC;0.0;1001.9;1001.9;1001.2;290.9;23.8;21.8;23.8;23.0;21.8;21.1;89.0;88.0;89.0;;;
2023/01/02;1200 UTC;0.0;1002.4;1002.4;1001.9;864.1;25.8;22.4;25.8;23.8;22.7;21.5;89.0;82.0;82.0;;;
2023/01/02;1300 UTC;0.0;1003.0;1003.0;1002.4;1714.4;26.8;22.2;27.4;25.6;22.8;21.4;82.0;73.0;76.0;;;
2023/01/02;1400 UTC;0.0;1002.7;1003.0;1002.7;1735.1;27.4;22.3;28.3;26.8;22.8;21.8;76.0;70.0;74.0;;;
2023/01/02;1500 UTC;0.0;1002.3;1002.7;1002.3;1232.8;27.6;22.1;28.2;27.4;22.9;22.0;75.0;70.0;72.0;;;
2023/01/02;1600 UTC;0.0;1000.8;1002.3;1000.8;2646.6;28.9;22.3;30.4;27.4;23.6;21.9;74.0;63.0;68.0;;;
2023/01/02;1700 UTC;0.0;999.2;1000.8;999.2;2902.4;29.5;21.3;30.9;28.7;22.9;21.3;68.0;59.0;61.0;;;
2023/01/02;1800 UTC;0.0;997.9;999.2;997.9;2876.5;31.1;22.2;31.2;29.3;23.0;21.3;66.0;57.0;59.0;;;
2023/01/02;1900 UTC;0.0;997.6;998.0;997.6;620.3;26.4;22.6;31.1;26.4;22.6;21.3;79.0;58.0;79.0;;;
2023/01/02;2000 UTC;0.0;997.6;997.7;997.3;385.6;27.0;22.4;27.0;25.9;22.9;22.3;83.0;76.0;76.0;;;
2023/01/02;2100 UTC;0.0;997.9;997.9;997.6;209.7;26.5;22.4;27.1;26.4;22.6;22.2;79.0;75.0;78.0;;;
2023/01/02;2200 UTC;0.0;998.5;998.5;997.9;37.4;25.4;22.5;26.5;25.4;22.6;22.3;84.0;78.0;84.0;;;
2023/01/02;2300 UTC;0.0;999.4;999.4;998.5;;24.7;22.4;25.4;24.7;22.5;22.4;87.0;84.0;87.0;;;
2023/01/03;0000 UTC;0.0;1000.4;1000.4;999.4;;24.3;22.4;24.7;24.3;22.6;22.4;89.0;87.0;89.0;;;
