Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2023/01/01;0000 UTC;0.0;1008.7;1008.7;1007.8;0.0;24.7;22.4;24.9;24.7;22.5;22.3;88.0;86.0;87.0;186.0;1.6;0.0
2023/01/01;0100 UTC;0.0;1009.5;1009.5;1008.7;0.0;24.6;22.2;24.7;24.6;22.4;22.2;87.0;86.0;87.0;179.0;2.4;0.0
2023/01/01;0200 UTC;0.0;1009.6;1009.7;1009.5;0.0;24.6;22.3;24.7;24.5;22.3;22.1;87.0;86.0;87.0;134.0;2.6;0.3
2023/01/01;0300 UTC;0.8;1009.2;1009.7;1009.2;0.0;24.0;22.3;24.6;24.0;22.4;22.2;90.0;87.0;90.0;220.0;2.3;0.0
2023/01/01;0400 UTC;0.0;1008.5;1009.2;1008.5;0.0;24.0;22.3;24.1;23.9;22.4;22.3;91.0;90.0;91.0;205.0;1.4;0.0
2023/01/01;0500 UTC;0.0;1007.8;1008.5;1007.8;0.0;23.9;22.2;24.0;23.7;22.3;22.0;91.0;90.0;91.0;289.0;0.0;0.0
2023/01/01;0600 UTC;0.0;1007.1;1007.7;1007.1;0.0;23.7;22.0;23.9;23.6;22.4;21.9;91.0;90.0;90.0;180.0;2.2;0.2
2023/01/01;0700 UTC;0.0;1006.9;1007.1;1006.9;0.0;23.5;21.9;23.6;23.4;22.0;21.8;91.0;90.0;91.0;176.0;2.6;0.7
2023/01/01;0800 UTC;0.0;1006.8;1007.0;1006.8;0.0;23.5;21.7;23.5;23.4;21.9;21.7;91.0;90.0;90.0;167.0;2.5;0.5
2023/01/01;0900 UTC;0.0;1007.5;1007.5;1006.8;0.0;23.3;21.6;23.5;23.3;21.7;21.6;90.0;90.0;90.0;132.0;2.2;0.0
2023/01/01;1000 UTC;0.0;1008.1;1008.1;1007.5;18.4;23.6;21.7;23.6;23.2;21.8;21.5;91.0;89.0;89.0;191.0;1.7;0.1
2023/01/01;1100 UTC;0.0;1009.3;1009.3;1008.1;359.2;24.8;21.7;24.9;23.6;21.8;21.4;89.0;82.0;83.0;179.0;2.3;0.0
2023/01/01;1200 UTC;0.0;1010.2;1010.2;1009.3;1065.7;25.8;21.5;27.0;24.6;22.6;21.2;83.0;72.0;77.0;128.0;1.7;0.2
2023/01/01;1300 UTC;0.0;1010.8;1010.8;1010.2;1307.1;26.6;22.0;27.1;25.8;22.3;21.4;79.0;73.0;76.0;49.0;2.5;0.1
2023/01/01;1400 UTC;0.0;1010.7;1010.8;1010.6;1757.1;28.3;22.7;28.3;26.5;23.1;21.9;78.0;71.0;72.0;72.0;2.0;0.1
2023/01/01;1500 UTC;0.0;1009.9;1010.7;1009.9;2233.9;29.3;22.8;30.1;28.1;23.6;22.3;73.0;66.0;68.0;103.0;2.7;0.7
2023/01/01;1600 UTC;0.0;1008.5;1009.9;1008.5;2917.3;31.4;23.7;31.4;28.9;24.5;22.1;71.0;61.0;64.0;46.0;4.2;0.4
2023/01/01;1700 UTC;0.0;1007.5;1008.5;1007.2;1671.5;29.4;22.6;31.9;29.3;24.2;22.4;69.0;62.0;67.0;100.0;5.1;1.5
2023/01/01;1800 UTC;3.4;1007.8;1008.4;1007.4;183.6;24.1;22.2;29.4;24.1;23.1;20.7;89.0;66.0;89.0;79.0;11.0;1.8
2023/01/01;1900 UTC;4.6;1006.7;1007.8;1006.7;222.3;24.3;22.7;24.3;23.7;22.7;21.9;91.0;89.0;91.0;11.0;5.4;0.3
2023/01/01;2000 UTC;0.2;1005.8;1006.7;1005.7;1214.2;25.6;22.2;25.8;24.1;23.2;22.2;91.0;82.0;82.0;356.0;3.8;0.7
2023/01/01;2100 UTC;0.0;1005.1;1005.8;1005.1;441.0;25.3;21.7;25.8;25.3;22.6;21.7;82.0;80.0;81.0;98.0;2.7;0.5
2023/01/01;2200 UTC;0.0;1005.7;1005.8;1005.1;83.9;25.0;21.8;25.3;25.0;22.0;21.7;83.0;81.0;83.0;72.0;2.2;0.2
2023/01/01;2300 UTC;0.0;1006.8;1006.8;1005.6;0.2;24.5;21.9;25.0;24.5;21.9;21.7;85.0;83.0;85.0;126.0;2.6;0.0
2023/01/02;0000 UTC;0.0;1007.7;1007.7;1006.8;0.0;24.2;22.2;24.5;24.2;22.3;21.9;89.0;85.0;89.0;360.0;1.2;0.0
2023/01/02;0100 UTC;0.0;1009.0;1009.0;1007.7;0.0;24.2;22.5;24.2;24.0;22.5;22.2;90.0;89.0;90.0;342.0;0.0;0.0
2023/01/02;0200 UTC;0.0;1009.3;1009.5;1009.0;0.0;23.8;22.3;24.2;23.7;22.5;22.1;91.0;90.0;91.0;305.0;0.0;0.0
2023/01/02;0300 UTC;0.0;1009.5;1009.6;1009.2;0.0;23.6;22.2;23.8;23.6;22.3;22.1;92.0;91.0;92.0;332.0;1.2;0.0
2023/01/02;0400 UTC;0.0;1009.1;1009.8;1009.1;0.0;23.3;22.0;23.6;23.3;22.2;21.9;92.0;92.0;92.0;322.0;1.2;0.0
2023/01/02;0500 UTC;0.0;1007.9;1009.1;1007.9;0.0;22.9;21.7;23.3;22.9;22.0;21.6;93.0;92.0;93.0;314.0;3.3;0.0
2023/01/02;0600 UTC;0.0;1007.6;1007.9;1007.5;0.0;22.7;21.6;22.9;22.7;21.7;21.5;93.0;93.0;93.0;309.0;0.0;0.0
2023/01/02;0700 UTC;0.0;1007.5;1007.7;1007.5;0.0;22.4;21.3;22.7;22.3;21.6;21.2;94.0;93.0;94.0;295.0;0.0;0.0
2023/01/02;0800 UTC;0.0;1007.4;1007.6;1007.4;0.0;22.3;21.3;22.5;22.3;21.5;21.3;94.0;94.0;94.0;290.0;1.5;0.8
2023/01/02;0900 UTC;0.0;1008.1;1008.2;1007.4;0.0;22.6;21.5;22.6;22.3;21.5;21.2;94.0;94.0;94.0;309.0;1.5;0.0
2023/01/02;1000 UTC;0.0;1008.7;1008.7;1008.1;15.6;22.5;21.5;22.6;22.4;21.5;21.3;94.0;94.0;94.0;307.0;1.6;0.4
2023/01/02;1100 UTC;0.0;1009.4;1009.4;1008.7;355.5;23.6;22.2;23.6;22.5;22.2;21.4;94.0;92.0;92.0;328.0;1.9;0.0
2023/01/02;1200 UTC;0.0;1010.1;1010.3;1009.4;851.2;25.6;22.5;25.6;23.6;22.9;22.1;92.0;83.0;83.0;74.0;2.3;0.4
