Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2023/01/01;0000 UTC;0.0;999.2;999.2;998.0;0.0;25.7;;28.1;25.7;;;;;;221.0;2.0;0.2
2023/01/01;0100 UTC;0.0;1000.6;1000.6;999.2;0.0;25.5;;25.7;25.2;;;;;;53.0;1.5;0.2
2023/01/01;0200 UTC;0.0;1001.2;1001.2;1000.6;0.0;25.4;;25.5;25.1;;;;;;20.0;0.9;0.3
2023/01/01;0300 UTC;0.0;1001.6;1001.6;1001.2;0.0;24.5;;25.4;24.5;;;;;;19.0;0.7;0.2
2023/01/01;0400 UTC;0.0;1001.4;1001.6;1001.4;0.0;24.1;;24.6;24.0;;;;;;238.0;1.0;0.3
2023/01/01;0500 UTC;0.0;1000.9;1001.4;1000.9;0.0;24.0;;24.2;24.0;;;;;;311.0;0.9;0.2
2023/01/01;0600 UTC;0.0;1000.3;1000.9;1000.3;0.0;24.3;;24.3;23.9;;;;;;2.0;1.2;0.2
2023/01/01;0700 UTC;0.0;999.9;1000.4;999.9;0.0;25.3;;25.6;24.2;;;;;;334.0;2.6;1.0
2023/01/01;0800 UTC;0.0;999.7;999.9;999.5;0.0;24.9;;25.4;24.9;;;;;;317.0;1.8;0.9
2023/01/01;0900 UTC;0.0;999.8;999.8;999.7;0.0;24.6;;24.9;24.4;;;;;;351.0;1.7;0.8
2023/01/01;1000 UTC;0.0;1000.2;1000.2;999.8;0.7;24.7;;25.1;24.6;;;;;;343.0;2.4;1.4
2023/01/01;1100 UTC;0.0;1001.7;1001.7;1000.2;170.1;25.3;;25.3;24.5;;;;;;330.0;2.9;1.6
2023/01/01;1200 UTC;0.0;1002.6;1002.6;1001.7;406.7;25.7;;25.9;25.2;;;;;;343.0;5.2;2.6
2023/01/01;1300 UTC;0.0;1003.4;1003.4;1002.7;1182.8;26.7;;27.0;25.6;;;;;;344.0;5.8;3.1
2023/01/01;1400 UTC;0.0;1003.4;1003.5;1003.4;2132.1;28.1;;28.8;26.7;;;;;;308.0;5.4;1.9
2023/01/01;1500 UTC;0.0;1002.5;1003.5;1002.5;2061.3;29.8;;30.0;28.1;;;;;;353.0;5.9;2.6
2023/01/01;1600 UTC;6.4;1001.8;1002.5;1001.8;1238.1;27.7;;30.2;25.1;;;;;;28.0;7.8;0.9
2023/01/01;1700 UTC;0.0;1000.4;1001.8;1000.4;1303.1;27.9;;29.9;27.7;;;;;;232.0;5.5;2.2
2023/01/01;1800 UTC;10.8;1000.7;1000.7;999.8;1819.8;23.4;;29.7;23.4;;;;;;302.0;12.6;5.5
2023/01/01;1900 UTC;12.6;999.4;1000.7;999.4;578.3;25.2;;25.3;23.2;;;;;;299.0;12.6;3.3
2023/01/01;2000 UTC;0.2;998.8;999.5;998.8;311.5;25.3;;25.4;25.2;;;;;;273.0;6.6;1.4
2023/01/01;2100 UTC;0.0;998.7;998.8;998.2;210.9;24.9;;25.3;24.9;;;;;;243.0;3.2;1.4
2023/01/01;2200 UTC;0.0;999.2;999.3;998.7;125.8;24.8;;25.0;24.7;;;;;;205.0;2.8;1.1
2023/01/01;2300 UTC;0.0;1000.0;1000.0;999.2;29.8;24.4;;24.7;24.4;;;;;;219.0;2.3;0.8
2023/01/02;0000 UTC;0.0;1000.5;1000.5;1000.0;0.0;24.1;;24.4;24.1;;;;;;155.0;1.4;0.8
2023/01/02;0100 UTC;0.0;1001.1;1001.1;1000.4;0.0;23.8;;24.1;23.8;;;;;;147.0;2.2;0.4
2023/01/02;0200 UTC;0.0;1001.3;1001.4;1001.0;0.0;23.4;;23.8;23.4;;;;;;161.0;1.4;0.6
2023/01/02;0300 UTC;0.0;1001.6;1001.7;1001.3;0.0;23.5;;23.6;23.3;;;;;;330.0;1.4;0.5
2023/01/02;0400 UTC;0.0;1001.0;1001.6;1001.0;0.0;23.3;;23.5;22.9;;;;;;71.0;1.3;0.7
2023/01/02;0500 UTC;0.0;1000.2;1001.0;1000.2;0.0;22.7;;23.3;22.4;;;;;;65.0;1.2;0.2
2023/01/02;0600 UTC;0.0;999.8;1000.2;999.8;0.0;22.5;;22.9;22.4;;;;;;333.0;1.4;0.4
2023/01/02;0700 UTC;0.0;999.9;999.9;999.7;0.0;22.8;;22.9;22.1;;;;;;282.0;1.4;0.4
2023/01/02;0800 UTC;0.0;1000.0;1000.0;999.8;0.0;23.2;;23.2;22.7;;;;;;90.0;1.0;0.5
2023/01/02;0900 UTC;0.0;1000.4;1000.5;1000.0;0.1;23.5;;23.6;23.1;;;;;;34.0;1.1;0.4
2023/01/02;1000 UTC;0.0;1001.2;1001.2;1000.4;0.2;23.4;;23.6;23.4;;;;;;125.0;1.5;0.5
2023/01/02;1100 UTC;0.0;1002.4;1002.4;1001.2;101.9;23.7;;23.7;23.3;;;;;;69.0;2.0;1.3
2023/01/02;1200 UTC;0.0;1003.2;1003.2;1002.4;471.2;24.5;;24.5;23.6;;;;;;81.0;2.4;1.3
2023/01/02;1300 UTC;0.0;1003.4;1003.4;1003.1;1133.6;26.2;;26.2;24.5;;;;;;26.0;2.8;1.1
2023/01/02;1400 UTC;0.0;1003.5;1003.7;1003.4;1677.9;27.6;;27.9;26.0;;;;;;1.0;3.1;1.2
2023/01/02;1500 UTC;0.0;1002.7;1003.5;1002.7;3095.6;29.6;;29.9;27.3;;;;;;331.0;6.1;2.5
2023/01/02;1600 UTC;0.0;1001.7;1002.6;1001.7;2725.2;30.1;;31.1;29.3;;;;;;330.0;6.8;3.3
2023/01/02;1700 UTC;0.0;1000.3;1001.8;1000.3;2486.2;30.5;;31.7;30.0;;;;;;322.0;7.4;3.5
2023/01/02;1800 UTC;0.0;999.1;1000.3;999.1;1964.7;31.4;;31.5;28.3;;;;;;314.0;8.4;4.0
2023/01/02;1900 UTC;0.2;998.0;999.1;998.0;1482.2;29.9;;31.4;28.6;;;;;;253.0;9.4;0.9
2023/01/02;2000 UTC;0.0;997.0;998.0;997.0;1703.4;31.4;;32.0;29.9;;;;;;314.0;6.6;3.3
2023/01/02;2100 UTC;0.0;997.1;997.1;996.9;1329.2;30.2;;31.9;30.1;;;;;;293.0;7.6;3.9
2023/01/02;2200 UTC;0.0;997.5;997.5;997.1;683.8;28.8;;30.7;28.7;;;;;;316.0;7.7;3.1
2023/01/02;2300 UTC;0.0;998.3;998.3;997.5;88.6;27.8;;28.9;27.8;;;;;;303.0;5.7;1.3
2023/01/03;0000 UTC;0.0;999.5;999.5;998.3;0.0;25.1;;27.9;25.1;;;;;;92.0;3.0;0.5
2023/01/03;0100 UTC;0.0;1000.7;1000.7;999.5;0.0;26.9;;27.0;24.8;;;;;;41.0;3.6;1.4
2023/01/03;0200 UTC;0.0;1001.0;1001.1;1000.7;0.0;26.2;;26.9;26.2;;;;;;37.0;4.8;1.8
2023/01/03;0300 UTC;0.0;1001.3;1001.4;1001.0;0.0;25.4;;26.2;25.4;;;;;;48.0;4.9;1.4
2023/01/03;0400 UTC;0.0;1001.1;1001.3;1001.1;0.0;24.5;;25.4;24.5;;;;;;21.0;4.1;1.6
2023/01/03;0500 UTC;0.0;1000.6;1001.1;1000.6;0.0;24.2;;24.5;24.2;;;;;;352.0;4.1;2.3
2023/01/03;0600 UTC;0.0;1000.4;1000.6;1000.2;0.0;24.0;;24.2;23.9;;;;;;326.0;5.2;2.3
2023/01/03;0700 UTC;0.0;1000.2;1000.4;1000.2;0.0;24.1;;24.3;24.0;;;;;;298.0;7.3;3.5
2023/01/03;0800 UTC;0.0;1000.2;1000.3;1000.2;0.0;23.5;;24.1;23.5;;;;;;308.0;7.2;3.2
2023/01/03;0900 UTC;0.0;1000.1;1000.2;1000.0;0.0;23.3;;23.5;23.2;;;;;;297.0;6.0;2.3
2023/01/03;1000 UTC;0.0;1000.5;1000.5;1000.1;0.1;23.3;;23.5;23.3;;;;;;334.0;4.0;1.8
2023/01/03;1100 UTC;0.0;1001.2;1001.2;1000.5;93.4;23.5;;23.5;23.2;;;;;;354.0;3.4;1.5
2023/01/03;1200 UTC;0.0;1002.1;1002.2;1001.3;299.3;24.1;;24.1;23.5;;;;;;338.0;3.4;1.7
2023/01/03;1300 UTC;0.0;1002.5;1002.5;1002.1;777.6;25.1;;25.2;24.1;;;;;;7.0;3.5;1.0
2023/01/03;1400 UTC;0.0;1002.8;1002.8;1002.5;822.8;25.8;;25.8;25.1;;;;;;47.0;2.7;1.1
2023/01/03;1500 UTC;0.0;1002.8;1002.8;1002.8;946.8;26.0;;26.4;25.7;;;;;;23.0;3.6;1.6
2023/01/03;1600 UTC;0.0;1002.2;1002.8;1002.2;1750.1;27.8;;28.0;26.0;;;;;;7.0;4.4;1.9
2023/01/03;1700 UTC;0.0;1001.4;1002.2;1001.4;1681.2;28.1;;28.7;27.4;;;;;;327.0;4.6;2.5
2023/01/03;1800 UTC;0.0;1000.3;1001.4;1000.3;1816.4;28.4;;28.7;27.8;;;;;;9.0;4.6;1.7
2023/01/03;1900 UTC;0.0;998.6;1000.3;998.6;1997.4;30.2;;30.2;28.0;;;;;;48.0;4.3;1.1
2023/01/03;2000 UTC;0.0;997.2;998.6;997.2;1634.9;29.5;;30.7;29.3;;;;;;357.0;4.6;2.2
2023/01/03;2100 UTC;0.0;996.6;997.2;996.5;941.8;29.9;;30.6;29.3;;;;;;345.0;4.9;2.1
2023/01/03;2200 UTC;0.0;997.0;997.0;996.6;227.8;28.4;;30.0;28.4;;;;;;324.0;5.3;3.0
2023/01/03;2300 UTC;0.0;997.2;997.2;996.8;43.6;27.4;;28.5;27.3;;;;;;1.0;5.5;1.2
2023/01/04;0000 UTC;0.0;998.1;998.1;997.2;0.0;24.7;;27.4;24.7;;;;;;337.0;2.4;0.4
2023/01/04;0100 UTC;0.0;999.0;999.0;998.1;0.0;24.0;;24.8;23.8;;;;;;91.0;1.8;0.5
2023/01/04;0200 UTC;0.0;999.7;999.7;999.0;0.0;23.4;;24.1;23.4;;;;;;93.0;1.1;0.2
2023/01/04;0300 UTC;0.0;1000.2;1000.2;999.7;0.0;23.3;;23.5;23.3;;;;;;102.0;0.7;0.5
2023/01/04;0400 UTC;0.0;1000.6;1000.6;1000.2;0.0;24.9;;24.9;23.1;;;;;;24.0;3.2;1.0
2023/01/04;0500 UTC;;;;;;;;;;;;;;;;;
2023/01/04;0600 UTC;;;;;;;;;;;;;;;;;
2023/01/04;0700 UTC;;;;;;;;;;;;;;;;;
2023/01/04;0800 UTC;;;;;;;;;;;;;;;;;
2023/01/04;0900 UTC;;;;;;;;;;;;;;;;;
2023/01/04;1000 UTC;;;;;;;;;;;;;;;;;
2023/01/04;1100 UTC;;;;;;;;;;;;;;;;;
2023/01/04;1200 UTC;;;;;;;;;;;;;;;;;
2023/01/04;1300 UTC;;;;;;;;;;;;;;;;;
2023/01/04;1400 UTC;;;;;;;;;;;;;;;;;
2023/01/04;1500 UTC;;;;;;;;;;;;;;;;;
2023/01/04;1600 UTC;;;;;;;;;;;;;;;;;
2023/01/04;1700 UTC;;;;;;;;;;;;;;;;;
2023/01/04;1800 UTC;;;;;;;;;;;;;;;;;
2023/01/04;1900 UTC;;;;;;;;;;;;;;;;;
2023/01/04;2000 UTC;;;;;;;;;;;;;;;;;
2023/01/04;2100 UTC;;;;;;;;;;;;;;;;;
2023/01/04;2200 UTC;;;;;;;;;;;;;;;;;
2023/01/04;2300 UTC;;;;;;;;;;;;;;;;;
2023/01/05;0000 UTC;;;;;;;;;;;;;;;;;
2023/01/05;0100 UTC;;;;;;;;;;;;;;;;;
2023/01/05;0200 UTC;;;;;;;;;;;;;;;;;
2023/01/05;0300 UTC;;;;;;;;;;;;;;;;;
2023/01/05;0400 UTC;;;;;;;;;;;;;;;;;
2023/01/05;0500 UTC;;;;;;;;;;;;;;;;;
2023/01/05;0600 UTC;;;;;;;;;;;;;;;;;
2023/01/05;0700 UTC;;;;;;;;;;;;;;;;;
2023/01/05;0800 UTC;;;;;;;;;;;;;;;;;
2023/01/05;0900 UTC;;;;;;;;;;;;;;;;;
2023/01/05;1000 UTC;;;;;;;;;;;;;;;;;
2023/01/05;1100 UTC;;;;;;;;;;;;;;;;;
2023/01/05;1200 UTC;;;;;;;;;;;;;;;;;
2023/01/05;1300 UTC;;;;;;;;;;;;;;;;;
