Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2023/01/01;0000 UTC;0.2;908.6;908.6;907.7;254.9;17.8;12.2;19.0;17.8;14.1;9.2;76.0;57.0;70.0;142.0;3.6;0.1
2023/01/01;0100 UTC;0.0;909.0;909.0;908.6;254.9;17.6;12.3;18.0;17.6;13.6;11.1;76.0;64.0;71.0;201.0;2.7;0.4
2023/01/01;0200 UTC;0.0;908.5;909.0;908.4;254.9;16.8;11.0;17.6;16.8;13.0;10.2;76.0;62.0;69.0;124.0;3.7;0.7
2023/01/01;0300 UTC;0.0;907.9;908.5;907.9;254.9;16.9;11.5;16.9;16.4;12.2;9.7;76.0;63.0;71.0;109.0;4.6;0.7
2023/01/01;0400 UTC;0.0;907.3;907.9;907.2;254.9;17.0;12.3;17.1;16.6;12.8;10.1;76.0;64.0;74.0;80.0;4.6;0.7
2023/01/01;0500 UTC;0.0;906.7;907.3;906.7;254.9;17.3;12.3;17.3;17.0;12.6;10.4;75.0;64.0;72.0;22.0;3.8;0.7
2023/01/01;0600 UTC;0.0;906.3;906.7;906.3;254.9;17.3;12.6;17.5;17.3;12.9;10.0;75.0;62.0;74.0;32.0;4.8;0.9
2023/01/01;0700 UTC;0.0;906.5;906.5;906.1;254.9;17.2;12.7;17.3;17.1;13.0;10.2;77.0;61.0;75.0;34.0;5.6;1.1
2023/01/01;0800 UTC;0.0;906.9;906.9;906.4;254.9;17.2;12.4;17.3;17.1;13.0;10.5;77.0;64.0;73.0;24.0;4.9;0.3
2023/01/01;0900 UTC;0.0;907.2;907.2;906.8;254.9;17.3;13.0;17.4;17.2;13.0;10.6;76.0;63.0;76.0;43.0;4.0;1.2
