Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2023/01/01;0000 UTC;0.0;1007.3;1007.4;1007.0;;24.6;21.6;24.7;24.6;21.8;21.5;84.0;83.0;83.0;53.0;12.7;7.8
2023/01/01;0100 UTC;0.0;1007.2;1007.5;1007.1;;24.4;21.4;24.6;24.4;21.8;21.4;85.0;83.0;83.0;56.0;11.0;6.6
2023/01/01;0200 UTC;0.0;1007.0;1007.3;1006.9;;24.3;20.9;24.5;24.3;21.4;20.9;83.0;81.0;81.0;54.0;10.6;7.1
2023/01/01;0300 UTC;0.0;1006.2;1007.0;1006.1;;24.2;20.7;24.4;24.2;20.9;20.6;81.0;80.0;81.0;51.0;9.5;6.8
2023/01/01;0400 UTC;0.0;1005.8;1006.4;1005.8;;23.9;21.0;24.2;23.9;21.0;20.7;84.0;81.0;84.0;50.0;9.0;5.5
2023/01/01;0500 UTC;0.0;1005.2;1005.8;1005.1;;23.5;20.4;23.9;23.5;21.0;20.3;84.0;82.0;82.0;50.0;7.9;5.1
2023/01/01;0600 UTC;0.0;1004.9;1005.2;1004.9;;23.2;20.1;23.5;23.2;20.4;20.1;83.0;82.0;83.0;35.0;6.9;2.9
2023/01/01;0700 UTC;0.0;1004.9;1005.0;1004.9;;23.0;20.3;23.2;22.9;20.3;19.9;85.0;82.0;85.0;42.0;6.0;4.5
2023/01/01;0800 UTC;0.0;1005.5;1005.5;1004.9;;22.9;19.8;23.0;22.9;20.4;19.8;85.0;83.0;83.0;15.0;6.0;3.7
2023/01/01;0900 UTC;0.0;1006.2;1006.2;1005.5;121.1;23.3;19.2;23.3;22.8;19.8;19.2;83.0;77.0;77.0;35.0;4.9;3.6
2023/01/01;1000 UTC;0.0;1006.9;1006.9;1006.2;398.3;24.2;19.4;24.3;23.3;19.7;19.0;78.0;73.0;74.0;42.0;5.4;4.2
2023/01/01;1100 UTC;0.0;1007.0;1007.1;1006.8;1134.4;26.1;20.0;26.2;24.2;20.4;19.3;76.0;68.0;69.0;39.0;5.6;4.0
2023/01/01;1200 UTC;0.0;1007.3;1007.3;1007.0;988.8;26.0;20.1;26.5;26.0;20.1;19.3;70.0;65.0;70.0;40.0;6.2;2.8
2023/01/01;1300 UTC;0.0;1007.2;1007.4;1007.2;1757.7;29.0;19.4;29.1;25.9;20.5;19.2;70.0;55.0;56.0;43.0;4.4;2.6
2023/01/01;1400 UTC;0.0;1006.6;1007.2;1006.6;3229.3;30.6;18.9;30.6;29.0;20.6;18.7;59.0;50.0;50.0;3.0;6.1;3.5
2023/01/01;1500 UTC;0.0;1006.1;1006.6;1005.9;3507.5;30.8;20.1;31.1;30.1;20.4;18.4;54.0;47.0;53.0;344.0;9.4;3.4
2023/01/01;1600 UTC;0.0;1005.3;1006.1;1005.3;2849.5;30.6;20.6;30.9;30.2;21.2;20.0;58.0;53.0;55.0;63.0;9.4;5.3
2023/01/01;1700 UTC;0.0;1005.2;1005.3;1005.0;2392.1;27.8;20.6;30.8;27.8;21.4;20.4;65.0;55.0;65.0;55.0;10.5;7.2
2023/01/01;1800 UTC;0.0;1004.8;1005.2;1004.1;209.5;25.2;21.8;27.8;25.2;21.8;20.8;82.0;65.0;82.0;56.0;13.5;7.6
2023/01/01;1900 UTC;0.6;1005.3;1005.3;1004.3;110.1;24.4;22.4;25.1;24.4;22.4;21.7;89.0;82.0;89.0;55.0;12.4;7.3
