Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2023/01/01;0000 UTC;0.2;936.4;936.4;935.6;;20.6;19.1;21.7;20.6;20.0;19.1;91.0;90.0;91.0;230.0;1.7;0.7
2023/01/01;0100 UTC;0.0;936.1;936.4;936.1;;20.3;18.8;20.8;20.3;19.3;18.8;92.0;91.0;91.0;37.0;2.7;0.4
2023/01/01;0200 UTC;0.0;936.0;936.1;936.0;;21.0;17.7;21.9;19.8;19.1;17.7;91.0;79.0;81.0;55.0;7.4;1.1
2023/01/01;0300 UTC;0.0;935.4;936.1;935.4;;21.6;17.1;21.7;20.4;17.7;17.1;84.0;76.0;76.0;71.0;5.8;2.1
2023/01/01;0400 UTC;0.0;935.3;935.4;935.2;;20.1;16.6;21.6;20.1;17.5;16.3;85.0;74.0;81.0;207.0;5.5;0.8
2023/01/01;0500 UTC;0.0;934.6;935.3;934.6;;20.3;17.3;20.8;19.7;17.3;16.6;85.0;77.0;83.0;19.0;3.5;0.8
2023/01/01;0600 UTC;0.0;934.3;934.6;934.3;;19.6;15.8;20.5;19.5;17.3;15.6;83.0;75.0;79.0;52.0;4.1;1.1
2023/01/01;0700 UTC;0.0;934.3;934.4;934.3;;18.8;16.0;20.2;18.6;16.1;15.3;84.0;74.0;84.0;351.0;4.8;0.6
2023/01/01;0800 UTC;0.0;934.4;934.5;934.3;;19.7;16.1;20.4;18.6;16.2;15.7;85.0;75.0;80.0;90.0;6.2;0.9
2023/01/01;0900 UTC;0.0;935.2;935.2;934.4;49.6;20.3;16.5;20.8;19.3;16.5;15.9;82.0;75.0;79.0;28.0;6.2;0.7
2023/01/01;1000 UTC;0.0;935.8;935.9;935.2;261.8;20.7;16.9;21.3;20.2;17.1;15.7;80.0;70.0;79.0;287.0;4.4;0.5
2023/01/01;1100 UTC;0.0;936.1;936.1;935.8;547.2;21.8;16.8;21.8;20.7;17.5;16.0;81.0;70.0;73.0;356.0;5.0;1.6
2023/01/01;1200 UTC;0.0;936.5;936.6;936.1;644.4;22.3;16.6;22.4;21.4;17.1;16.6;75.0;70.0;70.0;17.0;4.6;1.1
2023/01/01;1300 UTC;0.0;936.4;936.6;936.4;1093.1;22.7;16.4;22.7;22.3;17.0;16.0;71.0;67.0;67.0;73.0;6.2;3.5
2023/01/01;1400 UTC;0.0;935.9;936.4;935.9;911.5;23.2;16.2;23.2;22.3;16.6;15.6;69.0;64.0;65.0;69.0;6.6;2.3
2023/01/01;1500 UTC;0.0;935.7;935.9;935.7;2853.7;25.3;15.9;25.4;23.2;17.3;15.6;68.0;56.0;56.0;18.0;5.0;1.6
2023/01/01;1600 UTC;0.0;934.9;935.7;934.9;2648.6;25.7;15.7;26.0;24.6;17.1;15.5;61.0;53.0;54.0;356.0;5.7;2.2
2023/01/01;1700 UTC;0.0;934.5;934.9;934.4;2261.5;25.6;15.7;26.9;25.3;16.8;14.8;56.0;50.0;54.0;9.0;5.9;2.9
2023/01/01;1800 UTC;0.0;933.8;934.5;933.8;1589.2;25.8;16.0;26.0;25.2;16.8;15.2;58.0;53.0;55.0;32.0;5.7;2.1
2023/01/01;1900 UTC;0.0;933.7;933.9;933.6;1045.6;24.6;16.2;26.0;24.6;16.8;15.6;60.0;54.0;60.0;305.0;4.8;0.9
2023/01/01;2000 UTC;0.0;934.5;934.5;933.6;108.4;21.1;17.6;24.6;21.1;17.7;15.5;81.0;58.0;81.0;185.0;2.8;1.2
2023/01/01;2100 UTC;0.6;934.5;934.6;934.4;15.3;19.9;17.8;21.1;19.9;18.0;17.6;88.0;81.0;88.0;178.0;1.6;0.5
2023/01/01;2200 UTC;1.6;935.3;935.3;934.4;;19.4;18.0;19.9;19.2;18.0;17.7;92.0;88.0;92.0;94.0;1.3;0.3
2023/01/01;2300 UTC;1.4;935.7;935.9;935.3;;19.7;18.4;19.7;19.4;18.4;18.0;92.0;92.0;92.0;143.0;1.8;0.4
2023/01/02;0000 UTC;1.6;935.7;935.8;935.3;;19.8;18.3;19.9;19.7;18.6;18.3;92.0;91.0;91.0;284.0;4.1;0.9
2023/01/02;0100 UTC;1.2;936.7;936.7;935.7;;19.6;18.1;19.8;19.4;18.3;18.0;92.0;91.0;91.0;82.0;3.0;1.0
2023/01/02;0200 UTC;0.4;936.3;936.9;936.2;;19.5;18.1;19.6;19.4;18.2;18.0;92.0;91.0;91.0;62.0;2.1;0.8
2023/01/02;0300 UTC;0.0;935.6;936.3;935.6;;18.9;17.5;19.5;18.9;18.0;17.5;92.0;91.0;92.0;173.0;1.9;0.4
2023/01/02;0400 UTC;0.8;934.6;935.6;934.6;;18.9;17.7;18.9;18.8;17.7;17.5;93.0;92.0;93.0;249.0;1.8;0.3
2023/01/02;0500 UTC;0.0;933.1;934.6;933.1;;19.2;17.5;20.0;18.9;18.4;17.4;93.0;87.0;89.0;16.0;6.5;0.6
2023/01/02;0600 UTC;0.0;932.3;933.1;932.1;;18.6;16.1;20.6;18.6;17.6;15.8;90.0;74.0;85.0;149.0;8.1;1.3
2023/01/02;0700 UTC;0.0;932.9;932.9;932.0;;18.0;16.6;19.1;18.0;16.7;16.2;91.0;85.0;91.0;127.0;4.1;0.9
2023/01/02;0800 UTC;0.0;933.7;933.7;932.9;;18.4;17.1;18.4;18.0;17.1;16.6;92.0;91.0;92.0;214.0;2.1;0.5
2023/01/02;0900 UTC;0.0;934.2;934.2;933.7;19.0;18.6;17.4;18.7;18.4;17.4;17.1;93.0;92.0;92.0;188.0;1.6;0.6
2023/01/02;1000 UTC;0.0;935.1;935.1;934.2;93.5;18.9;17.6;18.9;18.6;17.7;17.3;93.0;92.0;92.0;194.0;1.5;0.6
2023/01/02;1100 UTC;0.0;935.2;935.5;935.1;386.5;20.3;18.1;20.3;18.7;18.4;17.4;93.0;88.0;88.0;127.0;1.1;0.3
2023/01/02;1200 UTC;0.0;935.4;935.6;935.2;1075.7;22.1;16.3;22.1;20.3;18.7;15.9;89.0;69.0;70.0;12.0;5.0;2.4
