Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2023/01/01;0000 UTC;0.0;994.9;994.9;993.9;;25.9;19.4;26.1;25.8;19.9;19.3;70.0;66.0;67.0;71.0;4.6;1.5
2023/01/01;0100 UTC;0.0;995.3;995.3;994.9;;25.9;19.5;26.0;25.8;19.5;19.2;68.0;67.0;68.0;89.0;4.8;2.1
2023/01/01;0200 UTC;0.0;995.2;995.3;995.2;;24.9;20.1;25.9;24.9;20.1;19.4;75.0;68.0;75.0;69.0;5.4;2.0
2023/01/01;0300 UTC;0.0;994.8;995.2;994.8;;24.2;20.2;24.9;24.2;20.3;20.1;79.0;75.0;78.0;74.0;4.9;1.9
2023/01/01;0400 UTC;0.0;994.1;994.8;994.1;;23.5;20.3;24.2;23.5;20.3;20.2;82.0;78.0;82.0;40.0;3.9;0.5
2023/01/01;0500 UTC;0.0;993.8;994.1;993.8;;23.3;20.4;23.6;23.2;20.5;20.3;84.0;82.0;84.0;35.0;1.8;0.5
2023/01/01;0600 UTC;0.0;993.7;993.9;993.6;;22.9;20.3;23.6;22.9;20.5;20.3;85.0;83.0;85.0;16.0;1.5;0.5
2023/01/01;0700 UTC;0.0;993.7;993.8;993.6;;22.2;20.1;22.9;22.2;20.4;20.1;88.0;85.0;88.0;323.0;2.4;1.1
2023/01/01;0800 UTC;0.0;993.9;993.9;993.6;;22.1;20.2;22.3;22.1;20.3;20.1;89.0;88.0;89.0;304.0;2.4;0.0
2023/01/01;0900 UTC;0.0;994.8;994.8;993.9;117.9;22.3;20.2;22.3;22.1;20.3;20.1;89.0;88.0;88.0;335.0;1.9;0.7
2023/01/01;1000 UTC;0.0;995.1;995.1;994.8;630.9;24.0;20.5;24.1;22.3;20.7;20.1;88.0;80.0;81.0;321.0;2.2;0.3
2023/01/01;1100 UTC;0.0;995.6;995.6;995.1;715.7;24.1;20.9;24.8;23.8;20.9;19.9;82.0;75.0;82.0;56.0;2.6;1.0
2023/01/01;1200 UTC;0.0;995.6;995.7;995.6;1549.9;24.6;20.3;25.8;23.9;21.6;19.5;84.0;71.0;77.0;102.0;4.1;0.8
2023/01/01;1300 UTC;0.0;995.3;995.7;995.3;2463.3;26.2;19.8;27.0;24.6;20.7;19.3;78.0;65.0;68.0;62.0;4.4;1.5
2023/01/01;1400 UTC;0.0;994.4;995.3;994.4;3283.0;29.3;19.9;29.5;26.2;21.1;19.2;69.0;57.0;57.0;359.0;4.2;0.8
2023/01/01;1500 UTC;0.0;993.6;994.4;993.6;2501.2;29.4;19.6;30.1;28.6;20.7;19.0;60.0;53.0;56.0;323.0;4.5;2.0
