Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2023/01/01;0000 UTC;0.0;939.9;939.9;939.0;;23.8;18.8;25.4;23.8;18.9;17.6;74.0;62.0;74.0;216.0;1.8;1.3
2023/01/01;0100 UTC;0.0;940.2;940.2;939.9;;23.8;18.8;24.0;23.8;19.0;18.5;74.0;71.0;74.0;178.0;2.3;1.5
2023/01/01;0200 UTC;0.0;940.6;940.7;940.2;;23.7;19.1;23.9;22.9;19.4;18.5;80.0;72.0;75.0;331.0;3.0;0.3
2023/01/01;0300 UTC;0.0;940.3;940.6;940.3;;23.8;18.1;24.2;23.7;19.1;18.0;75.0;70.0;70.0;291.0;1.9;0.1
2023/01/01;0400 UTC;0.0;939.5;940.3;939.5;;22.7;18.9;23.9;22.6;19.4;17.6;82.0;68.0;79.0;226.0;2.8;2.0
2023/01/01;0500 UTC;0.0;939.2;939.5;939.1;;22.3;18.3;22.7;22.3;19.0;18.3;81.0;78.0;78.0;219.0;3.2;0.9
2023/01/01;0600 UTC;0.0;939.0;939.2;938.9;;21.4;18.8;22.3;21.4;18.8;18.0;85.0;77.0;85.0;246.0;4.4;2.8
2023/01/01;0700 UTC;0.6;939.2;939.4;939.0;;20.5;19.0;21.4;20.5;19.3;18.8;91.0;85.0;91.0;227.0;6.1;4.6
2023/01/01;0800 UTC;0.2;939.3;939.4;939.1;;20.0;18.5;20.5;20.0;19.0;18.5;91.0;91.0;91.0;224.0;6.1;2.1
2023/01/01;0900 UTC;0.0;939.4;939.5;939.2;49.9;20.0;18.7;20.0;19.8;18.7;18.5;92.0;91.0;92.0;154.0;3.7;1.0
2023/01/01;1000 UTC;0.0;940.0;940.0;939.4;477.4;21.0;19.2;21.0;20.0;19.4;18.7;92.0;89.0;89.0;112.0;2.6;1.8
2023/01/01;1100 UTC;0.0;940.7;940.7;940.0;990.6;22.6;19.4;22.6;21.0;19.7;18.9;89.0;82.0;82.0;34.0;3.3;0.2
2023/01/01;1200 UTC;0.0;941.0;941.1;940.7;1682.5;24.2;18.5;24.4;22.6;20.2;18.5;83.0;70.0;70.0;74.0;4.1;1.9
2023/01/01;1300 UTC;0.0;940.8;941.0;940.8;1601.1;25.1;18.0;25.6;24.2;19.6;17.5;74.0;63.0;65.0;9.0;6.0;2.7
2023/01/01;1400 UTC;0.0;940.5;940.8;940.5;1576.1;25.7;18.4;25.8;25.1;19.3;18.0;69.0;64.0;64.0;351.0;5.5;2.1
2023/01/01;1500 UTC;0.2;940.1;940.6;940.1;1777.6;26.4;17.7;26.6;25.4;19.6;17.7;68.0;58.0;59.0;15.0;4.7;2.0
2023/01/01;1600 UTC;0.0;939.1;940.1;939.1;2468.3;27.5;18.2;28.1;26.3;18.9;17.5;61.0;54.0;57.0;5.0;4.9;1.9
2023/01/01;1700 UTC;0.0;938.5;939.1;938.5;1594.4;27.5;17.2;27.9;27.3;18.8;16.4;59.0;50.0;53.0;354.0;4.5;1.8
2023/01/01;1800 UTC;0.0;937.9;938.5;937.9;1556.2;27.2;17.2;28.9;27.2;18.4;16.4;56.0;49.0;54.0;322.0;4.2;1.8
2023/01/01;1900 UTC;0.0;938.1;938.2;937.8;128.4;22.4;19.5;27.2;22.4;19.5;17.2;84.0;54.0;84.0;114.0;7.9;2.6
2023/01/01;2000 UTC;0.0;938.4;938.4;938.0;483.2;21.6;19.0;22.6;21.5;19.7;18.6;86.0;82.0;85.0;103.0;7.0;3.2
2023/01/01;2100 UTC;0.0;938.6;938.6;938.2;180.0;21.5;18.7;21.7;21.2;19.1;18.5;86.0;82.0;84.0;117.0;6.2;2.2
2023/01/01;2200 UTC;0.0;938.6;938.6;938.4;7.3;22.0;18.6;22.1;21.3;18.9;18.6;86.0;81.0;81.0;81.0;5.1;3.6
2023/01/01;2300 UTC;0.0;939.8;939.8;938.6;;21.8;18.7;22.0;21.8;18.8;18.6;83.0;81.0;82.0;93.0;5.2;2.5
2023/01/02;0000 UTC;0.4;940.7;940.7;939.8;;21.0;18.9;21.9;21.0;18.9;18.7;88.0;82.0;88.0;160.0;4.8;2.9
2023/01/02;0100 UTC;0.4;939.5;940.8;939.4;;20.8;18.6;21.0;20.6;19.0;18.6;90.0;87.0;88.0;61.0;6.4;3.5
2023/01/02;0200 UTC;0.0;939.9;940.3;939.5;;20.4;18.4;20.8;20.4;18.7;18.4;89.0;87.0;88.0;137.0;6.4;1.4
2023/01/02;0300 UTC;0.0;940.0;940.3;939.2;;20.2;18.6;20.6;20.0;18.8;18.4;91.0;88.0;91.0;242.0;3.3;1.7
2023/01/02;0400 UTC;0.0;938.6;940.0;938.6;;19.8;18.4;20.4;19.8;18.8;18.4;91.0;90.0;91.0;113.0;2.4;0.4
2023/01/02;0500 UTC;0.0;938.4;938.7;938.4;;19.8;18.4;19.8;19.6;18.4;18.2;92.0;91.0;92.0;152.0;2.5;1.0
2023/01/02;0600 UTC;0.0;937.8;938.4;937.8;;19.9;18.2;19.9;19.6;18.4;18.1;92.0;90.0;90.0;131.0;2.8;1.8
2023/01/02;0700 UTC;0.0;938.3;938.3;937.8;;20.1;18.1;20.1;19.8;18.3;18.1;90.0;88.0;88.0;96.0;2.8;0.1
