Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2023/01/01;0000 UTC;;;;;;;;;;;;;;;;;
2023/01/01;0100 UTC;;;;;;;;;;;;;;;;;
2023/01/01;0200 UTC;0.0;954.4;954.4;954.1;;25.0;19.2;25.7;25.0;19.2;18.9;70.0;66.0;70.0;;;
2023/01/01;0300 UTC;0.0;954.1;954.5;954.1;;23.7;19.1;25.3;23.7;19.2;18.7;76.0;68.0;76.0;;;
2023/01/01;0400 UTC;0.0;953.6;954.1;953.6;;22.1;19.6;23.7;21.9;19.6;19.0;87.0;75.0;86.0;;;
2023/01/01;0500 UTC;0.0;953.4;953.6;953.4;;21.0;19.7;22.1;21.0;20.3;19.4;94.0;85.0;92.0;;;
2023/01/01;0600 UTC;0.0;953.4;953.5;953.3;;20.4;20.0;21.0;20.4;20.2;19.5;99.0;91.0;98.0;;;
2023/01/01;0700 UTC;0.0;953.4;953.4;953.3;;19.5;19.5;20.5;19.5;20.0;19.5;100.0;97.0;100.0;;;
2023/01/01;0800 UTC;0.0;953.6;953.6;953.3;;20.6;19.6;20.6;19.4;20.1;19.4;100.0;94.0;94.0;;;
2023/01/01;0900 UTC;0.0;954.1;954.1;953.6;62.0;20.9;20.1;21.1;20.6;20.1;19.3;97.0;90.0;95.0;;;
2023/01/01;1000 UTC;0.0;954.8;954.8;954.1;622.9;24.3;19.7;24.3;20.9;20.5;18.6;97.0;73.0;75.0;;;
2023/01/01;1100 UTC;0.0;955.1;955.1;954.8;1582.0;25.6;18.6;25.7;24.2;19.8;17.6;75.0;62.0;65.0;;;
2023/01/01;1200 UTC;0.0;955.3;955.3;955.1;1947.1;26.4;17.8;26.4;24.9;19.2;17.8;68.0;59.0;59.0;;;
2023/01/01;1300 UTC;0.0;955.1;955.4;955.1;3014.2;27.6;18.5;28.5;26.0;19.8;17.5;63.0;55.0;58.0;;;
2023/01/01;1400 UTC;0.0;954.6;955.1;954.6;3941.1;28.6;19.0;29.1;27.6;19.9;17.9;61.0;51.0;56.0;;;
2023/01/01;1500 UTC;0.0;954.0;954.6;954.0;3078.9;28.9;18.4;29.7;28.4;19.9;17.8;56.0;51.0;53.0;;;
2023/01/01;1600 UTC;0.0;953.4;954.0;953.4;3424.3;30.6;19.5;30.7;28.5;19.7;17.8;56.0;47.0;52.0;;;
2023/01/01;1700 UTC;0.0;952.5;953.3;952.5;2339.7;30.3;19.3;31.2;29.4;20.1;17.4;55.0;47.0;52.0;;;
2023/01/01;1800 UTC;0.0;951.5;952.5;951.5;3129.0;32.1;18.8;32.2;30.3;19.8;17.6;52.0;44.0;45.0;;;
