Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2023/01/01;0000 UTC;0.0;933.7;933.8;932.6;;21.1;20.6;21.8;21.0;20.6;18.3;97.0;83.0;97.0;158.0;1.8;1.2
2023/01/01;0100 UTC;0.0;934.0;934.1;933.7;;21.4;21.3;21.6;21.1;21.3;20.5;100.0;97.0;99.0;288.0;2.2;0.3
2023/01/01;0200 UTC;0.4;934.6;934.6;934.0;;21.8;19.0;22.0;21.4;21.4;18.9;99.0;84.0;84.0;167.0;4.8;3.1
2023/01/01;0300 UTC;2.2;934.2;934.8;934.2;;20.8;20.0;21.8;20.7;20.2;18.9;96.0;84.0;95.0;189.0;5.3;3.5
2023/01/01;0400 UTC;0.2;933.5;934.4;933.5;;20.5;20.0;20.8;20.4;20.3;20.0;99.0;95.0;97.0;171.0;4.9;2.8
2023/01/01;0500 UTC;0.0;932.2;933.5;932.0;;19.8;19.8;20.5;19.8;20.0;19.6;100.0;97.0;100.0;105.0;4.3;0.7
2023/01/01;0600 UTC;0.0;932.1;932.2;931.9;;20.0;19.9;20.1;19.7;20.2;19.8;;99.0;99.0;145.0;2.0;0.9
2023/01/01;0700 UTC;0.0;932.5;932.6;932.1;;19.6;19.9;20.0;19.4;19.9;19.5;;99.0;;163.0;1.9;0.9
2023/01/01;0800 UTC;0.0;932.9;932.9;932.6;;19.3;19.7;19.7;19.3;20.0;19.7;;;;179.0;1.6;0.5
2023/01/01;0900 UTC;0.0;933.2;933.3;932.8;12.9;19.7;20.1;19.7;19.3;20.1;19.6;;;;130.0;2.8;1.0
2023/01/01;1000 UTC;0.0;933.6;933.6;933.2;237.1;20.8;20.5;20.8;19.7;20.9;20.1;;98.0;98.0;183.0;2.6;1.9
2023/01/01;1100 UTC;0.0;933.9;934.1;933.6;313.1;21.7;20.9;21.7;20.8;21.0;19.7;98.0;90.0;95.0;151.0;2.6;0.8
2023/01/01;1200 UTC;0.0;934.4;934.4;933.9;661.8;22.9;19.2;23.1;21.7;20.9;19.0;95.0;78.0;80.0;20.0;1.8;0.7
2023/01/01;1300 UTC;0.0;934.6;934.8;934.4;835.9;24.0;19.7;24.0;22.8;19.7;18.4;81.0;73.0;76.0;54.0;2.2;1.1
2023/01/01;1400 UTC;0.8;934.4;934.7;934.4;507.6;22.8;19.7;24.2;22.8;19.8;18.4;83.0;71.0;83.0;88.0;2.1;0.8
2023/01/01;1500 UTC;1.2;934.1;934.5;934.1;359.4;22.7;19.9;22.8;22.5;20.0;19.4;86.0;82.0;85.0;153.0;1.4;0.7
2023/01/01;1600 UTC;0.4;933.5;934.2;933.5;1351.4;24.0;20.4;24.1;22.6;21.6;19.6;93.0;79.0;81.0;94.0;3.7;2.0
2023/01/01;1700 UTC;0.0;932.5;933.5;932.4;2366.9;25.1;19.0;25.7;23.8;20.7;18.6;81.0;68.0;69.0;76.0;5.5;2.9
2023/01/01;1800 UTC;0.0;932.1;932.6;932.0;1283.8;24.2;18.7;25.8;24.1;19.9;18.3;72.0;67.0;72.0;75.0;5.9;2.1
2023/01/01;1900 UTC;0.0;931.9;932.1;931.8;205.2;23.6;18.7;24.1;23.5;19.2;18.4;76.0;70.0;74.0;111.0;4.1;1.4
2023/01/01;2000 UTC;0.0;931.5;931.8;931.2;848.0;24.6;18.6;25.2;23.6;19.6;18.6;75.0;68.0;69.0;71.0;3.8;1.7
2023/01/01;2100 UTC;0.0;932.3;932.3;931.5;139.3;22.0;18.3;24.6;22.0;19.0;18.2;80.0;68.0;80.0;332.0;8.0;5.0
2023/01/01;2200 UTC;14.4;932.9;932.9;932.3;6.4;19.9;20.3;22.0;19.8;20.3;18.4;;80.0;;269.0;8.0;0.8
2023/01/01;2300 UTC;0.2;933.6;933.7;932.7;;19.9;20.3;20.1;19.8;20.4;20.2;;;;205.0;2.7;1.2
2023/01/02;0000 UTC;0.0;934.3;934.3;933.5;;20.0;20.4;20.0;19.8;20.5;20.2;;;;166.0;2.6;1.0
2023/01/02;0100 UTC;0.4;933.5;934.3;933.5;;20.0;20.5;20.0;19.9;20.5;20.3;;;;65.0;2.6;1.6
2023/01/02;0200 UTC;0.4;933.5;933.8;933.2;;20.0;20.3;20.3;19.9;20.8;20.3;;;;170.0;3.9;1.1
2023/01/02;0300 UTC;0.6;934.0;934.1;933.5;;20.3;20.3;20.3;20.0;20.5;20.2;;100.0;100.0;213.0;4.9;2.5
2023/01/02;0400 UTC;0.6;932.7;934.0;932.7;;19.6;20.0;20.3;19.6;20.2;20.0;;99.0;;156.0;4.0;1.3
2023/01/02;0500 UTC;0.2;932.3;932.8;932.2;;20.0;20.4;20.1;19.6;20.6;20.0;;;;151.0;3.3;1.1
2023/01/02;0600 UTC;0.0;932.2;932.5;932.1;;19.9;20.1;20.0;19.8;20.4;20.0;;;;168.0;4.7;2.8
2023/01/02;0700 UTC;0.0;931.6;932.3;931.6;;19.8;19.9;20.0;19.8;20.2;19.9;;;;144.0;4.9;1.0
2023/01/02;0800 UTC;0.2;931.8;931.8;931.4;;19.5;19.9;19.8;19.4;20.0;19.7;;;;192.0;2.2;0.5
2023/01/02;0900 UTC;0.0;932.3;932.4;931.6;3.0;19.5;19.5;19.8;19.3;20.1;19.5;;100.0;100.0;184.0;4.2;1.2
2023/01/02;1000 UTC;0.0;933.4;933.5;932.1;66.1;19.8;19.8;20.2;19.3;20.0;19.4;;96.0;100.0;116.0;4.2;0.4
2023/01/02;1100 UTC;0.0;933.7;934.0;933.4;251.2;20.7;20.4;20.7;19.8;20.6;19.8;;98.0;98.0;323.0;2.5;0.3
2023/01/02;1200 UTC;0.0;933.4;933.8;933.4;851.0;22.4;19.4;22.5;20.7;20.5;18.8;98.0;82.0;83.0;96.0;2.5;1.5
2023/01/02;1300 UTC;0.0;933.9;934.0;933.4;1603.7;23.1;18.7;23.5;22.4;19.4;18.0;83.0;73.0;76.0;344.0;4.9;3.0
2023/01/02;1400 UTC;0.0;933.6;934.0;933.6;1574.6;23.9;18.5;24.0;23.1;19.0;17.8;77.0;71.0;72.0;358.0;6.4;3.4
2023/01/02;1500 UTC;0.0;932.8;933.7;932.7;2300.3;24.8;18.4;25.1;23.9;19.7;17.6;74.0;63.0;68.0;327.0;6.8;4.2
2023/01/02;1600 UTC;0.2;932.0;932.8;932.0;2942.7;25.4;18.8;25.6;24.0;19.5;18.0;72.0;64.0;67.0;2.0;6.9;3.6
2023/01/02;1700 UTC;0.0;930.4;932.0;930.4;2838.7;26.1;18.8;26.7;25.4;19.6;18.0;69.0;61.0;64.0;8.0;6.7;3.3
