Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2023/01/01;0000 UTC;0.0;1013.0;1013.0;1012.5;;22.6;19.6;22.7;22.6;19.7;19.5;83.0;82.0;83.0;63.0;5.7;3.6
2023/01/01;0100 UTC;0.0;1013.4;1013.4;1013.0;;22.6;19.8;22.6;22.6;19.9;19.6;84.0;83.0;84.0;56.0;7.1;4.1
2023/01/01;0200 UTC;0.0;1013.3;1013.5;1013.3;;22.5;19.8;22.6;22.5;19.9;19.8;85.0;84.0;85.0;56.0;6.3;3.5
2023/01/01;0300 UTC;0.0;1012.8;1013.3;1012.8;;22.5;19.8;22.6;22.5;20.1;19.8;86.0;85.0;85.0;51.0;10.2;6.3
2023/01/01;0400 UTC;0.0;1012.3;1012.8;1012.3;0.5;22.5;19.8;22.5;22.4;19.9;19.8;85.0;85.0;85.0;45.0;10.2;6.1
2023/01/01;0500 UTC;0.0;1011.9;1012.3;1011.9;;22.4;19.5;22.5;22.3;19.9;19.5;85.0;84.0;84.0;48.0;10.2;6.1
2023/01/01;0600 UTC;0.0;1011.7;1012.0;1011.6;1.2;22.1;19.4;22.4;22.1;19.6;19.4;85.0;84.0;85.0;48.0;9.5;5.3
2023/01/01;0700 UTC;0.0;1011.8;1011.8;1011.7;;21.8;19.3;22.2;21.8;19.5;19.3;86.0;85.0;86.0;40.0;8.5;5.3
2023/01/01;0800 UTC;0.0;1012.3;1012.3;1011.8;;21.5;19.2;21.8;21.5;19.4;19.2;87.0;86.0;87.0;56.0;8.3;3.8
2023/01/01;0900 UTC;0.0;1012.7;1012.7;1012.2;26.5;21.3;19.1;21.5;21.3;19.3;19.1;88.0;87.0;87.0;55.0;6.9;3.4
2023/01/01;1000 UTC;0.0;1012.9;1013.0;1012.6;214.4;21.3;19.1;21.5;21.2;19.3;19.1;88.0;87.0;87.0;51.0;6.4;3.6
2023/01/01;1100 UTC;0.0;1013.2;1013.2;1012.9;1001.2;20.9;18.8;21.4;20.7;19.2;18.6;88.0;87.0;87.0;54.0;6.8;4.2
2023/01/01;1200 UTC;0.0;1013.3;1013.4;1013.2;1998.5;22.0;19.0;22.3;20.9;19.6;18.8;88.0;83.0;83.0;52.0;7.0;4.4
2023/01/01;1300 UTC;0.0;1013.3;1013.4;1013.2;2765.8;23.5;19.1;23.7;22.0;19.6;18.9;83.0;76.0;76.0;58.0;7.3;4.4
2023/01/01;1400 UTC;0.0;1012.9;1013.3;1012.8;3266.1;24.3;19.7;24.5;23.2;20.3;18.7;79.0;75.0;76.0;59.0;8.0;4.4
2023/01/01;1500 UTC;0.0;1012.5;1012.9;1012.5;3737.3;24.9;19.7;25.1;23.9;20.4;19.4;78.0;73.0;73.0;61.0;9.4;6.0
2023/01/01;1600 UTC;0.0;1012.2;1012.5;1012.1;3858.9;25.5;20.3;25.7;24.7;20.8;19.6;75.0;73.0;73.0;57.0;10.2;6.1
2023/01/01;1700 UTC;0.0;1011.7;1012.2;1011.6;3744.0;25.5;20.6;25.9;25.2;21.0;20.3;76.0;73.0;74.0;61.0;9.9;6.3
2023/01/01;1800 UTC;0.0;1011.2;1011.7;1011.2;3380.3;25.4;20.3;26.0;25.1;21.0;20.2;75.0;73.0;74.0;59.0;10.0;6.5
2023/01/01;1900 UTC;0.0;1010.6;1011.3;1010.6;2829.3;25.1;20.1;25.8;24.9;20.9;20.0;76.0;73.0;74.0;55.0;10.6;6.1
2023/01/01;2000 UTC;0.0;1010.1;1010.7;1010.1;2034.8;24.6;20.2;25.2;24.5;20.6;19.9;77.0;74.0;76.0;55.0;11.3;6.7
2023/01/01;2100 UTC;0.0;1009.7;1010.1;1009.6;1000.0;23.8;20.0;24.7;23.8;20.5;20.0;80.0;76.0;79.0;50.0;11.1;7.3
2023/01/01;2200 UTC;0.0;1009.5;1009.7;1009.4;284.8;23.4;20.0;23.8;23.4;20.2;20.0;82.0;79.0;81.0;49.0;11.6;7.7
2023/01/01;2300 UTC;0.0;1009.2;1009.6;1009.1;24.2;23.1;20.0;23.4;23.1;20.1;20.0;83.0;81.0;83.0;50.0;12.4;7.7
2023/01/02;0000 UTC;0.0;1009.9;1010.0;1009.2;;23.1;20.0;23.2;23.1;20.2;20.0;84.0;83.0;83.0;46.0;12.6;8.2
2023/01/02;0100 UTC;0.0;1009.9;1010.0;1009.6;;23.1;20.0;23.1;23.1;20.2;20.0;83.0;83.0;83.0;50.0;15.5;10.0
2023/01/02;0200 UTC;0.0;1010.3;1010.6;1009.9;;22.9;19.8;23.1;22.9;20.1;19.8;83.0;82.0;82.0;47.0;15.3;10.0
2023/01/02;0300 UTC;0.0;1009.5;1010.3;1009.5;;22.7;19.7;22.9;22.7;19.9;19.7;84.0;82.0;83.0;45.0;16.2;10.2
2023/01/02;0400 UTC;0.0;1008.9;1009.5;1008.7;;22.5;19.5;22.7;22.5;19.8;19.5;84.0;83.0;83.0;39.0;16.4;10.2
2023/01/02;0500 UTC;0.0;1007.6;1008.9;1007.5;;22.4;19.5;22.5;22.4;19.7;19.5;85.0;83.0;83.0;43.0;15.7;9.6
2023/01/02;0600 UTC;0.0;1007.3;1007.7;1007.3;;22.3;19.4;22.4;22.3;19.6;19.4;85.0;83.0;84.0;42.0;14.2;9.0
2023/01/02;0700 UTC;0.0;1007.3;1007.3;1006.8;;22.3;19.3;22.3;22.2;19.6;19.3;85.0;83.0;83.0;31.0;14.7;6.4
2023/01/02;0800 UTC;0.0;1007.9;1007.9;1007.3;;22.2;19.1;22.4;22.2;19.5;19.1;84.0;83.0;83.0;32.0;11.2;5.1
2023/01/02;0900 UTC;0.0;1007.7;1007.9;1007.6;21.3;22.2;19.1;22.3;22.1;19.4;19.1;84.0;82.0;82.0;39.0;9.6;5.4
2023/01/02;1000 UTC;0.0;1007.9;1008.0;1007.7;329.1;22.5;19.4;22.5;22.2;19.6;19.0;84.0;82.0;83.0;37.0;8.7;5.4
2023/01/02;1100 UTC;0.0;1008.4;1008.5;1007.8;579.7;22.6;19.3;22.7;22.4;19.7;19.3;84.0;82.0;82.0;39.0;8.7;4.7
2023/01/02;1200 UTC;0.0;1008.4;1008.5;1008.2;320.7;22.8;19.4;22.9;22.4;19.6;19.2;83.0;81.0;81.0;39.0;7.0;3.0
2023/01/02;1300 UTC;0.0;1008.8;1008.9;1008.4;370.6;23.6;19.9;23.6;22.6;20.0;19.2;82.0;80.0;80.0;358.0;5.0;0.9
2023/01/02;1400 UTC;2.8;1008.1;1008.9;1008.0;285.6;22.8;19.8;23.6;22.5;20.5;19.5;84.0;79.0;83.0;89.0;4.0;1.4
2023/01/02;1500 UTC;0.2;1007.1;1008.1;1007.1;1092.0;22.9;19.9;23.1;22.4;20.2;19.5;85.0;83.0;83.0;54.0;5.5;3.3
2023/01/02;1600 UTC;0.0;1006.6;1007.1;1006.6;1654.0;23.4;19.7;23.7;22.6;20.9;19.6;85.0;80.0;80.0;39.0;7.7;5.1
2023/01/02;1700 UTC;0.0;1006.1;1006.7;1006.1;3069.8;25.1;20.7;25.5;23.4;21.8;19.8;81.0;75.0;77.0;43.0;8.8;4.8
2023/01/02;1800 UTC;0.0;1004.8;1006.0;1004.8;2232.4;24.7;20.3;25.3;23.7;21.1;19.6;80.0;75.0;76.0;37.0;7.3;4.4
2023/01/02;1900 UTC;0.0;1004.4;1004.8;1004.3;1483.3;24.5;19.9;25.0;23.9;20.8;19.5;79.0;73.0;76.0;39.0;8.1;4.9
2023/01/02;2000 UTC;0.0;1003.6;1004.4;1003.6;1007.5;24.0;19.8;25.1;23.5;20.3;19.5;80.0;74.0;77.0;44.0;8.1;3.4
2023/01/02;2100 UTC;0.0;1003.1;1003.6;1002.8;1272.1;23.7;19.5;24.3;23.7;20.2;19.5;79.0;77.0;77.0;43.0;6.7;4.0
2023/01/02;2200 UTC;0.0;1003.2;1003.2;1002.6;276.1;23.0;19.4;23.7;22.9;19.8;19.4;81.0;77.0;81.0;40.0;10.5;5.8
2023/01/02;2300 UTC;0.0;1003.6;1003.6;1003.1;13.0;22.7;19.4;23.0;22.7;19.6;19.4;83.0;81.0;81.0;34.0;10.5;5.1
2023/01/03;0000 UTC;0.4;1005.0;1005.4;1003.5;;24.1;19.2;24.9;22.6;20.2;19.1;83.0;72.0;74.0;198.0;12.9;1.8
2023/01/03;0100 UTC;0.0;1005.3;1005.3;1004.9;;22.6;19.4;24.1;22.6;19.7;19.2;83.0;74.0;82.0;134.0;5.2;2.2
2023/01/03;0200 UTC;0.0;1005.7;1005.7;1005.3;;22.9;19.7;22.9;22.6;19.9;19.4;83.0;82.0;82.0;337.0;8.5;1.1
2023/01/03;0300 UTC;0.2;1004.8;1005.7;1004.8;;22.3;19.4;23.0;22.3;19.9;19.4;84.0;82.0;84.0;359.0;6.2;0.5
2023/01/03;0400 UTC;0.0;1004.5;1004.9;1004.5;;22.2;19.4;22.4;22.2;19.7;19.4;85.0;84.0;84.0;244.0;2.9;0.0
2023/01/03;0500 UTC;0.0;1004.1;1004.6;1003.6;;22.4;19.8;22.4;22.0;19.9;19.4;86.0;84.0;85.0;240.0;4.9;3.0
2023/01/03;0600 UTC;0.0;1004.2;1004.3;1004.1;;22.6;19.9;22.6;22.4;20.1;19.8;86.0;85.0;85.0;259.0;5.4;3.0
2023/01/03;0700 UTC;0.0;1004.7;1004.7;1004.1;;22.4;19.2;22.9;22.4;20.3;19.2;86.0;82.0;82.0;225.0;7.3;3.3
2023/01/03;0800 UTC;0.0;1005.8;1005.8;1004.7;;22.3;17.1;22.5;22.3;19.2;17.1;83.0;72.0;72.0;218.0;7.4;3.8
2023/01/03;0900 UTC;0.0;1006.8;1006.8;1005.8;34.3;21.7;17.2;22.3;21.7;17.5;17.0;77.0;72.0;75.0;216.0;8.0;4.0
2023/01/03;1000 UTC;0.0;1007.9;1007.9;1006.8;456.9;22.3;17.7;22.4;21.7;18.2;17.1;78.0;75.0;75.0;235.0;7.8;3.1
2023/01/03;1100 UTC;0.0;1009.0;1009.0;1007.9;740.7;22.7;17.2;22.8;22.2;18.1;17.1;76.0;71.0;71.0;244.0;6.0;3.9
2023/01/03;1200 UTC;0.0;1009.2;1009.2;1009.0;1932.2;24.0;16.7;24.4;22.8;18.4;16.7;73.0;63.0;63.0;246.0;6.5;3.8
2023/01/03;1300 UTC;0.0;1009.4;1009.4;1009.2;2750.0;24.0;18.0;24.7;23.4;18.8;16.4;72.0;63.0;69.0;182.0;7.5;5.3
2023/01/03;1400 UTC;0.0;1009.1;1009.4;1009.1;3097.8;24.7;17.7;24.9;23.5;18.5;17.5;70.0;65.0;65.0;174.0;7.4;4.6
2023/01/03;1500 UTC;0.0;1009.1;1009.3;1009.0;3129.7;24.7;17.7;25.0;24.0;18.2;17.2;68.0;63.0;65.0;175.0;7.5;4.9
2023/01/03;1600 UTC;0.0;1008.4;1009.1;1008.4;3755.7;26.0;18.2;26.0;24.5;18.8;17.0;67.0;61.0;62.0;164.0;7.0;3.1
2023/01/03;1700 UTC;0.0;1007.8;1008.4;1007.8;3794.4;25.6;17.7;26.2;25.0;18.7;17.0;64.0;60.0;62.0;163.0;7.0;4.1
2023/01/03;1800 UTC;0.0;1007.6;1008.0;1007.5;2947.6;23.6;16.7;25.6;23.4;17.6;16.5;67.0;60.0;65.0;174.0;9.8;6.4
2023/01/03;1900 UTC;0.0;1007.3;1007.6;1006.9;2434.9;24.3;17.0;24.7;23.5;17.6;16.6;67.0;63.0;64.0;167.0;9.4;5.4
2023/01/03;2000 UTC;0.0;1008.3;1008.3;1007.3;1787.1;23.4;16.6;24.4;23.4;17.4;16.5;67.0;63.0;66.0;164.0;8.5;3.6
2023/01/03;2100 UTC;0.0;1008.6;1008.7;1008.2;724.9;22.6;16.3;23.4;22.6;16.8;16.2;68.0;66.0;68.0;170.0;7.9;4.7
2023/01/03;2200 UTC;0.0;1009.3;1009.3;1008.5;150.6;22.1;16.6;22.6;22.0;16.9;16.3;71.0;68.0;71.0;175.0;8.1;4.0
2023/01/03;2300 UTC;0.0;1010.7;1010.7;1009.3;3.7;22.0;17.0;22.2;21.9;17.1;16.6;74.0;71.0;73.0;184.0;6.0;2.3
2023/01/04;0000 UTC;0.0;1011.0;1011.0;1010.7;;21.8;17.4;22.0;21.8;17.4;16.9;76.0;73.0;76.0;191.0;3.5;1.8
2023/01/04;0100 UTC;0.0;1011.3;1011.4;1011.0;;21.4;17.4;21.8;21.4;17.5;17.3;78.0;76.0;78.0;237.0;2.6;0.0
2023/01/04;0200 UTC;0.0;1010.1;1011.3;1010.1;;21.3;17.4;21.4;21.2;17.6;17.3;79.0;78.0;79.0;222.0;1.3;0.1
2023/01/04;0300 UTC;0.0;1010.5;1010.6;1009.4;;21.2;17.5;21.5;21.2;17.8;17.4;80.0;79.0;79.0;312.0;2.3;0.5
2023/01/04;0400 UTC;0.0;1009.6;1010.5;1009.5;;21.2;17.4;21.3;21.2;17.6;17.4;79.0;79.0;79.0;313.0;1.8;0.8
2023/01/04;0500 UTC;0.0;1009.3;1009.6;1009.2;;20.9;17.2;21.2;20.9;17.5;17.1;79.0;79.0;79.0;253.0;2.2;1.4
2023/01/04;0600 UTC;0.0;1008.8;1009.3;1008.7;;20.6;17.1;20.9;20.6;17.3;17.1;81.0;79.0;80.0;229.0;2.2;0.7
2023/01/04;0700 UTC;0.0;1009.1;1009.1;1008.8;;20.4;17.2;20.7;20.4;17.3;17.1;82.0;80.0;82.0;283.0;2.0;0.0
2023/01/04;0800 UTC;0.0;1009.5;1009.5;1009.0;;20.3;17.2;20.5;20.3;17.3;17.1;83.0;82.0;82.0;236.0;1.0;0.4
2023/01/04;0900 UTC;0.0;1009.5;1010.0;1009.5;13.5;20.4;17.5;20.4;20.3;17.5;17.2;83.0;82.0;83.0;46.0;1.8;0.0
2023/01/04;1000 UTC;0.0;1010.5;1010.5;1009.5;217.0;21.2;18.2;21.2;20.4;18.2;17.5;84.0;83.0;83.0;256.0;1.7;0.6
2023/01/04;1100 UTC;0.0;1010.7;1011.1;1010.5;557.3;22.5;18.4;22.5;21.2;18.5;18.1;83.0;78.0;78.0;187.0;2.1;0.0
2023/01/04;1200 UTC;0.0;1011.3;1011.4;1010.6;992.0;23.1;17.6;23.5;22.3;18.5;17.6;78.0;71.0;71.0;149.0;1.8;0.9
2023/01/04;1300 UTC;0.0;1011.6;1011.6;1011.3;2046.1;23.3;17.6;24.5;23.0;18.6;17.3;74.0;68.0;70.0;124.0;2.3;1.5
2023/01/04;1400 UTC;0.0;1011.5;1011.6;1011.5;3202.7;24.5;17.6;24.7;23.2;18.6;17.6;72.0;66.0;66.0;116.0;3.5;2.6
2023/01/04;1500 UTC;0.0;1011.4;1011.6;1011.4;3770.1;25.2;18.0;25.4;24.3;18.6;17.4;67.0;64.0;64.0;101.0;4.4;3.3
2023/01/04;1600 UTC;0.0;1011.1;1011.4;1011.1;3909.7;25.3;18.0;25.8;24.4;19.0;17.3;67.0;63.0;64.0;110.0;4.5;2.9
2023/01/04;1700 UTC;0.0;1010.7;1011.1;1010.7;3839.2;25.1;17.6;26.1;24.8;18.5;17.3;65.0;62.0;63.0;102.0;5.2;4.0
2023/01/04;1800 UTC;0.0;1010.4;1010.7;1010.3;3505.1;25.4;17.5;26.0;24.9;18.6;17.4;66.0;62.0;62.0;102.0;5.5;4.4
2023/01/04;1900 UTC;0.0;1010.5;1010.5;1010.4;2950.4;25.1;17.8;25.7;24.8;18.4;17.3;66.0;62.0;64.0;94.0;6.0;4.3
2023/01/04;2000 UTC;0.0;1010.5;1010.6;1010.5;2230.3;24.8;17.9;25.2;24.4;18.5;17.2;67.0;63.0;66.0;99.0;5.6;3.9
2023/01/04;2100 UTC;0.0;1010.6;1010.6;1010.4;1407.5;24.2;17.7;25.0;24.2;18.3;17.4;68.0;64.0;67.0;79.0;5.8;4.5
