Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2024/01/01;0000 UTC;0.0;876.4;876.4;875.6;;19.7;18.5;19.7;19.4;18.6;18.2;93.0;92.0;93.0;342.0;;
2024/01/01;0100 UTC;0.0;877.0;877.0;876.4;;19.1;17.7;19.7;19.0;18.5;17.7;93.0;91.0;92.0;327.0;;
2024/01/01;0200 UTC;0.2;877.4;877.5;877.0;;18.9;16.9;19.1;18.8;17.8;16.7;92.0;87.0;88.0;170.0;;
2024/01/01;0300 UTC;0.0;877.2;877.5;877.2;;18.5;16.5;19.0;18.5;17.1;16.2;90.0;85.0;88.0;277.0;;
2024/01/01;0400 UTC;0.2;876.7;877.2;876.7;;19.1;16.7;19.5;18.5;17.1;16.5;88.0;85.0;86.0;242.0;;
2024/01/01;0500 UTC;0.0;876.4;876.7;876.4;;18.6;17.1;19.1;18.6;17.1;16.6;91.0;86.0;91.0;301.0;;
2024/01/01;0600 UTC;0.0;875.9;876.4;875.9;;19.0;16.6;19.4;18.6;17.6;16.6;91.0;86.0;86.0;280.0;;
2024/01/01;0700 UTC;0.2;875.3;875.9;875.3;;18.3;16.0;19.0;18.0;16.7;16.0;90.0;86.0;87.0;318.0;;
2024/01/01;0800 UTC;0.0;875.1;875.3;875.0;;17.7;16.3;18.5;17.7;16.3;16.0;91.0;87.0;91.0;40.0;;
2024/01/01;0900 UTC;0.0;875.6;875.6;875.1;8.0;17.8;16.7;18.3;17.7;16.9;16.3;93.0;91.0;93.0;195.0;;
