Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2024/01/01;0000 UTC;;;;;;;;;;;;;;;;;
2024/01/01;0100 UTC;;;;;;;;;;;;;;;;;
2024/01/01;0200 UTC;0.0;950.9;950.9;950.7;0.0;24.0;21.4;24.9;23.9;21.7;21.2;86.0;81.0;86.0;282.0;2.3;0.4
2024/01/01;0300 UTC;;;;;;;;;;;;;;;;;
2024/01/01;0400 UTC;0.0;950.7;950.9;950.7;0.0;25.8;20.4;26.4;23.6;21.2;20.2;86.0;69.0;72.0;360.0;5.1;1.6
2024/01/01;0500 UTC;0.0;950.3;950.7;950.3;0.0;25.4;20.5;25.8;25.3;20.6;20.3;74.0;72.0;74.0;12.0;7.6;1.6
2024/01/01;0600 UTC;0.0;949.7;950.4;949.7;0.0;24.7;20.5;25.4;24.7;20.6;20.5;77.0;74.0;77.0;297.0;5.1;1.1
2024/01/01;0700 UTC;0.0;949.0;949.7;948.9;0.0;23.6;20.9;24.9;23.5;21.0;20.5;85.0;77.0;85.0;190.0;3.7;0.7
2024/01/01;0800 UTC;0.0;949.1;949.1;948.9;0.0;22.9;21.0;23.6;22.9;21.2;20.9;89.0;85.0;89.0;164.0;2.1;0.2
2024/01/01;0900 UTC;0.0;949.6;949.6;949.0;11.1;23.2;20.4;24.8;22.5;21.5;20.1;92.0;78.0;85.0;268.0;3.6;0.9
2024/01/01;1000 UTC;0.0;950.0;950.0;949.6;445.5;25.7;21.2;25.7;23.1;21.5;20.5;88.0;76.0;76.0;96.0;3.0;1.1
2024/01/01;1100 UTC;0.0;950.6;950.6;949.9;1229.8;26.8;21.0;26.9;25.7;21.4;20.5;76.0;70.0;71.0;291.0;5.0;2.1
2024/01/01;1200 UTC;0.0;951.1;951.1;950.6;2029.7;28.3;21.1;28.3;26.8;21.5;20.7;71.0;65.0;65.0;284.0;6.6;3.1
