Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2024/01/01;0000 UTC;0.0;927.7;927.7;927.0;;24.3;21.0;24.8;23.7;21.2;20.4;85.0;77.0;82.0;127.0;3.2;0.7
2024/01/01;0100 UTC;0.0;928.5;928.5;927.7;;23.8;21.0;24.4;23.8;21.0;20.6;84.0;80.0;84.0;277.0;2.0;0.2
2024/01/01;0200 UTC;0.0;929.3;929.3;928.5;;23.8;21.3;24.0;23.7;21.5;21.1;87.0;84.0;86.0;276.0;1.9;0.0
2024/01/01;0300 UTC;3.6;929.2;929.5;929.2;;22.6;21.2;24.0;22.4;21.6;20.7;92.0;85.0;92.0;327.0;4.2;2.3
2024/01/01;0400 UTC;3.6;928.6;929.2;928.6;;22.8;21.9;23.1;22.4;22.0;21.2;95.0;92.0;95.0;191.0;4.1;0.1
2024/01/01;0500 UTC;0.0;927.7;928.6;927.7;;22.7;21.9;22.8;22.6;22.1;21.8;96.0;95.0;96.0;305.0;1.7;0.5
2024/01/01;0600 UTC;0.2;927.5;927.8;927.5;;22.5;20.8;23.0;22.5;22.2;20.8;96.0;90.0;90.0;30.0;3.1;1.8
2024/01/01;0700 UTC;0.0;927.7;927.7;927.4;2.4;20.8;19.2;22.5;20.8;20.7;19.1;91.0;88.0;90.0;89.0;6.3;3.0
2024/01/01;0800 UTC;0.4;927.6;927.8;927.5;;20.3;19.4;20.8;20.1;19.5;19.2;95.0;90.0;94.0;60.0;5.8;0.1
2024/01/01;0900 UTC;0.0;928.4;928.4;927.6;2.0;20.7;19.9;20.7;20.3;19.9;19.4;95.0;94.0;95.0;134.0;2.5;0.0
