Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2024/01/01;0000 UTC;0.2;938.9;938.9;938.5;;22.4;21.2;22.5;22.2;21.2;20.7;93.0;91.0;93.0;278.0;3.3;0.7
2024/01/01;0100 UTC;1.6;939.5;939.5;938.9;;22.0;21.0;22.4;22.0;21.4;21.0;95.0;93.0;94.0;234.0;4.3;2.8
2024/01/01;0200 UTC;0.8;940.3;940.3;939.5;;22.1;21.3;22.2;22.0;21.3;21.0;95.0;94.0;95.0;155.0;4.0;1.1
2024/01/01;0300 UTC;1.0;940.9;940.9;940.2;;22.5;21.7;22.5;22.1;21.7;21.3;96.0;95.0;96.0;99.0;3.6;0.0
2024/01/01;0400 UTC;0.8;939.9;940.9;939.9;;22.2;21.5;22.5;22.2;21.8;21.5;96.0;95.0;96.0;145.0;2.3;0.5
2024/01/01;0500 UTC;0.2;938.7;940.0;938.7;;22.1;21.5;22.2;22.0;21.5;21.3;96.0;96.0;96.0;119.0;2.7;0.1
2024/01/01;0600 UTC;0.0;937.9;938.7;937.9;;22.0;21.4;22.2;22.0;21.5;21.3;96.0;96.0;96.0;64.0;2.6;0.3
2024/01/01;0700 UTC;0.0;937.8;938.0;937.8;;22.0;21.5;22.1;22.0;21.5;21.4;97.0;96.0;97.0;69.0;1.8;0.1
2024/01/01;0800 UTC;0.0;937.6;937.8;937.5;;21.9;21.4;22.1;21.9;21.5;21.4;97.0;97.0;97.0;83.0;2.7;1.0
2024/01/01;0900 UTC;0.0;938.2;938.2;937.5;;21.7;21.3;21.9;21.7;21.4;21.3;97.0;97.0;97.0;89.0;3.4;1.3
2024/01/01;1000 UTC;0.2;938.8;938.8;938.1;79.5;21.9;21.5;22.0;21.7;21.5;21.3;97.0;97.0;97.0;73.0;3.4;0.8
2024/01/01;1100 UTC;0.0;939.3;939.4;938.8;514.6;22.9;22.4;22.9;21.9;22.4;21.6;97.0;97.0;97.0;52.0;3.1;1.6
2024/01/01;1200 UTC;0.0;939.7;939.7;939.3;938.6;24.4;22.9;24.4;22.9;22.9;22.2;97.0;91.0;91.0;49.0;4.2;1.7
2024/01/01;1300 UTC;0.0;940.1;940.2;939.7;1979.3;25.8;22.9;25.8;24.1;23.0;22.0;91.0;82.0;84.0;39.0;3.5;1.7
2024/01/01;1400 UTC;0.0;939.8;940.2;939.8;2402.8;26.7;22.8;26.7;25.7;23.5;22.0;85.0;77.0;79.0;64.0;4.0;1.6
2024/01/01;1500 UTC;0.0;938.7;939.8;938.7;2761.9;26.9;23.2;27.7;26.6;23.7;22.2;81.0;75.0;80.0;9.0;4.7;2.8
