Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2024/01/01;0000 UTC;0.0;955.8;955.8;954.8;0.0;22.2;21.3;22.2;22.0;21.3;21.0;94.0;94.0;94.0;238;2.2;1.3
2024/01/01;0100 UTC;0.0;957.1;957.1;955.8;0.0;22.3;21.4;22.4;22.2;21.4;21.3;95.0;94.0;94.0;239;3.3;0.2
2024/01/01;0200 UTC;0.0;957.7;957.7;957.1;0.0;22.6;21.6;22.6;22.3;21.6;21.4;94.0;94.0;94.0;238;1.1;0.0
2024/01/01;0300 UTC;0.0;957.5;957.7;957.5;0.2;22.5;21.5;22.6;22.5;21.6;21.5;94.0;94.0;94.0;238;1.6;0.0
2024/01/01;0400 UTC;0.0;956.7;957.5;956.7;0.0;22.4;21.4;22.5;22.4;21.6;21.4;94.0;94.0;94.0;239;1.2;0.0
2024/01/01;0500 UTC;0.2;955.9;956.7;955.9;0.0;22.4;21.4;22.4;22.3;21.5;21.3;94.0;94.0;94.0;239;1.2;0.2
2024/01/01;0600 UTC;0.0;955.1;955.9;955.1;0.0;22.3;21.4;22.4;22.3;21.5;21.3;94.0;94.0;94.0;239;2.1;1.4
2024/01/01;0700 UTC;0.2;954.8;955.1;954.8;0.0;22.3;21.4;22.4;22.3;21.4;21.4;95.0;94.0;94.0;239;2.1;0.1
2024/01/01;0800 UTC;0.2;954.9;954.9;954.7;0.0;22.2;21.2;22.4;22.1;21.4;21.2;95.0;94.0;95.0;239;2.8;1.7
2024/01/01;0900 UTC;0.0;955.3;955.3;954.9;0.8;22.3;21.2;22.3;22.2;21.3;21.2;95.0;94.0;94.0;238;2.8;0.0
2024/01/01;1000 UTC;0.0;956.2;956.2;955.3;101.5;22.6;21.6;22.6;22.2;21.6;21.2;94.0;94.0;94.0;239;1.4;0.2
2024/01/01;1100 UTC;0.2;956.9;957.0;956.2;319.6;23.0;21.8;23.0;22.6;21.9;21.6;94.0;93.0;93.0;239;1.3;0.1
