Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2024/01/01;0000 UTC;;969.5;969.5;968.7;;24.2;23.0;24.2;23.9;23.0;22.9;94.0;93.0;93.0;306.0;3.3;1.7
2024/01/01;0100 UTC;;970.1;970.1;969.5;;24.3;23.0;24.3;24.1;23.0;22.9;93.0;93.0;93.0;338.0;3.4;0.7
2024/01/01;0200 UTC;;971.0;971.0;970.1;;24.4;23.0;24.4;24.2;23.1;23.0;93.0;92.0;92.0;39.0;1.9;1.0
2024/01/01;0300 UTC;;970.9;971.1;970.9;;23.7;22.5;24.6;23.7;23.0;22.4;93.0;90.0;93.0;313.0;1.9;0.7
2024/01/01;0400 UTC;;970.6;970.9;970.6;;23.8;22.5;23.9;23.6;22.6;22.4;93.0;92.0;92.0;310.0;2.0;1.4
2024/01/01;0500 UTC;;970.0;970.6;970.0;;24.3;22.5;24.3;23.8;22.6;22.5;92.0;90.0;90.0;334.0;1.9;0.8
2024/01/01;0600 UTC;;969.5;970.0;969.4;;24.3;22.6;24.4;24.2;22.7;22.5;91.0;90.0;90.0;356.0;2.0;0.7
2024/01/01;0700 UTC;;969.3;969.5;969.1;;23.8;22.5;24.4;23.8;22.8;22.4;92.0;90.0;92.0;319.0;2.5;0.9
2024/01/01;0800 UTC;;969.3;969.5;969.2;;23.7;22.9;23.9;23.6;22.9;22.5;95.0;92.0;95.0;287.0;2.8;0.3
2024/01/01;0900 UTC;;969.5;969.5;969.3;;23.5;22.6;23.8;23.5;23.0;22.6;95.0;95.0;95.0;324.0;3.2;1.1
2024/01/01;1000 UTC;;970.0;970.0;969.5;20.6;23.6;22.8;23.6;23.4;22.8;22.6;95.0;95.0;95.0;247.0;2.3;1.2
