Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2024/01/01;0000 UTC;0.0;976.3;976.3;975.5;;25.0;22.6;27.0;25.0;22.7;22.0;87.0;73.0;87.0;341.0;1.9;0.2
2024/01/01;0100 UTC;0.0;977.1;977.1;976.3;;24.3;22.5;25.0;24.0;22.6;22.2;90.0;86.0;90.0;308.0;1.6;0.4
2024/01/01;0200 UTC;0.0;977.7;977.7;977.1;;23.5;21.8;24.4;23.5;22.5;21.8;90.0;89.0;90.0;299.0;1.1;0.1
2024/01/01;0300 UTC;0.0;978.2;978.3;977.7;;23.4;21.8;23.9;23.2;21.8;21.5;91.0;87.0;91.0;340.0;2.5;0.5
2024/01/01;0400 UTC;0.0;977.9;978.3;977.9;;22.8;21.3;23.4;22.7;21.8;21.2;91.0;90.0;91.0;206.0;1.4;0.0
2024/01/01;0500 UTC;0.0;977.4;977.9;977.4;;22.6;21.2;22.8;22.4;21.3;21.0;92.0;91.0;92.0;204.0;1.2;0.5
2024/01/01;0600 UTC;0.0;976.8;977.4;976.8;;22.2;20.9;23.0;22.2;21.5;20.8;92.0;91.0;92.0;250.0;1.0;0.0
2024/01/01;0700 UTC;0.0;976.6;976.8;976.5;;22.2;20.9;22.5;22.1;21.2;20.8;93.0;92.0;93.0;306.0;1.2;0.1
2024/01/01;0800 UTC;0.0;976.0;976.6;976.0;;22.7;21.5;22.7;22.0;21.5;20.8;93.0;93.0;93.0;315.0;2.0;0.8
2024/01/01;0900 UTC;0.0;976.5;976.5;976.0;;22.4;21.0;23.0;22.4;21.7;21.0;93.0;91.0;92.0;268.0;2.0;0.0
2024/01/01;1000 UTC;0.0;977.3;977.3;976.5;19.9;22.7;21.3;23.0;22.4;21.7;21.0;93.0;92.0;92.0;24.0;1.6;0.1
2024/01/01;1100 UTC;0.0;978.1;978.1;977.3;273.0;24.0;22.4;24.0;22.5;22.4;21.1;93.0;91.0;91.0;335.0;1.7;0.6
2024/01/01;1200 UTC;0.0;978.8;978.8;978.1;857.0;25.6;22.6;25.6;24.0;23.0;22.1;91.0;84.0;84.0;339.0;3.2;1.6
2024/01/01;1300 UTC;0.0;979.4;979.4;978.8;1306.5;26.4;22.3;26.6;25.5;23.2;21.9;86.0;77.0;78.0;336.0;4.8;2.0
2024/01/01;1400 UTC;0.0;979.3;979.6;979.2;1571.6;27.7;21.9;27.9;26.4;22.8;21.8;80.0;71.0;71.0;332.0;4.5;1.7
2024/01/01;1500 UTC;0.0;978.5;979.3;978.5;2037.0;28.8;22.6;28.8;27.5;23.0;21.7;74.0;68.0;69.0;338.0;4.9;1.9
2024/01/01;1600 UTC;0.0;977.1;978.4;977.1;2741.0;30.7;21.0;31.0;28.5;23.3;20.2;71.0;55.0;56.0;326.0;8.3;3.8
2024/01/01;1700 UTC;0.0;976.2;977.1;976.1;2921.7;28.9;20.2;31.9;28.9;22.2;19.8;59.0;52.0;59.0;300.0;10.1;5.2
2024/01/01;1800 UTC;0.0;974.9;976.2;974.9;2959.4;32.1;21.1;32.5;28.7;22.7;19.9;64.0;49.0;52.0;300.0;10.1;3.2
2024/01/01;1900 UTC;0.0;974.1;974.9;974.1;2952.1;32.1;20.6;32.6;31.2;21.4;19.5;54.0;47.0;51.0;290.0;9.0;3.9
2024/01/01;2000 UTC;0.0;973.5;974.1;973.5;1795.0;31.1;21.0;32.8;30.7;22.1;19.5;58.0;48.0;55.0;341.0;8.5;2.6
2024/01/01;2100 UTC;0.0;973.4;973.5;973.2;1243.3;29.8;21.0;32.0;29.8;21.5;20.2;60.0;51.0;59.0;324.0;8.5;3.0
2024/01/01;2200 UTC;0.0;974.3;974.3;973.5;356.9;29.2;21.2;29.8;29.0;21.6;20.9;64.0;59.0;62.0;326.0;8.5;1.5
2024/01/01;2300 UTC;0.0;975.2;975.3;974.3;115.5;26.2;21.4;29.2;26.2;21.9;21.2;75.0;62.0;75.0;338.0;7.7;2.0
2024/01/02;0000 UTC;0.0;975.7;975.7;975.1;;25.1;21.6;26.2;25.0;21.6;21.3;81.0;74.0;81.0;332.0;5.4;1.2
2024/01/02;0100 UTC;0.0;976.7;976.7;975.7;;24.3;21.7;25.0;24.3;21.8;21.6;86.0;81.0;86.0;343.0;3.7;1.1
2024/01/02;0200 UTC;0.0;977.3;977.3;976.7;;23.9;21.7;24.3;23.9;21.8;21.7;88.0;86.0;88.0;329.0;3.1;1.1
2024/01/02;0300 UTC;0.0;977.6;977.7;977.3;;23.8;21.5;24.0;23.7;21.8;21.5;88.0;87.0;87.0;334.0;4.7;2.1
2024/01/02;0400 UTC;0.0;977.1;977.6;977.1;;23.4;21.4;23.8;23.4;21.5;21.4;89.0;87.0;88.0;323.0;4.7;1.3
2024/01/02;0500 UTC;0.0;976.6;977.2;976.6;;23.3;21.0;23.5;23.3;21.4;21.0;88.0;86.0;87.0;331.0;3.3;1.4
2024/01/02;0600 UTC;0.0;976.0;976.6;976.0;;23.0;20.8;23.4;23.0;21.0;20.8;87.0;85.0;87.0;341.0;4.2;1.4
2024/01/02;0700 UTC;0.0;976.0;976.1;975.9;;22.9;20.8;23.0;22.8;20.9;20.7;89.0;87.0;88.0;336.0;3.6;0.8
2024/01/02;0800 UTC;0.0;975.8;976.0;975.8;;22.8;21.0;22.9;22.6;21.0;20.8;90.0;88.0;90.0;349.0;2.5;0.6
2024/01/02;0900 UTC;0.0;975.8;975.8;975.6;;22.7;21.0;22.8;22.7;21.1;21.0;91.0;90.0;90.0;340.0;2.2;1.0
2024/01/02;1000 UTC;0.0;976.4;976.4;975.8;19.8;22.9;21.1;22.9;22.7;21.1;21.0;90.0;89.0;90.0;339.0;2.4;0.8
2024/01/02;1100 UTC;0.0;977.1;977.1;976.4;248.7;23.8;21.3;23.8;22.9;21.4;21.1;90.0;86.0;86.0;337.0;2.6;1.1
2024/01/02;1200 UTC;0.0;977.4;977.5;977.1;371.6;24.4;21.7;24.4;23.8;21.7;21.3;87.0;84.0;85.0;340.0;3.6;1.5
2024/01/02;1300 UTC;0.0;977.8;977.8;977.4;857.4;25.6;21.7;25.8;24.4;22.2;21.6;85.0;79.0;79.0;340.0;5.1;2.2
2024/01/02;1400 UTC;0.0;978.0;978.1;977.8;1062.4;27.3;21.7;27.4;25.5;22.5;21.3;81.0;71.0;72.0;318.0;7.4;2.6
2024/01/02;1500 UTC;0.0;977.5;978.0;977.5;2288.6;28.9;21.9;29.1;27.1;23.0;21.3;72.0;66.0;66.0;319.0;7.1;2.8
2024/01/02;1600 UTC;0.0;976.3;977.5;976.3;3080.5;30.6;22.3;30.8;28.8;23.3;21.3;68.0;60.0;61.0;314.0;5.6;2.0
2024/01/02;1700 UTC;0.0;975.4;976.3;975.4;2907.6;30.3;22.1;31.2;29.6;23.2;21.4;65.0;58.0;61.0;325.0;6.2;3.0
2024/01/02;1800 UTC;0.0;973.8;975.4;973.8;3125.6;31.5;21.5;32.2;30.3;23.5;21.4;63.0;54.0;56.0;333.0;5.9;2.2
2024/01/02;1900 UTC;0.0;972.6;973.8;972.6;1968.2;31.7;21.4;32.0;30.7;23.2;21.4;61.0;54.0;54.0;287.0;6.6;2.6
2024/01/02;2000 UTC;0.0;972.4;972.6;972.1;2044.7;28.2;21.8;32.9;28.2;23.6;20.9;68.0;51.0;68.0;325.0;9.1;3.3
2024/01/02;2100 UTC;0.0;971.7;972.4;971.7;1405.8;30.8;20.8;31.8;28.1;24.4;20.6;74.0;52.0;55.0;290.0;9.1;2.9
2024/01/02;2200 UTC;0.0;972.2;972.2;971.7;415.3;29.0;21.3;31.0;29.0;21.9;20.7;65.0;55.0;63.0;242.0;5.8;1.0
2024/01/02;2300 UTC;0.0;973.8;973.8;972.2;26.9;26.5;22.5;29.0;26.5;22.9;20.9;79.0;62.0;79.0;339.0;4.7;1.2
2024/01/03;0000 UTC;0.0;974.8;974.8;973.8;;25.5;21.8;26.5;25.1;22.5;21.5;82.0;76.0;80.0;332.0;3.4;1.1
2024/01/03;0100 UTC;0.0;975.3;975.3;974.8;;25.2;21.7;25.5;25.2;22.1;21.6;82.0;80.0;81.0;320.0;3.9;2.2
2024/01/03;0200 UTC;0.0;975.2;975.7;975.2;;24.4;21.9;25.2;24.4;22.0;21.7;86.0;81.0;86.0;338.0;5.2;0.6
2024/01/03;0300 UTC;0.0;975.3;975.7;975.2;;23.7;21.8;24.4;23.6;22.0;21.8;90.0;86.0;89.0;338.0;3.8;1.5
2024/01/03;0400 UTC;0.0;975.3;975.4;975.1;;23.1;21.1;23.7;23.1;21.8;21.1;89.0;88.0;88.0;340.0;3.8;1.3
2024/01/03;0500 UTC;0.0;974.6;975.4;974.6;;23.0;21.0;23.1;23.0;21.2;21.0;89.0;88.0;89.0;340.0;2.9;0.4
2024/01/03;0600 UTC;0.0;974.4;974.7;974.4;;23.2;21.4;23.2;22.9;21.4;21.0;90.0;89.0;90.0;343.0;2.5;0.8
2024/01/03;0700 UTC;0.0;973.8;974.5;973.8;;23.3;21.6;23.4;23.2;21.6;21.4;90.0;89.0;90.0;331.0;3.5;0.9
2024/01/03;0800 UTC;0.0;974.4;974.4;973.8;;23.6;21.7;23.6;23.2;21.8;21.5;90.0;89.0;89.0;177.0;2.3;0.3
2024/01/03;0900 UTC;0.2;975.3;975.3;974.4;;23.6;22.0;23.8;23.6;22.0;21.8;91.0;89.0;91.0;254.0;1.6;0.0
2024/01/03;1000 UTC;0.0;975.3;975.5;975.2;3.0;23.7;22.4;23.9;23.6;22.4;22.1;92.0;91.0;92.0;339.0;1.9;0.9
2024/01/03;1100 UTC;2.4;976.6;976.6;975.3;19.1;23.6;22.2;23.7;23.6;22.4;22.2;92.0;92.0;92.0;346.0;2.9;1.3
2024/01/03;1200 UTC;6.6;977.5;977.5;976.6;43.4;23.1;21.6;23.6;23.0;22.3;21.6;93.0;91.0;91.0;171.0;4.8;0.3
2024/01/03;1300 UTC;8.6;978.3;978.3;977.3;133.7;22.5;21.3;23.1;22.4;21.5;20.9;93.0;89.0;93.0;235.0;2.0;0.5
2024/01/03;1400 UTC;5.0;978.5;978.7;978.3;150.2;22.7;21.5;22.9;22.5;21.7;21.3;93.0;93.0;93.0;294.0;3.1;0.7
