Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2024/01/01;0000 UTC;;1003.5;1003.7;1003.1;;25.9;22.5;26.7;25.8;22.9;22.5;82.0;79.0;82.0;86.0;4.6;1.1
2024/01/01;0100 UTC;;1003.8;1003.9;1003.5;;25.8;22.6;25.9;25.7;22.7;22.5;83.0;82.0;83.0;102.0;3.0;1.3
2024/01/01;0200 UTC;;1003.9;1003.9;1003.7;;25.4;22.6;25.8;25.4;22.7;22.4;85.0;83.0;85.0;73.0;3.0;1.1
2024/01/01;0300 UTC;;1003.5;1004.0;1003.5;;25.1;22.7;25.5;25.1;22.7;22.5;86.0;85.0;86.0;52.0;2.6;1.0
2024/01/01;0400 UTC;;1003.3;1003.5;1003.3;;24.8;22.5;25.2;24.7;22.6;22.4;87.0;86.0;87.0;96.0;2.7;0.6
2024/01/01;0500 UTC;;1003.0;1003.4;1002.8;;24.6;22.5;24.8;24.4;22.6;22.2;88.0;87.0;88.0;68.0;1.6;0.6
2024/01/01;0600 UTC;;1002.8;1003.0;1002.8;;24.4;22.4;24.6;24.4;22.6;22.4;89.0;88.0;88.0;7.0;1.9;0.9
2024/01/01;0700 UTC;;1002.9;1003.0;1002.7;;24.5;22.5;24.6;24.3;22.6;22.3;89.0;88.0;89.0;7.0;1.9;0.5
2024/01/01;0800 UTC;;1003.2;1003.2;1002.9;;24.4;22.5;24.6;24.2;22.7;22.3;89.0;89.0;89.0;10.0;2.3;1.1
2024/01/01;0900 UTC;;1003.8;1003.8;1003.2;172.2;25.1;23.1;25.1;24.4;23.2;22.4;90.0;89.0;89.0;30.0;2.7;0.8
2024/01/01;1000 UTC;;1004.0;1004.1;1003.8;914.2;27.3;23.4;27.4;25.1;23.7;23.1;89.0;79.0;79.0;76.0;3.2;1.6
2024/01/01;1100 UTC;;1004.2;1004.2;1004.0;1399.0;28.5;22.3;28.8;27.2;23.7;21.9;79.0;68.0;69.0;71.0;5.1;2.1
2024/01/01;1200 UTC;;1004.3;1004.3;1004.2;1963.4;31.5;20.7;31.6;28.5;22.4;20.4;69.0;52.0;53.0;97.0;5.7;2.3
2024/01/01;1300 UTC;;1003.9;1004.3;1003.9;2852.4;31.9;20.6;32.5;30.7;22.1;19.6;57.0;51.0;51.0;68.0;6.8;2.8
2024/01/01;1400 UTC;;1003.4;1004.0;1003.4;3091.2;32.4;19.8;32.9;31.5;21.3;18.4;54.0;44.0;48.0;93.0;7.0;3.0
2024/01/01;1500 UTC;;1002.9;1003.4;1002.9;3063.2;32.8;18.3;33.2;31.6;20.1;17.6;49.0;42.0;42.0;96.0;8.1;3.1
2024/01/01;1600 UTC;;1002.2;1003.0;1002.1;2718.2;32.4;20.3;33.8;31.5;20.9;17.5;52.0;41.0;49.0;81.0;7.5;3.6
2024/01/01;1700 UTC;;1001.2;1002.2;1001.2;2657.7;31.4;20.4;33.6;31.4;20.9;18.8;52.0;44.0;52.0;116.0;9.4;4.2
2024/01/01;1800 UTC;;1000.6;1001.3;1000.6;2100.6;30.8;20.6;32.0;30.5;21.2;19.6;55.0;49.0;55.0;116.0;9.4;4.4
2024/01/01;1900 UTC;;1000.6;1000.7;1000.5;1468.8;29.9;21.8;30.9;29.7;22.1;20.3;63.0;54.0;62.0;104.0;8.9;3.2
2024/01/01;2000 UTC;;1001.1;1001.2;1000.6;864.5;28.7;22.1;30.0;28.7;22.3;21.5;68.0;62.0;68.0;100.0;7.4;3.0
2024/01/01;2100 UTC;;1002.0;1002.0;1001.1;177.6;27.2;22.3;28.7;27.2;22.3;21.9;75.0;68.0;75.0;93.0;7.4;2.5
2024/01/01;2200 UTC;;1002.8;1002.8;1002.0;;26.8;22.4;27.2;26.7;22.4;22.2;77.0;75.0;77.0;60.0;6.4;2.7
2024/01/01;2300 UTC;;1003.3;1003.4;1002.8;;26.1;22.3;26.8;26.1;22.4;22.3;79.0;77.0;79.0;78.0;6.4;2.2
2024/01/02;0000 UTC;;1003.3;1003.5;1003.2;;25.8;22.2;26.1;25.8;22.4;22.2;81.0;79.0;81.0;64.0;4.6;1.9
2024/01/02;0100 UTC;;1003.4;1003.4;1003.1;;25.3;22.1;25.8;25.3;22.3;22.0;82.0;81.0;82.0;69.0;3.7;1.1
2024/01/02;0200 UTC;;1003.0;1003.5;1002.9;;25.1;22.2;25.4;25.1;22.2;22.1;84.0;82.0;84.0;97.0;2.2;0.8
