Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2024/01/01;0000 UTC;;949.7;949.7;948.9;;25.6;22.1;26.5;25.6;22.3;21.3;81.0;74.0;81.0;112.0;1.6;0.8
2024/01/01;0100 UTC;;950.7;950.7;949.8;;24.8;22.2;25.9;24.8;22.3;21.6;86.0;78.0;85.0;213.0;2.3;0.4
2024/01/01;0200 UTC;;951.1;951.1;950.7;;24.7;22.3;24.8;24.2;22.4;21.7;88.0;84.0;87.0;291.0;1.9;0.7
2024/01/01;0300 UTC;;951.4;951.4;951.1;;25.3;21.9;25.7;24.7;22.3;21.8;86.0;80.0;81.0;335.0;5.5;2.0
2024/01/01;0400 UTC;;950.8;951.4;950.8;;24.5;22.2;25.3;24.4;22.2;21.8;87.0;81.0;87.0;327.0;5.0;2.2
2024/01/01;0500 UTC;;950.6;950.9;950.6;;24.2;22.3;24.5;24.2;22.4;22.2;89.0;87.0;89.0;18.0;5.4;1.0
2024/01/01;0600 UTC;;949.7;950.6;949.7;;23.9;22.5;24.2;23.8;22.6;22.3;93.0;89.0;92.0;298.0;2.3;0.5
2024/01/01;0700 UTC;;949.1;949.7;949.1;;23.4;22.8;24.0;23.4;22.9;22.5;96.0;92.0;96.0;285.0;2.3;0.7
2024/01/01;0800 UTC;;949.1;949.1;949.0;;23.2;23.0;23.5;23.2;23.1;22.7;99.0;95.0;99.0;241.0;1.7;0.7
2024/01/01;0900 UTC;;949.4;949.4;949.1;;23.1;23.0;23.2;23.1;23.0;22.6;99.0;97.0;99.0;238.0;1.6;0.7
2024/01/01;1000 UTC;;950.1;950.1;949.4;53.6;23.5;22.9;23.5;23.0;23.1;22.6;100.0;96.0;97.0;172.0;1.2;0.3
2024/01/01;1100 UTC;;950.5;950.5;950.1;329.2;24.4;22.2;24.4;23.5;23.0;22.0;97.0;87.0;87.0;273.0;1.2;0.6
