Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2024/01/01;0000 UTC;0.0;958.6;958.6;957.5;;25.7;22.8;26.2;24.9;23.4;21.4;89.0;75.0;84.0;30.0;3.7;0.1
2024/01/01;0100 UTC;0.0;959.1;959.1;958.6;;25.9;22.6;27.5;25.7;22.8;20.9;84.0;66.0;82.0;36.0;2.1;0.1
2024/01/01;0200 UTC;0.0;959.7;959.7;959.1;;25.7;22.4;25.9;25.2;23.0;22.2;86.0;81.0;82.0;27.0;2.1;0.8
2024/01/01;0300 UTC;0.0;959.3;959.7;959.3;;26.9;20.8;26.9;25.6;22.7;20.5;83.0;68.0;69.0;66.0;2.2;0.4
2024/01/01;0400 UTC;0.0;959.2;959.3;959.1;;26.5;20.3;26.9;25.9;21.2;20.3;74.0;67.0;69.0;54.0;3.7;1.0
2024/01/01;0500 UTC;0.0;959.3;959.3;959.0;;26.1;19.7;26.5;25.8;20.6;19.7;73.0;67.0;68.0;49.0;3.9;1.5
2024/01/01;0600 UTC;0.0;959.4;959.4;959.2;;25.2;19.6;26.2;25.2;19.8;19.1;72.0;66.0;71.0;266.0;4.0;0.0
2024/01/01;0700 UTC;0.0;959.4;959.4;959.2;;24.8;20.3;25.3;24.8;20.4;18.8;76.0;68.0;76.0;293.0;2.2;0.0
2024/01/01;0800 UTC;0.0;959.6;959.6;959.3;;24.6;19.9;24.9;24.3;21.0;19.1;82.0;70.0;75.0;98.0;0.7;0.0
2024/01/01;0900 UTC;0.0;960.1;960.1;959.6;17.0;24.6;20.5;25.0;24.4;20.6;18.9;79.0;69.0;78.0;4.0;1.2;0.0
2024/01/01;1000 UTC;0.0;960.5;960.5;960.1;279.3;25.8;18.4;25.8;24.5;20.8;18.2;80.0;63.0;64.0;138.0;3.4;1.5
2024/01/01;1100 UTC;0.0;961.1;961.1;960.5;622.6;26.1;18.2;26.2;25.8;18.6;17.8;65.0;60.0;62.0;84.0;3.8;1.8
2024/01/01;1200 UTC;0.0;961.4;961.4;961.1;914.5;27.5;18.2;27.5;26.1;18.8;17.7;63.0;57.0;57.0;185.0;3.6;0.5
2024/01/01;1300 UTC;0.0;960.6;961.4;960.6;2268.2;29.2;18.3;29.4;27.2;18.9;17.7;59.0;51.0;52.0;154.0;5.8;1.8
2024/01/01;1400 UTC;0.0;959.6;960.6;959.6;3504.8;31.6;18.6;31.6;29.2;19.4;17.2;54.0;44.0;46.0;41.0;5.8;2.5
