Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2024/01/01;0000 UTC;0.0;1012.1;1012.1;1011.7;;26.0;23.8;26.4;26.0;23.8;23.2;88.0;83.0;88.0;;;
2024/01/01;0100 UTC;0.0;1012.5;1012.6;1012.1;;25.9;23.7;26.1;25.8;24.0;23.7;89.0;88.0;88.0;;;
2024/01/01;0200 UTC;0.0;1012.4;1012.8;1012.4;38.8;26.4;24.1;26.4;25.9;24.1;23.8;88.0;87.0;87.0;;;
2024/01/01;0300 UTC;0.0;1012.2;1012.7;1012.2;220.4;26.4;23.8;26.5;26.3;24.1;23.8;87.0;85.0;85.0;;;
2024/01/01;0400 UTC;0.0;1011.9;1012.2;1011.9;206.8;26.3;23.7;26.6;26.3;23.8;23.7;85.0;85.0;85.0;;;
2024/01/01;0500 UTC;0.0;1011.4;1011.9;1011.4;387.4;24.5;22.8;26.3;24.4;23.8;22.7;91.0;85.0;91.0;;;
2024/01/01;0600 UTC;14.0;1010.7;1011.4;1010.7;560.5;23.3;23.3;25.0;23.3;23.7;22.8;100.0;91.0;100.0;;;
2024/01/01;0700 UTC;22.4;1011.2;1011.4;1010.7;1393.2;21.4;;23.3;21.4;;;;;;;;
2024/01/01;0800 UTC;23.4;1011.1;1011.4;1011.0;;21.3;;21.5;21.3;;;;;;;;
2024/01/01;0900 UTC;0.6;1011.1;1011.2;1010.9;;21.5;;21.6;21.3;;;;;;;;
