Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2024/01/01;0000 UTC;;987.3;987.3;986.5;;26.7;22.1;27.1;26.7;22.1;21.4;76.0;71.0;76.0;32.0;6.5;1.8
2024/01/01;0100 UTC;;987.3;987.5;987.2;;26.5;22.3;26.7;26.5;22.3;22.1;78.0;76.0;77.0;58.0;3.7;2.1
2024/01/01;0200 UTC;;987.2;987.3;987.0;;26.2;22.6;26.6;26.2;22.6;22.2;80.0;77.0;80.0;71.0;4.7;2.0
2024/01/01;0300 UTC;;986.8;987.4;986.8;;26.1;22.4;26.3;26.1;22.6;22.4;80.0;79.0;80.0;73.0;4.2;1.9
2024/01/01;0400 UTC;;986.4;986.8;986.4;;25.8;22.5;26.1;25.8;22.6;22.4;82.0;80.0;82.0;77.0;4.3;2.0
2024/01/01;0500 UTC;;;;;;;;;;;;;;;;;
2024/01/01;0600 UTC;;;;;;;;;;;;;;;;;
2024/01/01;0700 UTC;;;;;;;;;;;;;;;;;
2024/01/01;0800 UTC;;;;;;;;;;;;;;;;;
2024/01/01;0900 UTC;;;;;;;;;;;;;;;;;
2024/01/01;1000 UTC;;;;;;;;;;;;;;;;;
2024/01/01;1100 UTC;;987.7;987.7;987.2;1625.5;29.1;21.4;29.2;26.6;22.7;21.0;79.0;62.0;63.0;34.0;4.1;1.7
2024/01/01;1200 UTC;;987.5;987.7;987.5;1092.6;29.6;20.7;29.6;28.3;21.4;20.5;65.0;59.0;59.0;57.0;4.0;1.3
2024/01/01;1300 UTC;;987.5;987.7;987.5;1388.0;30.1;20.7;30.6;29.3;21.2;20.1;61.0;56.0;57.0;22.0;4.6;2.3
2024/01/01;1400 UTC;;988.7;988.7;987.5;215.1;22.5;22.0;30.1;22.0;22.0;18.2;98.0;56.0;97.0;261.0;12.1;2.9
2024/01/01;1500 UTC;;;;;;;;;;;;;;;;;
2024/01/01;1600 UTC;;986.3;;;356.0;24.4;21.5;;;;;;;84.0;265.0;;1.4
2024/01/01;1700 UTC;;985.7;986.3;985.6;2327.3;27.6;20.9;27.6;24.3;22.0;20.2;86.0;67.0;67.0;331.0;4.6;1.9
2024/01/01;1800 UTC;;985.3;986.1;985.3;1185.0;28.0;20.4;28.1;27.4;20.8;19.5;67.0;61.0;63.0;354.0;3.8;1.2
2024/01/01;1900 UTC;;984.7;985.3;984.7;567.7;27.6;20.6;28.2;27.6;20.8;18.3;66.0;56.0;66.0;337.0;3.0;0.8
2024/01/01;2000 UTC;;984.8;984.9;984.6;180.4;25.4;21.4;27.6;25.4;21.7;19.3;79.0;60.0;79.0;104.0;3.9;1.4
2024/01/01;2100 UTC;;985.6;985.6;984.7;23.9;24.1;22.0;25.4;24.1;22.0;21.1;88.0;78.0;88.0;91.0;6.1;2.6
2024/01/01;2200 UTC;;;;;;;;;;;;;;;;;
2024/01/01;2300 UTC;;;;;;;;;;;;;;;;;
2024/01/02;0000 UTC;;;;;;;;;;;;;;;;;
2024/01/02;0100 UTC;;987.9;;;;23.9;22.6;;;;;;;93.0;12.0;;0.6
2024/01/02;0200 UTC;;;;;;;;;;;;;;;;;
2024/01/02;0300 UTC;;;;;;;;;;;;;;;;;
2024/01/02;0400 UTC;;;;;;;;;;;;;;;;;
2024/01/02;0500 UTC;;;;;;;;;;;;;;;;;
2024/01/02;0600 UTC;;;;;;;;;;;;;;;;;
2024/01/02;0700 UTC;;;;;;;;;;;;;;;;;
2024/01/02;0800 UTC;;;;;;;;;;;;;;;;;
2024/01/02;0900 UTC;;;;;;;;;;;;;;;;;
2024/01/02;1000 UTC;;;;;;;;;;;;;;;;;
2024/01/02;1100 UTC;;987.7;;;1124.7;26.8;20.5;;;;;;;68.0;64.0;;0.8
2024/01/02;1200 UTC;;987.7;987.7;987.7;2004.5;27.4;20.4;27.6;26.6;21.6;20.2;70.0;65.0;66.0;3.0;3.7;1.5
2024/01/02;1300 UTC;;987.6;987.7;987.5;1970.7;28.4;20.7;28.8;27.2;21.3;20.2;69.0;61.0;63.0;61.0;4.4;2.0
2024/01/02;1400 UTC;;987.3;987.6;987.3;2134.6;28.3;21.1;28.9;28.2;21.8;20.3;66.0;62.0;65.0;67.0;6.3;3.5
2024/01/02;1500 UTC;;986.4;987.3;986.4;2440.1;30.0;20.9;30.0;28.1;21.5;20.4;67.0;58.0;58.0;85.0;6.1;2.0
2024/01/02;1600 UTC;;985.6;986.4;985.6;2526.2;29.9;20.6;30.5;29.4;21.4;20.0;60.0;56.0;58.0;105.0;6.1;1.9
2024/01/02;1700 UTC;;984.7;985.7;984.7;2011.3;30.6;19.5;30.9;29.5;21.4;19.1;59.0;51.0;51.0;110.0;6.6;2.3
2024/01/02;1800 UTC;;984.3;984.7;984.2;1505.7;30.3;20.2;31.2;29.6;20.8;18.9;58.0;50.0;55.0;102.0;6.9;2.4
2024/01/02;1900 UTC;;985.2;985.2;984.2;530.7;25.0;20.3;30.2;25.0;21.1;19.7;76.0;55.0;76.0;27.0;7.8;3.4
2024/01/02;2000 UTC;;985.5;985.5;985.0;378.1;25.0;23.1;25.3;24.4;23.1;20.4;90.0;76.0;89.0;68.0;6.4;2.2
2024/01/02;2100 UTC;;985.9;985.9;985.5;54.1;25.0;23.3;25.2;25.0;23.6;22.9;91.0;88.0;90.0;327.0;3.8;0.4
2024/01/02;2200 UTC;;986.4;986.4;985.8;;25.0;24.2;25.2;24.9;24.2;23.4;95.0;90.0;95.0;297.0;1.8;0.7
2024/01/02;2300 UTC;;987.2;987.2;986.4;;24.9;24.2;25.0;24.9;24.3;24.0;96.0;95.0;96.0;14.0;1.6;0.7
2024/01/03;0000 UTC;;987.5;987.5;987.2;;25.0;24.2;25.0;24.9;24.3;24.1;96.0;95.0;95.0;158.0;1.7;0.6
2024/01/03;0100 UTC;;987.7;987.7;987.5;;24.7;23.4;25.0;24.7;24.2;23.4;95.0;92.0;93.0;177.0;1.4;0.4
2024/01/03;0200 UTC;;;;;;;;;;;;;;;;;
