Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2024/01/01;0000 UTC;0.0;1007.5;1007.5;1006.7;;26.1;24.9;26.2;25.9;25.3;24.9;95.0;93.0;93.0;169.0;1.4;0.5
2024/01/01;0100 UTC;0.0;1007.9;1008.0;1007.5;;26.2;24.7;26.5;25.9;25.2;24.7;95.0;90.0;91.0;99.0;3.4;1.2
2024/01/01;0200 UTC;0.2;1008.3;1008.3;1007.9;;25.8;25.0;26.2;25.7;25.0;24.7;95.0;91.0;95.0;91.0;2.8;0.6
2024/01/01;0300 UTC;0.0;1008.1;1008.3;1008.0;;25.2;24.2;25.8;25.2;25.0;24.2;95.0;94.0;94.0;136.0;3.3;0.8
2024/01/01;0400 UTC;2.2;1007.6;1008.2;1007.6;;24.6;24.0;25.2;24.5;24.3;23.9;96.0;94.0;96.0;113.0;3.9;0.6
2024/01/01;0500 UTC;0.2;1007.1;1007.6;1006.9;;24.3;23.6;24.6;24.3;24.0;23.6;97.0;96.0;96.0;131.0;1.8;0.7
2024/01/01;0600 UTC;0.0;1006.9;1007.4;1006.9;;23.8;23.2;24.3;23.8;23.7;23.2;96.0;96.0;96.0;211.0;1.8;0.7
2024/01/01;0700 UTC;0.8;1006.4;1006.9;1006.3;;23.7;23.2;23.9;23.7;23.3;23.1;97.0;96.0;97.0;15.0;2.3;0.7
2024/01/01;0800 UTC;1.0;1007.0;1007.0;1006.3;;23.8;23.3;24.0;23.6;23.4;23.1;97.0;97.0;97.0;143.0;2.2;1.2
2024/01/01;0900 UTC;1.2;1007.1;1007.3;1006.8;;23.7;23.2;23.8;23.6;23.3;23.1;97.0;97.0;97.0;175.0;2.2;0.7
