Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2024/01/01;0000 UTC;0.0;1015.2;1015.2;1014.8;;23.6;20.2;24.1;23.6;20.9;20.2;84.0;80.0;81.0;188.0;7.0;1.6
2024/01/01;0100 UTC;0.0;1015.3;1015.4;1015.2;;23.3;20.2;23.6;22.9;20.7;20.2;86.0;81.0;83.0;191.0;6.7;1.9
2024/01/01;0200 UTC;0.0;1015.2;1015.4;1015.1;;23.8;19.6;23.9;23.3;20.2;19.5;83.0;77.0;77.0;192.0;6.7;1.9
2024/01/01;0300 UTC;0.0;1015.1;1015.3;1015.1;;22.6;19.1;23.9;22.6;19.7;19.0;81.0;77.0;81.0;210.0;6.9;1.7
2024/01/01;0400 UTC;0.0;1014.5;1015.1;1014.5;;23.1;18.9;23.1;22.5;19.2;18.9;81.0;77.0;77.0;220.0;6.5;1.4
2024/01/01;0500 UTC;0.0;1013.7;1014.5;1013.7;;23.3;18.5;23.3;23.1;18.9;18.5;77.0;74.0;75.0;232.0;6.1;1.7
2024/01/01;0600 UTC;0.0;1013.6;1013.7;1013.6;;23.4;18.4;23.5;23.3;18.6;18.4;75.0;73.0;74.0;211.0;5.9;1.2
2024/01/01;0700 UTC;0.0;1013.4;1013.7;1013.4;;23.5;18.7;23.6;23.3;18.8;18.4;75.0;73.0;74.0;220.0;6.1;1.2
2024/01/01;0800 UTC;0.0;1013.9;1013.9;1013.4;;22.2;19.6;23.5;22.2;19.6;18.7;85.0;74.0;85.0;215.0;5.2;1.2
2024/01/01;0900 UTC;0.0;1014.3;1014.3;1013.9;46.0;22.4;19.9;22.4;22.1;20.0;19.6;87.0;85.0;86.0;230.0;5.9;1.1
2024/01/01;1000 UTC;0.0;1014.4;1014.5;1014.3;215.5;23.7;19.5;23.7;22.4;19.9;19.4;86.0;77.0;77.0;190.0;5.5;1.6
2024/01/01;1100 UTC;0.0;1014.8;1014.8;1014.4;382.7;24.0;19.7;24.1;23.7;19.9;19.3;78.0;76.0;77.0;203.0;7.3;1.2
2024/01/01;1200 UTC;0.4;1015.0;1015.0;1014.8;506.9;23.5;21.1;24.0;23.3;21.1;19.7;86.0;77.0;86.0;212.0;5.0;0.9
2024/01/01;1300 UTC;0.6;1015.1;1015.1;1014.9;622.7;23.4;20.9;24.3;23.3;21.5;20.5;86.0;82.0;86.0;213.0;5.6;1.4
