Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2024/01/01;0000 UTC;0.0;958.6;958.6;958.0;1.1;26.0;22.4;26.2;26.0;22.4;22.1;81.0;78.0;81.0;285.0;1.4;0.0
2024/01/01;0100 UTC;0.2;959.0;959.0;958.6;;25.3;21.7;26.0;25.2;22.4;21.6;81.0;80.0;80.0;198.0;1.6;0.1
2024/01/01;0200 UTC;0.0;959.3;959.3;959.0;;24.6;21.0;25.3;24.6;21.7;21.0;81.0;80.0;80.0;135.0;1.7;0.1
2024/01/01;0300 UTC;0.0;958.7;959.3;958.7;0.2;24.7;21.1;24.8;24.5;21.3;20.9;81.0;80.0;81.0;113.0;1.0;0.0
2024/01/01;0400 UTC;0.2;958.4;958.8;958.4;0.3;24.5;21.0;24.7;24.4;21.1;20.9;81.0;80.0;81.0;108.0;1.1;0.4
2024/01/01;0500 UTC;0.0;958.2;958.5;958.2;0.4;24.1;20.6;24.6;24.0;21.1;20.6;81.0;81.0;81.0;127.0;2.8;0.8
2024/01/01;0600 UTC;0.0;957.9;958.2;957.9;2.5;23.9;20.3;24.1;23.9;20.6;20.2;81.0;80.0;80.0;123.0;3.5;0.2
2024/01/01;0700 UTC;0.0;957.8;957.9;957.6;1.8;23.9;20.5;24.0;23.8;20.5;20.3;81.0;80.0;81.0;116.0;1.7;0.0
2024/01/01;0800 UTC;0.2;958.2;958.2;957.7;;23.9;20.5;24.0;23.8;20.6;20.3;82.0;81.0;82.0;156.0;0.8;0.0
2024/01/01;0900 UTC;0.0;958.8;958.8;958.2;10.2;23.7;20.5;23.9;23.6;20.5;20.2;82.0;81.0;82.0;13.0;1.6;0.1
2024/01/01;1000 UTC;0.8;959.3;959.3;958.8;42.9;23.8;20.6;23.9;23.7;20.7;20.5;83.0;82.0;82.0;309.0;1.8;0.5
2024/01/01;1100 UTC;6.8;959.7;959.7;959.3;91.7;23.5;20.4;23.9;23.5;20.7;20.4;83.0;82.0;83.0;265.0;2.6;1.3
2024/01/01;1200 UTC;0.4;959.9;959.9;959.6;161.5;23.9;20.8;24.0;23.5;21.0;20.4;83.0;83.0;83.0;334.0;2.6;0.2
2024/01/01;1300 UTC;1.0;959.9;960.0;959.9;295.4;24.2;21.3;24.2;23.7;21.3;20.7;84.0;83.0;84.0;291.0;2.1;0.3
2024/01/01;1400 UTC;1.6;959.9;960.1;959.9;353.7;24.0;21.3;24.2;23.8;21.3;21.0;85.0;84.0;85.0;311.0;2.1;0.3
2024/01/01;1500 UTC;3.0;959.4;959.9;959.4;573.9;24.1;21.4;24.1;23.8;21.4;21.0;85.0;84.0;85.0;285.0;2.4;0.2
2024/01/01;1600 UTC;0.8;958.8;959.4;958.8;605.2;25.2;22.4;25.2;24.1;22.4;21.4;85.0;84.0;84.0;156.0;1.8;0.1
2024/01/01;1700 UTC;0.8;957.9;958.8;957.9;630.0;25.7;22.7;25.7;25.2;22.7;22.3;84.0;84.0;84.0;250.0;1.6;0.4
