Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2024/01/01;0000 UTC;0.0;931.5;931.5;930.8;;22.2;20.7;22.2;21.9;20.7;20.5;92.0;91.0;91.0;88.0;6.7;0.5
2024/01/01;0100 UTC;0.0;932.3;932.4;931.5;;21.8;20.7;22.2;21.7;20.9;20.7;94.0;91.0;93.0;333.0;5.5;2.9
2024/01/01;0200 UTC;0.2;932.5;932.5;932.3;;21.6;20.4;21.8;21.6;20.7;20.3;93.0;92.0;93.0;335.0;4.8;2.1
2024/01/01;0300 UTC;0.8;932.3;932.6;932.3;;21.2;20.3;21.6;21.2;20.4;20.3;95.0;93.0;95.0;227.0;4.3;2.4
2024/01/01;0400 UTC;0.2;932.1;932.3;932.1;;21.1;20.2;21.2;21.0;20.3;20.1;95.0;95.0;95.0;291.0;3.5;0.0
2024/01/01;0500 UTC;0.0;931.5;932.1;931.5;;21.4;20.5;21.4;21.1;20.5;20.3;95.0;95.0;95.0;41.0;2.3;0.0
2024/01/01;0600 UTC;0.0;931.0;931.5;930.9;;21.4;20.4;21.5;21.3;20.6;20.4;95.0;94.0;94.0;321.0;1.6;0.0
2024/01/01;0700 UTC;0.0;930.6;931.0;930.6;;21.1;20.0;21.4;21.0;20.5;20.0;94.0;94.0;94.0;58.0;0.0;0.0
2024/01/01;0800 UTC;0.0;931.4;931.4;930.6;;20.9;19.9;21.1;20.9;20.0;19.8;94.0;94.0;94.0;59.0;0.0;0.0
2024/01/01;0900 UTC;0.0;931.8;931.8;931.4;6.7;20.8;19.8;20.9;20.8;19.9;19.7;94.0;93.0;94.0;56.0;3.2;1.1
2024/01/01;1000 UTC;0.0;932.2;932.2;931.8;149.4;21.3;19.9;21.3;20.8;20.0;19.8;94.0;92.0;92.0;7.0;2.6;0.0
2024/01/01;1100 UTC;0.0;932.4;932.4;932.2;303.0;21.7;20.0;21.7;21.3;20.2;19.8;92.0;90.0;90.0;319.0;4.0;1.8
2024/01/01;1200 UTC;0.0;932.6;932.6;932.4;692.5;22.8;20.4;22.9;21.6;20.8;20.0;91.0;86.0;87.0;47.0;4.9;3.2
2024/01/01;1300 UTC;0.0;932.8;932.8;932.6;586.0;23.2;20.7;23.2;22.5;20.7;20.1;88.0;85.0;86.0;47.0;5.2;2.1
2024/01/01;1400 UTC;0.0;932.4;932.8;932.4;1179.7;24.4;20.7;24.6;23.1;21.1;20.1;86.0;77.0;80.0;44.0;3.9;1.7
2024/01/01;1500 UTC;0.6;931.7;932.4;931.7;990.3;23.7;21.0;24.8;23.5;21.4;20.0;85.0;77.0;85.0;175.0;3.3;0.8
2024/01/01;1600 UTC;0.6;930.9;931.7;930.9;889.4;24.3;22.3;24.3;23.3;22.3;21.0;91.0;85.0;88.0;213.0;2.9;1.9
