Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2024/01/01;0000 UTC;0.0;907.0;907.0;906.8;;20.8;19.9;20.9;20.7;20.1;19.9;95.0;95.0;95.0;157.0;1.4;0.5
2024/01/01;0100 UTC;0.0;907.8;907.8;907.0;;20.5;19.7;20.8;20.5;19.9;19.6;95.0;94.0;95.0;102.0;1.8;0.4
2024/01/01;0200 UTC;0.0;908.4;908.4;907.8;;20.5;19.8;20.6;20.4;19.9;19.7;95.0;95.0;95.0;76.0;1.8;0.3
2024/01/01;0300 UTC;0.0;908.6;908.6;908.4;;20.6;19.9;20.7;20.5;20.0;19.8;96.0;95.0;96.0;230.0;2.1;0.8
2024/01/01;0400 UTC;0.2;908.1;908.6;908.1;;20.6;19.9;20.7;20.6;20.0;19.9;96.0;96.0;96.0;88.0;2.1;0.8
2024/01/01;0500 UTC;0.0;907.3;908.1;907.3;;20.5;19.8;20.6;20.4;19.9;19.7;96.0;96.0;96.0;200.0;2.0;0.5
2024/01/01;0600 UTC;0.0;907.1;907.3;906.9;;20.6;19.8;20.6;20.5;19.9;19.7;96.0;96.0;96.0;194.0;1.0;0.4
2024/01/01;0700 UTC;0.2;906.6;907.1;906.6;;20.5;19.7;20.7;20.5;20.0;19.7;96.0;96.0;96.0;139.0;0.8;0.2
2024/01/01;0800 UTC;0.0;906.8;906.8;906.5;;20.4;19.7;20.5;20.3;19.8;19.6;96.0;96.0;96.0;244.0;1.2;0.5
2024/01/01;0900 UTC;0.0;907.3;907.3;906.8;17.9;20.6;20.0;20.6;20.4;20.0;19.7;96.0;96.0;96.0;122.0;1.8;0.6
2024/01/01;1000 UTC;0.0;908.0;908.0;907.3;231.9;21.4;20.6;21.4;20.6;20.6;20.0;96.0;95.0;95.0;40.0;2.0;1.1
2024/01/01;1100 UTC;0.0;908.2;908.3;908.0;544.8;22.2;20.7;22.2;21.4;20.7;20.3;95.0;90.0;91.0;60.0;2.9;1.3
2024/01/01;1200 UTC;0.0;908.6;908.6;908.2;893.2;22.8;20.3;22.9;22.1;20.6;20.0;91.0;85.0;86.0;56.0;3.9;1.9
2024/01/01;1300 UTC;0.0;908.7;908.8;908.6;1536.1;23.8;20.5;24.0;22.8;21.3;19.5;86.0;77.0;82.0;32.0;4.6;2.6
2024/01/01;1400 UTC;0.0;908.4;908.7;908.4;1064.8;24.0;20.3;24.0;23.5;20.3;19.5;82.0;78.0;80.0;5.0;4.6;1.5
2024/01/01;1500 UTC;0.0;907.7;908.4;907.7;1355.5;24.4;20.3;24.5;23.7;20.5;19.6;81.0;76.0;78.0;318.0;5.1;3.1
2024/01/01;1600 UTC;0.0;907.0;907.7;907.0;1700.7;24.0;19.9;24.4;23.5;21.0;19.6;84.0;76.0;78.0;313.0;7.2;2.0
2024/01/01;1700 UTC;0.0;905.8;907.0;905.8;2504.8;25.4;20.3;25.9;24.0;21.0;19.4;78.0;69.0;73.0;269.0;4.5;2.4
2024/01/01;1800 UTC;0.0;905.1;905.8;905.1;2443.3;26.6;19.6;27.0;25.2;20.8;19.0;75.0;62.0;65.0;253.0;4.8;1.2
2024/01/01;1900 UTC;0.0;905.0;905.1;904.8;2141.7;25.6;19.8;27.7;25.6;20.9;19.1;70.0;63.0;70.0;203.0;5.4;3.1
2024/01/01;2000 UTC;0.0;905.0;905.1;905.0;852.9;25.1;19.5;26.1;25.1;20.7;19.4;74.0;70.0;71.0;181.0;5.4;2.4
2024/01/01;2100 UTC;2.0;905.5;905.5;904.9;246.2;20.9;19.6;25.3;20.9;19.9;18.9;92.0;71.0;92.0;100.0;6.4;0.6
2024/01/01;2200 UTC;0.2;905.6;905.6;905.5;25.1;20.3;18.9;21.2;20.3;20.2;18.9;94.0;91.0;91.0;151.0;4.3;0.6
2024/01/01;2300 UTC;0.2;906.1;906.1;905.6;;21.0;19.6;21.0;20.3;19.7;18.8;93.0;90.0;92.0;113.0;3.1;0.7
2024/01/02;0000 UTC;0.0;907.0;907.0;906.1;;21.0;19.4;21.2;21.0;19.9;19.4;93.0;91.0;91.0;95.0;3.3;1.0
2024/01/02;0100 UTC;0.0;907.8;907.8;907.0;;20.7;19.2;21.0;20.6;19.4;19.1;92.0;90.0;91.0;104.0;3.5;0.8
2024/01/02;0200 UTC;0.0;907.4;907.9;907.4;;20.6;19.2;20.7;20.6;19.3;19.2;92.0;91.0;92.0;125.0;3.4;0.7
2024/01/02;0300 UTC;0.0;907.2;907.6;907.2;;20.3;19.2;20.6;20.2;19.3;19.1;93.0;92.0;93.0;32.0;3.1;0.6
2024/01/02;0400 UTC;0.0;906.7;907.2;906.7;;20.5;19.4;20.5;20.2;19.4;19.0;94.0;93.0;94.0;54.0;2.5;0.8
2024/01/02;0500 UTC;0.0;906.5;906.7;906.5;;20.7;19.4;20.7;20.4;19.5;19.3;94.0;93.0;93.0;83.0;2.2;0.9
2024/01/02;0600 UTC;0.0;906.0;906.5;905.9;;20.6;19.4;20.7;20.6;19.5;19.4;93.0;92.0;93.0;78.0;2.0;0.5
2024/01/02;0700 UTC;0.0;905.9;906.1;905.9;;20.7;19.5;20.7;20.6;19.6;19.4;93.0;93.0;93.0;91.0;2.5;1.0
2024/01/02;0800 UTC;0.0;906.3;906.3;905.9;;20.6;19.4;20.7;20.5;19.5;19.3;93.0;93.0;93.0;66.0;2.6;0.5
2024/01/02;0900 UTC;0.0;906.7;906.7;906.2;7.9;20.8;19.5;20.8;20.6;19.5;19.3;93.0;92.0;92.0;79.0;2.4;0.6
2024/01/02;1000 UTC;0.0;906.9;906.9;906.6;219.3;21.6;19.7;21.6;20.8;19.9;19.5;93.0;89.0;89.0;75.0;3.7;1.9
2024/01/02;1100 UTC;7.2;907.3;907.4;906.9;297.2;20.6;19.6;22.0;20.5;20.3;19.5;94.0;87.0;94.0;46.0;4.1;2.0
2024/01/02;1200 UTC;4.2;907.6;907.6;907.3;291.8;21.4;20.4;21.4;20.6;20.4;19.6;95.0;94.0;94.0;28.0;4.4;1.2
2024/01/02;1300 UTC;0.6;907.6;907.6;907.5;643.8;21.4;20.2;22.0;21.3;20.8;20.2;94.0;91.0;93.0;15.0;4.8;2.9
2024/01/02;1400 UTC;3.8;907.2;907.6;907.2;1253.3;22.4;20.7;22.6;21.1;21.3;19.9;94.0;89.0;90.0;41.0;6.0;3.5
2024/01/02;1500 UTC;0.6;906.5;907.2;906.5;1474.6;23.0;20.8;23.1;22.2;21.1;20.2;92.0;87.0;87.0;39.0;6.0;2.7
2024/01/02;1600 UTC;0.0;905.8;906.5;905.8;2508.5;24.5;20.4;25.0;23.1;21.9;20.2;88.0;77.0;78.0;14.0;5.7;3.3
2024/01/02;1700 UTC;0.0;904.8;905.8;904.8;3131.8;25.9;20.3;26.8;24.4;21.7;19.3;81.0;68.0;71.0;52.0;6.0;3.0
2024/01/02;1800 UTC;0.0;904.0;904.8;904.0;2987.2;27.0;20.1;27.9;25.9;21.8;19.5;73.0;64.0;66.0;43.0;7.3;2.9
2024/01/02;1900 UTC;0.0;903.4;904.0;903.4;2117.4;26.2;19.3;28.3;26.2;21.3;18.9;70.0;61.0;66.0;48.0;6.3;3.3
2024/01/02;2000 UTC;0.0;903.0;903.4;903.0;1693.8;26.9;18.5;27.9;26.2;20.2;17.7;66.0;56.0;60.0;57.0;6.3;2.5
2024/01/02;2100 UTC;0.0;903.6;903.6;902.9;640.2;25.7;19.4;27.0;25.7;19.5;18.3;68.0;60.0;68.0;67.0;5.1;2.0
2024/01/02;2200 UTC;4.6;905.0;905.0;903.6;42.6;20.7;19.4;25.7;20.7;19.9;19.2;92.0;68.0;92.0;43.0;10.2;2.9
2024/01/02;2300 UTC;2.8;905.7;905.7;905.0;;21.0;19.9;21.0;20.6;19.9;19.3;94.0;92.0;94.0;57.0;5.4;1.9
2024/01/03;0000 UTC;0.2;906.2;906.3;905.6;;21.5;19.5;21.5;21.0;20.1;19.5;94.0;88.0;88.0;70.0;5.3;2.8
2024/01/03;0100 UTC;0.0;906.1;906.3;905.9;0.3;21.5;19.9;21.7;21.4;20.0;19.5;91.0;88.0;91.0;83.0;6.4;2.1
2024/01/03;0200 UTC;0.0;906.0;906.1;905.8;;21.3;19.8;21.6;21.3;20.0;19.6;91.0;90.0;91.0;69.0;6.3;2.7
2024/01/03;0300 UTC;0.0;905.9;906.0;905.9;;21.5;19.9;21.5;21.3;20.1;19.7;92.0;91.0;91.0;51.0;7.3;3.9
2024/01/03;0400 UTC;0.8;905.5;905.9;905.5;;21.1;19.9;21.5;21.0;19.9;19.7;93.0;90.0;93.0;43.0;8.1;3.1
2024/01/03;0500 UTC;0.2;905.0;905.5;905.0;;21.2;20.0;21.2;21.0;20.1;19.9;94.0;93.0;93.0;50.0;6.9;2.4
