Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2024/01/01;0000 UTC;0.0;1014.4;1014.4;1014.0;;21.9;20.6;22.6;21.8;21.0;20.4;93.0;90.0;92.0;262.0;1.7;0.2
2024/01/01;0100 UTC;0.0;1014.7;1014.8;1014.4;;21.9;20.4;22.0;21.7;20.8;20.2;93.0;91.0;91.0;259.0;1.7;0.5
2024/01/01;0200 UTC;0.0;1014.6;1014.9;1014.6;;21.8;20.3;22.2;21.8;20.4;20.1;91.0;89.0;91.0;242.0;1.9;0.4
2024/01/01;0300 UTC;0.0;1014.3;1014.6;1014.2;;21.9;19.8;22.3;21.5;20.4;19.7;91.0;87.0;88.0;314.0;2.1;0.2
2024/01/01;0400 UTC;0.0;1013.8;1014.3;1013.8;;21.4;19.9;22.0;21.3;19.9;19.6;92.0;87.0;92.0;259.0;2.0;0.2
2024/01/01;0500 UTC;0.0;1013.1;1013.8;1013.1;;21.0;19.8;21.4;20.9;20.0;19.7;93.0;92.0;93.0;269.0;2.3;0.7
2024/01/01;0600 UTC;0.0;1012.8;1013.2;1012.8;;20.3;19.1;21.2;20.3;19.7;19.1;93.0;91.0;93.0;249.0;2.3;0.8
2024/01/01;0700 UTC;0.0;1012.5;1012.8;1012.5;;20.2;18.9;20.7;20.2;19.3;18.8;93.0;91.0;92.0;244.0;2.3;0.0
2024/01/01;0800 UTC;0.0;1013.0;1013.0;1012.5;;20.5;19.2;20.9;20.2;19.5;19.0;94.0;92.0;92.0;242.0;1.6;0.6
2024/01/01;0900 UTC;0.0;1013.5;1013.5;1013.0;64.7;21.1;19.9;21.1;20.4;19.9;19.2;93.0;91.0;93.0;255.0;1.6;0.2
2024/01/01;1000 UTC;0.0;1013.6;1013.7;1013.5;330.2;22.8;20.2;22.8;21.0;20.5;19.8;93.0;85.0;85.0;235.0;1.6;0.1
2024/01/01;1100 UTC;0.0;1013.7;1013.8;1013.4;783.3;24.6;18.9;24.7;22.8;20.6;17.9;86.0;67.0;71.0;290.0;3.0;0.6
2024/01/01;1200 UTC;0.0;1014.0;1014.1;1013.6;606.7;24.5;18.6;25.0;24.4;19.9;17.9;75.0;66.0;70.0;352.0;2.5;0.5
2024/01/01;1300 UTC;0.0;1014.3;1014.4;1013.8;576.0;24.4;20.3;25.0;24.3;21.2;18.5;81.0;68.0;78.0;245.0;2.9;0.8
2024/01/01;1400 UTC;0.0;1014.1;1014.4;1014.0;813.4;25.1;20.9;25.6;24.1;21.6;19.9;85.0;72.0;78.0;222.0;2.9;0.4
2024/01/01;1500 UTC;0.0;1013.6;1014.1;1013.5;1290.4;26.5;19.2;26.6;25.1;21.0;19.2;78.0;64.0;64.0;245.0;3.0;1.0
2024/01/01;1600 UTC;0.0;1013.1;1013.6;1012.8;1208.6;25.7;20.4;27.0;25.7;21.0;18.7;75.0;62.0;73.0;219.0;2.8;0.3
2024/01/01;1700 UTC;0.0;1012.4;1013.1;1012.4;501.1;25.2;20.6;26.0;25.2;21.9;20.0;80.0;70.0;75.0;247.0;2.5;1.2
2024/01/01;1800 UTC;0.0;1011.9;1012.4;1011.9;464.1;25.3;20.4;25.3;24.9;21.1;20.2;79.0;74.0;74.0;253.0;3.6;1.2
2024/01/01;1900 UTC;0.0;1011.4;1011.9;1011.4;509.5;25.2;20.3;25.5;25.2;20.7;19.7;75.0;71.0;74.0;259.0;3.7;1.2
2024/01/01;2000 UTC;0.0;1011.3;1011.4;1011.3;229.9;24.5;20.5;25.2;24.5;21.1;19.8;79.0;73.0;78.0;240.0;2.4;0.8
2024/01/01;2100 UTC;0.0;1011.6;1011.7;1011.3;105.7;23.6;21.3;24.5;23.4;21.4;20.3;88.0;78.0;87.0;226.0;2.3;0.1
2024/01/01;2200 UTC;0.0;1012.1;1012.1;1011.6;31.7;23.0;21.2;23.7;23.0;21.5;21.0;90.0;85.0;90.0;229.0;1.4;0.2
2024/01/01;2300 UTC;0.0;1012.5;1012.5;1012.1;;22.6;21.1;23.1;22.6;21.3;21.0;92.0;89.0;92.0;221.0;1.3;0.1
2024/01/02;0000 UTC;0.0;1012.8;1012.8;1012.5;;22.4;21.1;22.7;22.2;21.3;21.0;93.0;92.0;93.0;250.0;1.2;0.4
2024/01/02;0100 UTC;0.0;1013.2;1013.2;1012.8;;22.3;21.1;22.5;22.2;21.1;20.9;93.0;92.0;93.0;264.0;1.1;0.1
2024/01/02;0200 UTC;0.0;1013.2;1013.4;1013.2;;22.2;20.8;22.4;22.1;21.1;20.7;93.0;91.0;92.0;257.0;1.5;0.3
2024/01/02;0300 UTC;0.0;1012.9;1013.2;1012.9;;22.3;20.6;22.5;22.1;20.8;20.4;92.0;88.0;90.0;266.0;2.2;0.1
