Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2024/01/01;0000 UTC;0.0;926.9;926.9;926.4;;19.5;15.0;19.9;19.4;15.2;14.5;76.0;71.0;75.0;161.0;8.8;3.4
2024/01/01;0100 UTC;0.0;927.6;927.6;926.9;;19.3;14.8;19.6;19.3;15.0;14.7;76.0;74.0;75.0;156.0;8.8;3.0
2024/01/01;0200 UTC;0.0;927.1;927.7;927.1;;19.0;14.6;19.4;19.0;14.9;14.6;76.0;75.0;75.0;151.0;8.1;3.0
2024/01/01;0300 UTC;0.0;927.2;927.3;927.0;;19.2;13.8;19.2;19.0;14.6;13.7;75.0;71.0;71.0;150.0;6.7;2.1
2024/01/01;0400 UTC;0.0;926.3;927.2;926.3;;18.9;13.4;19.2;18.8;13.8;13.3;71.0;69.0;70.0;143.0;6.3;2.2
2024/01/01;0500 UTC;0.0;926.0;926.4;926.0;;18.5;13.0;18.9;18.4;13.4;12.9;71.0;69.0;70.0;139.0;5.4;2.7
2024/01/01;0600 UTC;0.0;925.6;926.1;925.6;;18.7;12.9;18.7;18.5;13.1;12.8;70.0;68.0;69.0;133.0;5.7;2.1
2024/01/01;0700 UTC;0.0;925.3;925.6;925.2;;18.7;13.1;18.8;18.7;13.1;12.7;70.0;68.0;70.0;126.0;6.0;2.7
2024/01/01;0800 UTC;0.0;925.6;925.7;925.3;;18.6;13.9;18.9;18.6;13.9;13.0;74.0;70.0;74.0;152.0;6.6;2.1
2024/01/01;0900 UTC;0.0;925.6;925.8;925.6;47.6;18.5;14.3;18.6;18.4;14.3;13.9;77.0;74.0;77.0;128.0;6.0;1.8
2024/01/01;1000 UTC;0.0;926.0;926.0;925.5;243.3;19.0;14.9;19.0;18.3;15.1;14.3;80.0;77.0;77.0;135.0;7.2;2.7
2024/01/01;1100 UTC;0.0;926.1;926.1;926.0;962.3;21.2;14.4;21.4;18.9;15.6;14.4;77.0;65.0;65.0;130.0;7.9;2.9
2024/01/01;1200 UTC;0.0;926.7;926.7;926.1;1282.7;21.7;14.7;21.8;20.9;15.1;14.2;67.0;64.0;64.0;149.0;7.2;3.0
2024/01/01;1300 UTC;0.0;926.9;926.9;926.7;1729.3;22.5;14.6;22.9;21.3;15.4;14.5;66.0;61.0;61.0;123.0;8.0;3.1
2024/01/01;1400 UTC;0.0;926.8;926.9;926.8;1678.0;24.3;15.4;24.4;22.4;15.9;14.6;63.0;58.0;58.0;129.0;7.1;1.7
2024/01/01;1500 UTC;0.0;926.3;926.9;926.3;1607.1;23.7;15.0;24.4;23.1;15.8;14.5;61.0;56.0;58.0;146.0;6.5;2.4
2024/01/01;1600 UTC;0.0;925.8;926.3;925.8;1847.2;24.6;15.7;25.5;23.7;16.9;15.0;62.0;55.0;58.0;155.0;5.4;2.5
2024/01/01;1700 UTC;0.0;924.8;925.8;924.8;1237.1;24.0;16.2;24.9;23.7;16.6;15.4;62.0;57.0;62.0;195.0;6.0;2.4
2024/01/01;1800 UTC;0.0;924.2;924.8;924.2;2086.3;25.0;16.0;26.5;24.0;17.5;15.6;63.0;54.0;58.0;167.0;6.2;1.7
2024/01/01;1900 UTC;0.0;923.8;924.2;923.8;919.5;25.4;16.9;25.4;23.7;16.9;15.7;63.0;58.0;59.0;153.0;7.8;2.0
2024/01/01;2000 UTC;0.0;923.8;923.8;923.7;908.5;23.8;16.1;25.8;23.7;16.8;15.6;62.0;55.0;62.0;168.0;6.6;1.9
2024/01/01;2100 UTC;0.0;923.8;923.8;923.6;387.0;22.8;15.6;24.3;22.8;16.4;15.6;65.0;60.0;64.0;160.0;7.7;2.9
2024/01/01;2200 UTC;0.0;924.1;924.1;923.8;66.4;22.2;16.1;22.8;22.1;16.2;15.7;69.0;64.0;68.0;159.0;7.7;1.6
2024/01/01;2300 UTC;0.0;924.9;924.9;924.1;;21.5;16.1;22.2;21.5;16.4;16.1;71.0;68.0;71.0;169.0;6.1;2.3
2024/01/02;0000 UTC;0.0;925.6;925.6;924.9;;20.8;16.1;21.5;20.8;16.3;16.0;74.0;71.0;74.0;169.0;6.1;2.0
2024/01/02;0100 UTC;0.0;926.3;926.3;925.6;;20.7;16.1;20.9;20.7;16.2;16.0;75.0;74.0;75.0;169.0;5.8;1.9
2024/01/02;0200 UTC;0.0;926.3;926.5;926.2;;20.7;16.0;20.8;20.5;16.2;16.0;76.0;74.0;75.0;152.0;6.4;1.8
2024/01/02;0300 UTC;0.0;925.7;926.3;925.7;;20.3;15.8;20.7;20.3;16.1;15.8;76.0;75.0;76.0;138.0;5.7;2.2
2024/01/02;0400 UTC;0.0;925.0;925.7;924.9;;20.2;15.9;20.3;20.1;16.0;15.8;77.0;76.0;77.0;130.0;5.8;2.1
2024/01/02;0500 UTC;0.0;924.4;925.0;924.4;;19.9;15.9;20.2;19.9;16.0;15.8;78.0;77.0;78.0;141.0;6.3;2.4
2024/01/02;0600 UTC;0.0;924.3;924.4;924.1;;19.9;16.0;19.9;19.8;16.0;15.9;78.0;78.0;78.0;138.0;5.4;1.6
2024/01/02;0700 UTC;0.0;923.8;924.3;923.7;;19.7;15.8;19.9;19.7;16.0;15.7;78.0;77.0;78.0;124.0;6.5;1.8
2024/01/02;0800 UTC;0.0;924.0;924.0;923.7;;19.6;15.7;19.7;19.4;15.9;15.6;80.0;78.0;78.0;104.0;8.0;2.4
2024/01/02;0900 UTC;0.0;924.3;924.3;923.9;31.6;19.5;15.4;19.6;19.4;15.7;15.4;78.0;77.0;78.0;125.0;7.5;2.9
2024/01/02;1000 UTC;0.0;924.8;924.8;924.2;277.7;20.0;15.7;20.0;19.4;15.9;15.4;79.0;76.0;76.0;108.0;6.8;1.6
2024/01/02;1100 UTC;0.0;924.8;924.8;924.6;1392.9;22.4;15.8;22.5;20.0;16.6;15.5;76.0;66.0;66.0;125.0;5.7;1.9
2024/01/02;1200 UTC;0.0;924.7;924.8;924.7;2442.8;23.9;14.7;25.7;22.4;17.1;14.7;66.0;55.0;56.0;118.0;4.2;1.6
2024/01/02;1300 UTC;0.0;924.3;924.7;924.3;2731.6;25.5;16.1;26.4;23.2;17.4;14.8;64.0;54.0;56.0;22.0;4.1;1.0
2024/01/02;1400 UTC;0.0;923.7;924.3;923.7;3437.0;27.7;17.0;28.2;24.9;18.0;15.6;60.0;50.0;52.0;202.0;4.7;0.7
2024/01/02;1500 UTC;0.0;923.2;923.7;923.2;1863.3;26.4;16.0;28.5;26.4;17.3;15.4;54.0;48.0;53.0;244.0;4.4;1.4
2024/01/02;1600 UTC;0.0;922.7;923.2;922.7;3068.6;29.0;15.8;29.8;26.4;17.7;15.4;55.0;43.0;45.0;174.0;5.2;1.8
2024/01/02;1700 UTC;0.0;922.1;922.7;922.1;1951.8;30.9;19.0;30.9;27.5;19.0;14.8;52.0;43.0;49.0;194.0;6.4;1.7
2024/01/02;1800 UTC;0.0;921.7;922.1;921.7;1437.3;26.7;17.5;30.9;26.6;18.1;16.5;57.0;44.0;57.0;223.0;8.1;3.6
2024/01/02;1900 UTC;0.2;922.1;922.1;921.7;731.0;23.3;17.6;26.7;23.0;18.0;17.0;72.0;57.0;70.0;186.0;10.6;2.8
2024/01/02;2000 UTC;0.0;922.2;922.2;922.0;439.0;23.4;16.7;23.7;23.3;17.6;16.6;70.0;66.0;66.0;209.0;7.4;2.9
2024/01/02;2100 UTC;0.0;922.4;922.5;922.1;366.6;22.7;16.3;23.4;22.7;16.8;16.3;68.0;66.0;67.0;202.0;6.9;2.7
2024/01/02;2200 UTC;0.0;923.1;923.1;922.4;106.2;21.8;16.5;22.7;21.8;16.6;16.3;72.0;67.0;72.0;195.0;6.0;2.0
2024/01/02;2300 UTC;0.0;923.6;923.8;923.1;;21.3;16.5;21.8;21.2;16.6;16.4;74.0;72.0;74.0;172.0;5.2;1.2
2024/01/03;0000 UTC;0.0;924.0;924.1;923.6;;21.2;16.4;21.4;21.0;16.6;16.1;74.0;73.0;74.0;149.0;6.1;2.2
