Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2024/01/01;0000 UTC;0.0;918.8;918.8;918.2;;24.1;17.3;24.1;23.1;19.6;17.3;80.0;66.0;66.0;148.0;4.6;1.7
2024/01/01;0100 UTC;0.0;919.6;919.6;918.8;;22.6;17.1;24.1;22.6;17.2;17.1;71.0;66.0;71.0;147.0;6.7;2.0
2024/01/01;0200 UTC;0.0;919.5;919.9;919.5;;21.4;17.1;22.6;21.4;17.2;17.1;77.0;71.0;77.0;126.0;4.3;1.1
2024/01/01;0300 UTC;0.0;919.6;919.6;919.3;;20.6;17.0;21.4;20.6;17.1;16.9;80.0;77.0;80.0;165.0;5.9;1.2
2024/01/01;0400 UTC;0.0;919.2;919.6;919.1;;20.1;17.0;20.6;20.1;17.0;16.9;82.0;80.0;82.0;138.0;4.8;1.7
2024/01/01;0500 UTC;0.0;918.6;919.3;918.6;;19.7;17.0;20.1;19.7;17.0;16.9;84.0;82.0;84.0;126.0;4.5;1.7
2024/01/01;0600 UTC;0.0;918.4;919.0;918.4;;19.5;16.9;19.7;19.5;17.0;16.9;85.0;84.0;85.0;213.0;4.5;1.0
2024/01/01;0700 UTC;0.0;918.0;918.4;918.0;;19.5;17.0;19.6;19.5;17.1;16.9;85.0;85.0;85.0;269.0;3.9;1.6
2024/01/01;0800 UTC;0.0;918.1;918.2;917.9;;19.6;17.4;19.6;19.4;17.4;16.9;87.0;85.0;87.0;255.0;3.9;0.8
2024/01/01;0900 UTC;0.0;918.4;918.5;918.1;8.0;20.0;18.0;20.0;19.6;18.0;17.4;89.0;87.0;89.0;276.0;3.0;1.1
2024/01/01;1000 UTC;0.0;919.1;919.1;918.4;195.0;20.4;18.1;20.5;19.9;18.2;17.8;89.0;86.0;86.0;256.0;2.9;0.7
2024/01/01;1100 UTC;0.0;919.6;919.6;919.1;428.3;21.3;18.5;21.4;20.4;18.6;18.0;86.0;84.0;84.0;281.0;3.4;1.8
2024/01/01;1200 UTC;0.0;919.9;920.0;919.5;940.4;22.0;18.2;22.3;21.3;18.9;18.1;84.0;78.0;79.0;301.0;4.6;2.5
2024/01/01;1300 UTC;0.0;920.0;920.1;919.9;1246.9;22.9;18.7;23.3;21.9;19.3;18.1;80.0;75.0;77.0;301.0;5.3;2.3
2024/01/01;1400 UTC;0.0;920.0;920.0;919.9;1514.6;23.7;19.2;23.7;22.5;19.3;18.1;78.0;75.0;76.0;303.0;5.6;2.7
2024/01/01;1500 UTC;0.0;919.6;920.0;919.6;2614.0;24.5;19.3;26.1;23.6;20.7;18.7;76.0;69.0;73.0;45.0;5.6;2.1
2024/01/01;1600 UTC;0.0;918.8;919.6;918.8;1559.6;25.1;19.6;25.5;24.0;20.5;18.8;76.0;71.0;71.0;328.0;5.3;1.5
2024/01/01;1700 UTC;0.0;917.7;918.8;917.7;1953.8;25.9;19.6;26.0;24.9;20.4;19.0;73.0;68.0;68.0;302.0;5.3;1.2
2024/01/01;1800 UTC;0.0;916.8;917.7;916.8;2378.1;27.1;18.6;27.2;25.4;20.5;18.6;71.0;60.0;60.0;303.0;4.2;1.6
