Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2024/01/01;0000 UTC;0.0;928.2;928.2;927.8;;18.8;16.7;18.9;18.7;16.8;16.3;88.0;85.0;87.0;;;
2024/01/01;0100 UTC;0.0;928.8;928.8;928.2;;19.0;16.8;19.0;18.7;17.0;16.6;89.0;87.0;88.0;;;
2024/01/01;0200 UTC;0.0;928.7;929.0;928.7;;18.8;16.9;19.0;18.8;17.1;16.8;89.0;88.0;89.0;;;
2024/01/01;0300 UTC;0.0;928.4;928.7;928.4;;18.8;17.2;18.9;18.8;17.2;16.9;90.0;89.0;90.0;;;
2024/01/01;0400 UTC;0.0;927.7;928.4;927.7;;18.6;17.0;18.8;18.5;17.3;17.0;91.0;90.0;90.0;;;
2024/01/01;0500 UTC;0.0;927.6;927.7;927.5;;18.5;16.3;18.7;18.5;16.9;16.2;91.0;86.0;87.0;;;
2024/01/01;0600 UTC;0.0;926.8;927.6;926.8;;18.5;15.5;18.6;18.4;16.3;15.4;87.0;83.0;83.0;;;
2024/01/01;0700 UTC;0.0;926.9;927.0;926.6;;18.3;15.5;18.5;18.2;15.7;15.3;84.0;82.0;84.0;;;
2024/01/01;0800 UTC;0.0;927.0;927.1;926.7;;18.4;16.0;18.6;18.3;16.2;15.4;86.0;83.0;86.0;;;
2024/01/01;0900 UTC;0.0;927.0;927.1;926.9;39.1;18.3;15.1;18.4;18.1;16.1;15.1;87.0;81.0;82.0;;;
