Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2024/01/01;0000 UTC;0.0;957.6;957.6;957.2;0.0;26.5;20.4;26.5;25.3;20.7;20.2;75.0;69.0;70.0;;;
2024/01/01;0100 UTC;0.0;958.4;958.4;957.6;0.0;25.8;20.1;26.5;25.7;20.5;20.0;71.0;69.0;71.0;;;
2024/01/01;0200 UTC;0.0;958.6;958.7;958.4;0.0;24.9;19.9;26.2;24.9;20.2;19.7;74.0;69.0;74.0;;;
2024/01/01;0300 UTC;0.0;958.6;958.7;958.5;0.0;22.8;20.2;24.8;22.8;20.3;19.7;85.0;74.0;85.0;;;
2024/01/01;0400 UTC;0.0;958.4;958.6;958.4;0.0;23.1;18.7;23.3;22.0;20.2;18.7;87.0;76.0;76.0;;;
2024/01/01;0500 UTC;0.0;958.1;958.4;958.1;0.0;22.5;18.0;23.7;22.2;18.7;17.9;80.0;72.0;76.0;;;
2024/01/01;0600 UTC;0.0;957.7;958.1;957.7;0.0;23.7;16.5;23.8;22.0;17.9;16.5;77.0;64.0;64.0;;;
2024/01/01;0700 UTC;0.0;957.4;957.7;957.4;0.0;22.8;16.3;23.7;22.8;16.5;16.3;67.0;63.0;67.0;;;
2024/01/01;0800 UTC;0.0;957.8;957.8;957.4;0.0;21.9;16.3;22.8;21.8;16.3;16.2;71.0;67.0;71.0;;;
2024/01/01;0900 UTC;0.0;958.0;958.0;957.8;6.0;21.0;16.5;21.9;20.9;16.5;16.3;76.0;71.0;76.0;;;
