Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2024/01/01;0000 UTC;0.0;988.6;988.7;988.1;;20.3;13.8;21.5;20.3;15.6;13.7;72.0;64.0;67.0;110.0;8.8;6.2
2024/01/01;0100 UTC;0.0;989.2;989.2;988.5;;19.1;14.1;20.3;19.1;14.1;13.7;73.0;66.0;73.0;108.0;8.9;4.7
2024/01/01;0200 UTC;0.0;989.6;989.6;989.1;;17.5;14.3;19.2;17.5;14.4;14.0;82.0;72.0;82.0;109.0;6.9;3.3
2024/01/01;0300 UTC;0.0;989.6;989.6;989.4;;17.4;14.1;17.6;17.0;14.3;14.0;83.0;80.0;81.0;96.0;6.8;4.5
2024/01/01;0400 UTC;0.0;989.7;990.0;989.5;;16.7;14.1;17.5;16.5;14.3;13.9;86.0;81.0;85.0;89.0;6.8;3.2
2024/01/01;0500 UTC;0.0;988.6;989.7;988.6;;16.4;13.9;16.8;16.2;14.2;13.9;87.0;85.0;85.0;62.0;8.9;5.1
2024/01/01;0600 UTC;0.0;988.2;988.6;988.0;;15.8;13.7;16.4;15.7;13.9;13.6;87.0;85.0;87.0;54.0;11.4;5.4
2024/01/01;0700 UTC;0.0;988.2;988.5;988.1;;15.5;13.3;15.8;15.4;13.6;13.3;88.0;86.0;87.0;68.0;9.5;3.7
2024/01/01;0800 UTC;0.0;988.5;988.8;988.1;;15.2;13.2;15.5;14.7;13.4;13.0;90.0;87.0;88.0;60.0;7.2;2.6
2024/01/01;0900 UTC;0.0;989.5;989.5;988.2;44.2;15.2;13.2;15.4;14.9;13.3;13.0;89.0;87.0;88.0;170.0;5.9;1.0
2024/01/01;1000 UTC;0.0;989.3;989.6;989.1;565.4;17.6;14.4;17.6;15.2;14.4;13.2;88.0;81.0;81.0;64.0;4.6;2.0
2024/01/01;1100 UTC;0.0;989.1;989.4;989.1;1298.6;19.7;14.9;19.9;17.6;15.4;14.1;81.0;73.0;74.0;67.0;9.0;5.3
2024/01/01;1200 UTC;0.0;988.6;989.3;988.6;2270.4;21.5;15.2;21.7;19.6;15.6;14.7;74.0;67.0;68.0;44.0;9.8;5.6
2024/01/01;1300 UTC;0.0;988.1;988.7;988.1;3022.1;23.6;15.3;23.6;21.4;16.0;14.8;69.0;59.0;60.0;27.0;8.0;4.1
2024/01/01;1400 UTC;0.0;987.7;988.1;987.5;3464.4;25.3;13.9;25.5;23.6;16.7;13.9;64.0;49.0;49.0;55.0;7.4;3.7
2024/01/01;1500 UTC;0.0;987.4;987.7;987.3;3815.1;26.2;12.8;27.2;25.1;15.8;12.8;55.0;43.0;44.0;101.0;7.2;2.5
2024/01/01;1600 UTC;0.0;986.9;987.4;986.9;3499.2;26.6;12.3;27.4;26.0;15.7;11.9;51.0;40.0;41.0;118.0;5.4;2.6
2024/01/01;1700 UTC;0.0;986.3;986.9;986.1;2886.4;28.2;15.2;28.2;26.4;15.4;12.2;49.0;41.0;45.0;54.0;6.2;2.6
2024/01/01;1800 UTC;0.0;985.8;986.4;985.8;2674.4;27.1;13.3;28.2;27.0;15.0;12.1;47.0;39.0;43.0;98.0;7.1;3.6
2024/01/01;1900 UTC;0.0;985.5;985.9;985.3;1472.1;26.9;14.6;27.5;26.8;14.9;12.5;48.0;40.0;47.0;126.0;6.3;3.3
2024/01/01;2000 UTC;0.0;985.2;985.6;985.2;1618.7;26.8;14.8;27.6;26.7;15.7;13.9;49.0;44.0;48.0;124.0;6.4;4.2
2024/01/01;2100 UTC;0.0;984.9;985.2;984.7;784.2;26.1;15.8;26.9;26.1;16.0;13.8;53.0;44.0;53.0;114.0;6.5;3.8
2024/01/01;2200 UTC;0.0;985.0;985.0;984.6;275.7;24.1;17.7;26.1;24.1;17.8;15.7;67.0;53.0;67.0;113.0;8.0;6.0
2024/01/01;2300 UTC;0.0;985.2;985.3;984.9;76.2;23.0;18.1;24.2;22.9;18.2;17.7;75.0;67.0;74.0;98.0;9.1;4.7
2024/01/02;0000 UTC;0.0;985.3;985.3;985.0;;21.7;18.1;23.0;21.7;18.1;17.9;80.0;74.0;80.0;98.0;8.4;4.3
2024/01/02;0100 UTC;0.0;985.8;985.9;985.2;;21.3;18.1;21.8;21.1;18.3;18.1;84.0;80.0;82.0;94.0;7.1;3.5
2024/01/02;0200 UTC;0.0;987.0;987.0;985.7;;21.4;18.1;21.6;21.3;18.1;18.0;82.0;80.0;81.0;35.0;6.7;3.3
2024/01/02;0300 UTC;0.0;986.6;987.0;985.3;;21.3;18.1;21.5;21.1;18.2;18.1;83.0;81.0;82.0;87.0;9.7;2.3
2024/01/02;0400 UTC;0.0;985.8;986.6;985.8;;20.9;18.2;21.4;20.7;18.2;18.1;85.0;82.0;85.0;56.0;6.0;3.3
2024/01/02;0500 UTC;0.0;984.5;985.8;984.5;;20.9;18.2;21.0;20.7;18.3;18.1;86.0;84.0;84.0;56.0;8.6;5.4
2024/01/02;0600 UTC;0.0;984.8;984.9;984.5;;20.3;18.2;21.0;20.3;18.3;18.1;88.0;84.0;88.0;119.0;9.2;1.4
