Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2024/01/01;0000 UTC;0.0;967.7;967.7;967.4;;17.9;13.2;19.0;17.9;13.2;12.8;74.0;67.0;74.0;102.0;7.0;2.7
2024/01/01;0100 UTC;0.0;968.0;968.1;967.7;;17.2;14.5;18.0;17.2;14.5;13.3;84.0;74.0;84.0;104.0;7.2;2.6
2024/01/01;0200 UTC;0.0;968.3;968.3;967.9;;16.7;14.4;17.2;16.7;14.6;14.3;86.0;84.0;86.0;100.0;7.0;2.8
2024/01/01;0300 UTC;0.0;968.4;968.5;968.2;;16.0;14.3;16.7;16.0;14.4;14.3;89.0;86.0;89.0;113.0;6.8;2.1
2024/01/01;0400 UTC;0.0;967.7;968.4;967.5;;15.4;14.2;16.0;15.4;14.3;14.2;93.0;90.0;93.0;95.0;6.1;1.7
2024/01/01;0500 UTC;0.0;967.4;967.9;967.4;;15.1;14.0;15.4;15.1;14.2;14.0;94.0;93.0;94.0;118.0;5.1;1.5
2024/01/01;0600 UTC;0.0;966.9;967.4;966.8;;15.0;14.0;15.1;14.9;14.1;14.0;95.0;94.0;94.0;130.0;4.9;1.8
2024/01/01;0700 UTC;0.0;966.4;966.9;966.4;;15.2;14.2;15.2;14.9;14.3;14.0;95.0;94.0;94.0;109.0;5.5;2.3
2024/01/01;0800 UTC;0.0;966.5;966.6;966.1;;15.2;14.5;15.3;15.2;14.5;14.2;95.0;94.0;95.0;83.0;7.4;1.6
2024/01/01;0900 UTC;0.0;966.2;966.5;966.2;17.7;15.5;14.8;15.5;15.0;14.8;14.4;97.0;95.0;95.0;102.0;5.1;2.4
2024/01/01;1000 UTC;0.0;966.9;966.9;966.2;160.0;17.4;15.4;17.4;15.5;15.4;14.8;95.0;88.0;88.0;92.0;5.7;1.5
2024/01/01;1100 UTC;0.0;967.4;967.7;966.9;1329.7;20.0;15.6;20.0;17.4;15.8;15.2;88.0;74.0;76.0;105.0;4.5;1.6
2024/01/01;1200 UTC;0.0;966.9;967.4;966.9;2170.2;21.5;15.5;21.6;19.6;16.2;15.1;77.0;68.0;69.0;86.0;5.3;2.8
2024/01/01;1300 UTC;0.0;966.8;967.0;966.7;2887.9;23.6;15.6;23.7;21.2;16.5;15.3;70.0;61.0;61.0;74.0;5.7;1.7
2024/01/01;1400 UTC;0.0;966.3;966.8;966.3;3545.3;25.6;16.8;26.8;23.6;17.6;15.5;62.0;55.0;58.0;12.0;5.4;2.4
2024/01/01;1500 UTC;0.0;965.9;966.4;965.9;3002.9;26.4;17.4;26.8;24.9;18.0;16.5;63.0;55.0;58.0;26.0;5.3;1.7
2024/01/01;1600 UTC;0.0;965.3;965.9;965.3;3104.1;26.0;17.5;27.6;25.7;18.3;17.0;61.0;55.0;59.0;77.0;4.6;2.4
2024/01/01;1700 UTC;0.0;964.8;965.3;964.8;3136.3;27.6;15.9;28.6;25.9;18.0;14.5;60.0;43.0;49.0;31.0;5.5;2.1
2024/01/01;1800 UTC;0.0;964.4;964.8;964.4;2825.5;27.1;16.8;29.1;26.9;17.7;14.5;55.0;43.0;53.0;115.0;5.5;1.4
2024/01/01;1900 UTC;0.0;964.0;964.5;964.0;926.8;26.4;18.9;27.4;26.2;19.0;16.8;64.0;53.0;64.0;137.0;6.8;3.3
2024/01/01;2000 UTC;0.0;963.7;964.1;963.7;1374.7;25.8;19.2;27.0;25.7;19.3;18.5;67.0;61.0;67.0;134.0;7.5;3.3
