data;temperatura_minima_observada;temperatura_minima_prevista
2023-10-20;25.822;23.467
2023-10-21;23.191;22.211
2023-10-22;23.363;21.764
2023-10-23;25.36;21.251
2023-10-24;24.048;21.133
2023-10-25;24.316;22.149
2023-10-26;23.401;21.499
2023-10-27;23.016;22.418
2023-10-28;22.201;22.715
2023-10-29;24.149;22.938
2023-10-30;25.004;22.642
2023-10-31;23.478;21.202
2023-11-01;23.442;20.996
2023-11-02;22.078;20.847
2023-11-03;21.971;20.31
2023-11-04;22.31;20.064
2023-11-05;22.648;21.259
2023-11-06;24.059;22.254
2023-11-07;24.819;21.467
2023-11-08;24.473;21.493
2023-11-09;24.894;22.313
2023-11-10;24.665;21.608
2023-11-11;25.807;21.439
2023-11-12;25.514;21.035
2023-11-13;25.045;21.399
2023-11-14;25.174;21.194
2023-11-15;25.928;20.62
2023-11-16;24.795;20.507
2023-11-17;24.825;20.967
2023-11-18;24.671;20.839
2023-11-19;25.043;20.346
2023-11-20;21.106;20.147
2023-11-21;21.919;20.708
2023-11-22;22.014;21.365
2023-11-23;22.481;20.732
2023-11-24;23.677;21.1
2023-11-25;23.045;20.861
2023-11-26;23.839;21.484
2023-11-27;21.309;21.552
2023-11-28;23.193;21.394
2023-11-29;23.478;20.921
2023-11-30;22.992;20.622
2023-12-01;22.215;21.275
2023-12-02;22.427;21.582
2023-12-03;21.393;21.253
2023-12-04;21.465;21.141
2023-12-05;20.849;20.788
2023-12-06;22.391;20.649
2023-12-07;23.974;21.013
2023-12-08;24.569;20.907
2023-12-09;24.447;20.65
2023-12-10;25.992;20.402
2023-12-11;23.002;20.778
2023-12-12;22.131;20.888
2023-12-13;23.912;21.377
2023-12-14;25.291;21.594
2023-12-15;24.947;21.71
2023-12-16;25.133;21.744
2023-12-17;24.141;21.588
2023-12-18;23.153;21.495
2023-12-19;22.228;20.968
2023-12-20;21.974;21.087
2023-12-21;20.18;20.998
2023-12-22;21.236;21.286
2023-12-23;21.472;20.946
2023-12-24;21.993;20.018
2023-12-25;23.385;20.548
2023-12-26;22.747;20.365
2023-12-27;23.034;21.012
2023-12-28;22.175;21.589
2023-12-29;23.29;22.106
2023-12-30;22.334;21.504
