data;temperatura_observada;temperatura_prevista
2023-10-20;26.742;25.736
2023-10-21;24.116;23.778
2023-10-22;24.134;23.239
2023-10-23;26.231;22.861
2023-10-24;25.138;22.563
2023-10-25;25.122;23.251
2023-10-26;24.1;22.791
2023-10-27;23.747;23.246
2023-10-28;22.834;23.649
2023-10-29;24.934;23.83
2023-10-30;25.933;23.486
2023-10-31;24.578;22.689
2023-11-01;24.293;22.694
2023-11-02;22.783;22.383
2023-11-03;22.625;22.226
2023-11-04;23.042;22.062
2023-11-05;23.352;22.702
2023-11-06;24.862;23.011
2023-11-07;25.502;22.332
2023-11-08;25.167;22.362
2023-11-09;25.764;23.133
2023-11-10;25.677;22.416
2023-11-11;26.944;22.477
2023-11-12;26.611;22.353
2023-11-13;26.23;22.721
2023-11-14;26.281;22.049
2023-11-15;26.91;21.808
2023-11-16;25.876;21.73
2023-11-17;25.688;22.045
2023-11-18;25.436;21.82
2023-11-19;25.944;21.753
2023-11-20;21.606;21.532
2023-11-21;22.62;21.897
2023-11-22;22.752;22.065
2023-11-23;23.398;21.608
2023-11-24;24.426;21.893
2023-11-25;23.997;22.109
2023-11-26;24.641;22.418
2023-11-27;21.972;22.205
2023-11-28;23.973;22.058
2023-11-29;24.31;22.371
2023-11-30;23.855;22.074
2023-12-01;22.821;22.262
2023-12-02;23.258;22.255
2023-12-03;22.109;22.009
2023-12-04;22.062;21.777
2023-12-05;21.599;21.475
2023-12-06;23.179;21.274
2023-12-07;24.873;21.491
2023-12-08;25.602;21.72
2023-12-09;25.474;21.545
2023-12-10;26.804;21.425
2023-12-11;23.599;21.63
2023-12-12;22.864;21.718
2023-12-13;24.798;21.95
2023-12-14;26.121;22.382
2023-12-15;25.986;22.484
2023-12-16;26.105;22.741
2023-12-17;25.1;22.751
2023-12-18;24.283;22.43
2023-12-19;22.957;21.802
2023-12-20;22.564;21.994
2023-12-21;20.489;22.069
2023-12-22;21.878;22.102
2023-12-23;22.208;21.923
2023-12-24;22.589;21.813
2023-12-25;24.137;22.072
2023-12-26;23.596;21.788
2023-12-27;23.87;22.196
2023-12-28;23.105;22.285
2023-12-29;24.167;22.709
2023-12-30;23.04;22.553
2023-12-31;22.262;21.987
2024-01-01;22.756;21.72
2024-01-02;21.799;22.324
2024-01-03;20.847;22.33
2024-01-04;20.968;21.911
2024-01-05;20.659;21.694
2024-01-06;22.562;21.926
2024-01-07;22.169;22.002
2024-01-08;21.58;21.9
2024-01-09;22.005;21.861
2024-01-10;21.234;21.993
2024-01-11;21.945;21.737
2024-01-12;23.368;21.822
2024-01-13;23.149;22.155
2024-01-14;22.107;22.407
2024-01-15;22.238;22.814
2024-01-16;22.983;22.778
2024-01-17;24.395;22.736
2024-01-18;23.932;22.418
2024-01-19;24.041;22.542
2024-01-20;24.276;22.711
2024-01-21;23.427;22.804
2024-01-22;22.67;22.655
2024-01-23;22.367;22.827
2024-01-24;22.129;23.023
2024-01-25;22.502;22.205
2024-01-26;21.492;21.442
2024-01-27;22.072;21.721
2024-01-28;21.999;22.347
2024-01-29;22.482;22.681
2024-01-30;22.989;22.698
